,https://roic.ai/company/JT,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , 
1,Revenue,168373000,356387000,1445773000,2011842000,1435727000,585762000
2,COGS,34423000,66683000,143828000,223339000,133968000,118171000
3,Gross Profit,133950000,289704000,1301945000,1788503000,1301759000,467591000
4,Gross Profit Ratio,0.7956,0.8129,0.9005,0.8890,0.9067,0.7983
5,Research and Development Exp.,45358000,72832000,153905000,241270000,272343000,154775000
6,General and Administrative Exp.,22419000,16273000,93718000,178371000,100896000,136581000
7,Selling and Marketing Exp.,262359000,382915000,1227896000,1547518000,1199346000,481719000
8,"Selling, General and Administrative Exp.",284778000,399188000,1321614000,1725889000,1300242000,618300000
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,330136000,472020000,1475519000,1967159000,1572585000,773075000
11,COGS and Expenses,364559000,538703000,1619347000,2190498000,1706553000,891246000
12,Interest Income ,- -,- -,- -,5037000,5100000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,3650000,4637000,5769000,25291000,36478000,18634000
15,EBITDA,-192524000,-177488000,-167974000,-143797000,-423287000,-286796000
16,EBITDA ratio,-1.1434,-0.4980,-0.1162,-0.0715,-0.2948,-0.4896
17,Operating Income,-196186000,-182316000,-173574000,-178656000,-555509000,-322377000
18,Operating Income ratio,-1.1652,-0.5116,-0.1201,-0.0888,-0.3869,-0.5504
19,Total Other Income Expenses (Gains),12000,191000,-169000,14397000,16885000,8948000
20,Income Before Tax,-196174000,-182125000,-173743000,-164259000,-538624000,-313429000
21,Income Before Tax Ratio,-1.1651,-0.5110,-0.1202,-0.0816,-0.3752,-0.5351
22,Income Tax expense (Gain),- -,- -,28382000,-4473000,-8005000,-1283000
23,Net Income,-196174000,-182125000,-202125000,-164615000,-451760000,-304147000
24,Net Income ratio,-1.1651,-0.5110,-0.1398,-0.0818,-0.3147,-0.5192
25,EPS,-11.35,-8.80,-11.40,-7.89,-17.32,-14.40
26,EPS Diluted,-11.35,-8.80,-11.40,-7.89,-17.32,-14.40
