,https://roic.ai/company/ATEX,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,2760095,3539595,3171653,3543529,4787000,6355000,6499000,1564000,921000
2,COGS,825834,1124121,1063176,3468849,7049000,7898000,7251000,2833000,1606000
3,Gross Profit,1934261,2415474,2108477,74680,-2262000,-1543000,-752000,-1269000,-685000
4,Gross Profit Ratio,0.7008,0.6824,0.6648,0.0211,-0.4725,-0.2428,-0.1157,-0.8114,-0.7438
5,Research and Development Exp.,715918,934818,1000890,1322552,2316000,2352000,2311000,2693000,4343000
6,General and Administrative Exp.,933194,925636,13362242,16726269,22553000,20864000,25620000,25702000,39237000
7,Selling and Marketing Exp.,1247505,1382024,1812524,3955638,5652000,6967000,3679000,3846000,2942000
8,"Selling, General and Administrative Exp.",2180699,2307660,15174766,20681907,28205000,27831000,29299000,29548000,42179000
9,Other Expenses,52726,59469,96141,- -,- -,- -,- -,3591000,3533000
10,Operating Expenses,2949343,3301947,16271797,22004459,30521000,30183000,31610000,35832000,50055000
11,COGS and Expenses,3775177,4426068,17334973,25473308,37570000,38081000,38861000,38665000,51661000
12,Interest Income ,- -,- -,19889,103586,128000,741000,1462000,1810000,124000
13,Interest Expense (Gain),224836,325348,570737,3024,5000,3000,- -,- -,- -
14,Depreciation and Amortization,52726,59469,96141,556318,2232000,2845000,2846000,3591000,3533000
15,EBITDA,-962356,-827004,-14047290,-21268625,-30451000,-28218000,-38462000,-31645000,-50777000
16,EBITDA ratio,-0.3487,-0.2336,-4.4290,-6.0021,-6.3612,-4.4403,-5.9181,-20.2334,-55.1325
17,Operating Income,-1015082,-886473,-14163320,-21929779,-32783000,-31726000,-42742000,-37383000,-54809000
18,Operating Income ratio,-0.3678,-0.2504,-4.4656,-6.1887,-6.8483,-4.9923,-6.5767,-23.9022,-59.5103
19,Total Other Income Expenses (Gains),-224836,-325348,-550848,101812,95000,660000,1434000,2147000,499000
20,Income Before Tax,-1239918,-1211821,-14714168,-21827967,-32688000,-31066000,-41308000,-35236000,-54310000
21,Income Before Tax Ratio,-0.4492,-0.3424,-4.6393,-6.1600,-6.8285,-4.8884,-6.3561,-22.5294,-58.9685
22,Income Tax expense (Gain),- -,- -,- -,- -,6498000,-438000,685000,2402000,124000
23,Net Income,-1239918,-1211821,-14714168,-21827967,-39186000,-30628000,-41993000,-37638000,-54434000
24,Net Income ratio,-0.4492,-0.3424,-4.6393,-6.1600,-8.1859,-4.8195,-6.4615,-24.0652,-59.1031
25,EPS,-0.14,-0.13,-1.46,-1.54,-2.72,-2.12,-2.88,-2.29,-3.13
26,EPS Diluted,-0.14,-0.13,-1.46,-1.54,-2.72,-2.12,-2.88,-2.29,-3.13
27,Weighted Average Shares Outstanding,9103629,9103629,10048210,14156848,14390641,14450715,14575787,16421610,17412958
28,Weighted Average Shares Outstanding Diluted,9103629,9103629,10048210,14156848,14390641,14450715,14575787,16421610,17412958
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1304492/000119312515219362/0001193125-15-219362-index.htm,https://www.sec.gov/Archives/edgar/data/1304492/000130449216000053/0001304492-16-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1304492/000130449217000020/0001304492-17-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1304492/000130449218000032/0001304492-18-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1304492/000130449219000019/0001304492-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1304492/000130449220000027/0001304492-20-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1304492/000130449221000018/0001304492-21-000018-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,194938,45679,119873668,153462865,124083000,98318000,76722000,137453000,117538000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,194938,45679,119873668,153462865,124083000,98318000,76722000,137453000,117538000
34,Net Receivables,289003,369408,395172,528283,636000,935000,444000,61000,4000
35,Inventory,- -,- -,- -,93203,128000,173000,- -,- -,- -
36,Other Current Assets,21481,22046,629790,906952,874000,850000,1180000,4638000,3508000
37,Total Current Assets,505422,437133,120898630,154991303,125721000,100276000,78346000,142152000,121050000
38,PP&E,82615,99548,6384602,15119766,14509000,12775000,9830000,13500000,8674000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,267001,259627,100519226,103877819,104886000,106803000,107732000,111526000,122117000
41,Intangible Assets,267001,259627,100519226,103877819,104886000,106803000,107732000,111526000,122117000
42,Investments,- -,- -,- -,- -,- -,- -,- -,39000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
