,https://roic.ai/company/PXS,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,21980000,27760000,33170000,30710000,29826000,28457000,27753000,21711000,25341000
2,COGS,14037000,21094000,17913000,19482000,21471000,29986000,23198000,19819000,26941000
3,Gross Profit,7943000,6666000,15257000,11228000,8355000,-1529000,4555000,1892000,-1600000
4,Gross Profit Ratio,0.3614,0.2401,0.4600,0.3656,0.2801,-0.0537,0.1641,0.0871,-0.0631
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1464000,1626000,3411000,4229000,4830000,4054000,4061000,3834000,2538000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1464000,1626000,3411000,4229000,4830000,4054000,4061000,3834000,2538000
9,Other Expenses,4677000,5649000,5884000,6004000,5871000,519000,240000,- -,1985000
10,Operating Expenses,6141000,7275000,9295000,10233000,10701000,4573000,4301000,3834000,4523000
11,COGS and Expenses,20178000,28369000,27208000,29715000,32172000,34559000,27499000,23653000,31464000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),1149000,1565000,2358000,2646000,2744000,4048000,5517000,4636000,3285000
14,Depreciation and Amortization,4520000,5446000,5710000,5768000,5567000,5500000,5320000,4418000,4898000
15,EBITDA,7261000,-12232000,11573000,2601000,3068000,1334000,2507000,2154000,-4155000
16,EBITDA ratio,0.3303,-0.4406,0.3489,0.0847,0.1029,0.0469,0.0903,0.0992,-0.1640
17,Operating Income,1994000,-17539000,5962000,-3003000,-2346000,-8011000,-2528000,-1935000,-8512000
18,Operating Income ratio,0.0907,-0.6318,0.1797,-0.0978,-0.0787,-0.2815,-0.0911,-0.0891,-0.3359
19,Total Other Income Expenses (Gains),-402000,-1704000,-2457000,-2810000,-2897000,-203000,-5802000,-4965000,-3826000
20,Income Before Tax,1592000,-19243000,3505000,-5813000,-5243000,-8214000,-8330000,-6900000,-12338000
21,Income Before Tax Ratio,0.0724,-0.6932,0.1057,-0.1893,-0.1758,-0.2886,-0.3001,-0.3178,-0.4869
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,1592000,-19243000,3505000,-5813000,-5243000,-8214000,-8330000,-6900000,-12338000
24,Net Income ratio,0.0724,-0.6932,0.1057,-0.1893,-0.1758,-0.2886,-0.3001,-0.3178,-0.4869
25,EPS,0.09,-1.17,0.19,-0.32,-0.28,-0.39,-0.39,-0.32,-0.58
26,EPS Diluted,0.09,-1.17,0.19,-0.32,-0.28,-0.39,-0.39,-0.32,-0.58
27,Weighted Average Shares Outstanding,17956250,17956250,18244671,18277893,18461455,20894202,21161164,21548126,21161164
28,Weighted Average Shares Outstanding Diluted,17956250,17956250,18277893,18277893,18461455,20894202,21161164,21548126,21161164
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1640043/000095012316015497/0000950123-16-015497-index.html,https://www.sec.gov/Archives/edgar/data/1640043/000156459017005424/0001564590-17-005424-index.html,https://www.sec.gov/Archives/edgar/data/1640043/000149315218003807/0001493152-18-003807-index.html,https://www.sec.gov/Archives/edgar/data/1640043/000149315219004178/0001493152-19-004178-index.html,https://www.sec.gov/Archives/edgar/data/1640043/000149315220005508/0001493152-20-005508-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,2048000,500000,3979000,783000,1693000,545000,1441000,1620000,6180000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2048000,500000,3979000,783000,1693000,545000,1441000,1620000,6180000
34,Net Receivables,6729000,3726000,455000,1681000,703000,2585000,1243000,2971000,1716000
35,Inventory,422000,904000,583000,1173000,1016000,807000,501000,681000,1567000
36,Other Current Assets,553000,765000,868000,547000,483000,370000,14050000,133000,9639000
37,Total Current Assets,9752000,5895000,5885000,4184000,3895000,4307000,17235000,5405000,19102000
38,PP&E,132265000,103717000,- -,- -,- -,- -,- -,83774000,119724000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1829000,15287000,135837000,126556000,120918000,112310000,91534000,4011000,3736000
45,Total Non-Current Assets,134094000,119004000,135837000,126556000,120918000,112310000,91534000,87785000,123460000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,143846000,124899000,141722000,130740000,124813000,116617000,108769000,93190000,142562000
48,Accounts Payable,243000,571000,1103000,3115000,2293000,4746000,4538000,3642000,3084000
49,Short-Term Debt,- -,- -,7095000,6813000,7304000,4333000,8984000,- -,11695000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,900000,479000,2100000,- -,- -,422000,1415000,726000,- -
52,Other Current Liabilities,21948000,8654000,902000,2942000,2934000,4044000,7599000,3932000,8051000
53,Total Current Liabilities,23091000,9704000,11200000,12870000,12531000,13545000,22536000,8300000,22830000
54,Long-Term Debt,66435000,61294000,75956000,69117000,64126000,63129000,54233000,55331000,70880000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,66435000,61294000,75956000,69117000,64126000,63129000,54233000,55331000,70880000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,89526000,70998000,87156000,81987000,76657000,76674000,76769000,63631000,93710000
