,https://roic.ai/company/BWMG,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,- -,2974377,2935869,4203025,3204395,4697737,2384705,2181073,2206566,2864327,2870688,2735841,2759643,2264134,2028589,2542207,2967678,4555973
2,COGS,- -,2020615,1956269,2711984,2148843,3024723,1714341,1687599,1704566,1981912,1989555,1991626,1831989,1664681,1423421,2226584,2519251,6061431
3,Gross Profit,- -,953762,979600,1491041,1055552,1673014,670364,493474,502000,882415,881133,744215,927654,599453,605168,315623,448427,-1505458
4,Gross Profit Ratio,- -,0.3207,0.3337,0.3548,0.3294,0.3561,0.2811,0.2263,0.2275,0.3081,0.3069,0.2720,0.3362,0.2648,0.2983,0.1242,0.1511,-0.3304
5,Research and Development Exp.,- -,73280,18730,7140,3780,26510,64508,135593,46474,47797,75760,4087,8739,1973,16380,113920,67161,115156
6,General and Administrative Exp.,- -,- -,- -,1007308,953483,1108284,911464,1353000,1627100,2457484,1459137,619174,670982,615253,803856,1212945,1664932,2682293
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,1007308,953483,1108284,911464,1353000,1627100,2457484,1459137,619174,670982,615253,803856,1212945,1664932,2682293
9,Other Expenses,- -,1047790,980496,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,1121070,999226,1014448,957263,1134794,975972,1488593,1673574,2505281,1534897,623261,679721,617226,820236,1326865,1732093,2797449
11,COGS and Expenses,52726,3141685,2955495,3726432,3106106,4159517,2690313,3176192,3378140,4487193,3524452,2614887,2511710,2281907,2243657,3553449,4251344,8858880
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),56152,431153,85992,71388,121527,110417,101776,298507,2547421,270597,200775,56250,38033,31540,37245,296423,7074,18559
14,Depreciation and Amortization,- -,53979,53757,26542,40051,39396,37214,34615,34917,35585,19616,21570,21531,21798,29410,36580,99860,21005
15,EBITDA,-52726,-25790,19233,654068,166415,588099,-471019,-922328,-1133512,-1668936,-560417,172233,289217,283364,-182089,-967462,-1314806,-1312055
16,EBITDA ratio,-Infinity,-0.0087,0.0066,0.1556,0.0519,0.1252,-0.1975,-0.4229,-0.5137,-0.5827,-0.1952,0.0630,0.1048,0.1252,-0.0898,-0.3806,-0.4430,-0.2880
17,Operating Income,-52726,-167308,-19626,476593,98289,538220,-305608,-995119,-1171574,-1622866,-653764,120954,247933,-17773,-215068,-1011242,-1283666,-1333060
18,Operating Income ratio,-Infinity,-0.0562,-0.0067,0.1134,0.0307,0.1146,-0.1282,-0.4563,-0.5309,-0.5666,-0.2277,0.0442,0.0898,-0.0078,-0.1060,-0.3978,-0.4325,-0.2926
19,Total Other Income Expenses (Gains),- -,87539,-100890,79545,-93452,-99934,-304401,-260331,-2544276,-352252,-127044,-26541,-18280,247799,-33676,-289223,-138074,-18559
20,Income Before Tax,- -,- -,-120516,556138,4837,438286,-610009,-1255450,-3715850,-1975118,-780808,94413,229653,230026,-248744,-1300465,-1421740,-1351619
