,https://roic.ai/company/SMHI,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,368868000,215636000,173783000,253609000,201492000,141837000,170941000
2,COGS,337701000,224994000,222378000,258812000,203895000,155837000,190886000
3,Gross Profit,31167000,-9358000,-48595000,-5203000,-2403000,-14000000,-19945000
4,Gross Profit Ratio,0.0845,-0.0434,-0.2796,-0.0205,-0.0119,-0.0987,-0.1167
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,53085000,49308000,56217000,52813000,44726000,40051000,37639000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",53085000,49308000,56217000,52813000,44726000,40051000,37639000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,53085000,49308000,56217000,52813000,44726000,40051000,- -
11,COGS and Expenses,390786000,274302000,278595000,311625000,248621000,195888000,228525000
12,Interest Income ,1527000,4458000,1805000,1234000,1445000,1273000,1302000
13,Interest Expense (Gain),4116000,10008000,16532000,27869000,30056000,30691000,- -
14,Depreciation and Amortization,61729000,58069000,62779000,72246000,64012000,57167000,57395000
15,EBITDA,21623000,-127439000,-27996000,9160000,-6681000,-13981000,10547000
16,EBITDA ratio,0.0586,-0.5910,-0.1611,0.0361,-0.0332,-0.0986,0.0617
17,Operating Income,-38935000,-174888000,-128359000,-66763000,-52526000,-71639000,-37148000
18,Operating Income ratio,-0.1056,-0.8110,-0.7386,-0.2633,-0.2607,-0.5051,-0.2173
19,Total Other Income Expenses (Gains),-13641000,-15417000,11336000,-25221000,-30310000,-26468000,43775000
20,Income Before Tax,-52576000,-190305000,-117023000,-91984000,-82836000,-98107000,6627000
21,Income Before Tax Ratio,-0.1425,-0.8825,-0.6734,-0.3627,-0.4111,-0.6917,0.0388
22,Income Tax expense (Gain),-16973000,-63469000,-74406000,-13347000,-7912000,-22924000,11493000
23,Net Income,-27249000,-132047000,-32901000,-77608000,-92837000,-78915000,- -
24,Net Income ratio,-0.0739,-0.6124,-0.1893,-0.3060,-0.4607,-0.5564,- -
25,EPS,-1.54,-7.46,-1.87,-3.71,-3.95,-3.18,1.30
26,EPS Diluted,-1.54,-7.46,-1.87,-3.71,-3.95,-3.18,1.30
27,Weighted Average Shares Outstanding,17700000,17700000,17601244,20926307,23513065,24785744,25444693
28,Weighted Average Shares Outstanding Diluted,17700000,17700000,17601244,20926307,23513065,24785744,25495527
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1690334/000169033418000023/0001690334-18-000023-index.html,- -,https://www.sec.gov/Archives/edgar/data/1690334/000156459020008689/0001564590-20-008689-index.htm,https://www.sec.gov/Archives/edgar/data/1690334/000156459021012639/0001564590-21-012639-index.htm,https://www.sec.gov/Archives/edgar/data/1690334/000156459022009707/0001564590-22-009707-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,117309000,110234000,95195000,83943000,32666000,37619000
32,Short-Term Investments,- -,40139000,- -,- -,- -,75308000,- -
33,Cash and Short-Term Investments,- -,157448000,110234000,95195000,83943000,107974000,37619000
34,Net Receivables,- -,85248000,57957000,76207000,67659000,88637000,- -
35,Inventory,- -,3058000,3756000,3443000,1228000,576000,- -
36,Other Current Assets,- -,4811000,5343000,4187000,5716000,-18491000,71159000
37,Total Current Assets,- -,250565000,177290000,179032000,158546000,178696000,108778000
38,PP&E,- -,541941000,689833000,770379000,709673000,760925000,730226000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
