,https://roic.ai/company/GOGO,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,36842000,94659000,160156000,233515000,328124000,408491000,500888000,596550000,699090000,893764000,835726000,269718000,335716000
2,COGS,46819000,60404000,77845000,113140000,167998000,209460000,228361000,274728000,326888000,513886000,432576000,84372000,102195000
3,Gross Profit,-9977000,34255000,82311000,120375000,160126000,199031000,272527000,321822000,372202000,379878000,403150000,185346000,233521000
4,Gross Profit Ratio,-0.2708,0.3619,0.5139,0.5155,0.4880,0.4872,0.5441,0.5395,0.5324,0.4250,0.4824,0.6872,0.6956
5,Research and Development Exp.,22859000,20217000,22245000,35354000,49687000,65120000,87437000,96713000,133286000,120090000,108610000,25227000,- -
6,General and Administrative Exp.,28340000,36384000,36101000,49053000,71982000,82592000,86753000,84927000,93671000,94269000,89843000,54467000,51554000
7,Selling and Marketing Exp.,27762000,23624000,25116000,26498000,30597000,38625000,56143000,61177000,64017000,58823000,49156000,15135000,20985000
8,"Selling, General and Administrative Exp.",56102000,60008000,61217000,75551000,102579000,121217000,142896000,146104000,157688000,153092000,138999000,69602000,72539000
9,Other Expenses,21898000,30991000,32673000,36907000,55509000,64451000,87036000,105642000,145490000,133617000,118817000,14166000,142551000
10,Operating Expenses,100859000,111216000,116135000,147812000,207775000,250788000,317369000,348459000,436464000,406799000,366426000,108995000,215090000
11,COGS and Expenses,147678000,171620000,193980000,260952000,375773000,460248000,545730000,623187000,763352000,920685000,799002000,193367000,317285000
12,Interest Income ,214000,98000,72000,77000,64000,61000,181000,1635000,4198000,7142000,5228000,722000,-191000
13,Interest Expense (Gain),30067000,37000,280000,8913000,23458000,28477000,42165000,62348000,89915000,100274000,126330000,119895000,67472000
14,Depreciation and Amortization,21898000,30991000,32673000,36907000,55509000,64451000,87036000,105642000,145490000,133617000,118817000,14166000,15482000
15,EBITDA,-90301000,-79091000,57621000,14142000,-31215000,9573000,22826000,44799000,61413000,68567000,100149000,-116121000,48459000
16,EBITDA ratio,-2.4510,-0.8355,0.3598,0.0606,-0.0951,0.0234,0.0456,0.0751,0.0878,0.0767,0.1198,-0.4305,0.1443
17,Operating Income,-110836000,-76961000,-33824000,-27437000,-44667000,-50669000,-44842000,-26637000,-64262000,-26921000,36724000,76351000,120626000
18,Operating Income ratio,-3.0084,-0.8130,-0.2112,-0.1175,-0.1361,-0.1240,-0.0895,-0.0447,-0.0919,-0.0301,0.0439,0.2831,0.3593
19,Total Other Income Expenses (Gains),-31430000,-33158000,58492000,-4241000,-65515000,-32686000,-61533000,-96554000,-109730000,-138403000,-181722000,-125056000,-151267000
20,Income Before Tax,-142266000,-110119000,24668000,-31678000,-110182000,-83355000,-106375000,-123191000,-173992000,-165324000,-144998000,-48705000,-30641000
21,Income Before Tax Ratio,-3.8615,-1.1633,0.1540,-0.1357,-0.3358,-0.2041,-0.2124,-0.2065,-0.2489,-0.1850,-0.1735,-0.1806,-0.0913
22,Income Tax expense (Gain),- -,3260000,1053000,1036000,1107000,1183000,1238000,1314000,-1997000,-3293000,1006000,-146000,-187230000
23,Net Income,-142266000,-113379000,23615000,-32714000,-111289000,-84538000,-107613000,-124505000,-171995000,-162031000,-146004000,-250036000,152735000
24,Net Income ratio,-3.8615,-1.1978,0.1474,-0.1401,-0.3392,-0.2070,-0.2148,-0.2087,-0.2460,-0.1813,-0.1747,-0.9270,0.4550
25,EPS,-1.68,-1.65,-0.21,-1.13,-3.05,-0.99,-1.35,-1.58,-2.17,-2.02,-1.81,-3.04,1.40
26,EPS Diluted,-1.68,-1.65,-0.21,-1.13,-3.05,-0.99,-1.35,-1.58,-2.17,-2.02,-1.81,-3.04,1.15
27,Weighted Average Shares Outstanding,84918818,84918818,84918818,84918818,47832000,85147000,79701000,78915000,79407000,80038000,80766000,82266000,109345000
28,Weighted Average Shares Outstanding Diluted,84918818,84918818,84918818,84918818,47832000,85147000,79701000,78915000,79407000,80038000,80766000,82266000,133160000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1537054/000119312514100126/0001193125-14-100126-index.htm,https://www.sec.gov/Archives/edgar/data/1537054/000119312515069995/0001193125-15-069995-index.htm,https://www.sec.gov/Archives/edgar/data/1537054/000119312516477307/0001193125-16-477307-index.htm,https://www.sec.gov/Archives/edgar/data/1537054/000119312517058457/0001193125-17-058457-index.htm,https://www.sec.gov/Archives/edgar/data/1537054/000119312518053979/0001193125-18-053979-index.htm,https://www.sec.gov/Archives/edgar/data/1537054/000119312519046812/0001193125-19-046812-index.htm,https://www.sec.gov/Archives/edgar/data/1537054/000119312520072797/0001193125-20-072797-index.htm,https://www.sec.gov/Archives/edgar/data/1537054/000156459021012575/0001564590-21-012575-index.htm,https://www.sec.gov/Archives/edgar/data/1537054/000095017022002778/0000950170-22-002778-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,68452000,18883000,42591000,112576000,266342000,211236000,366833000,117302000,196356000,184155000,170016000,435345000,145913000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,338477000,212792000,39323000,- -,- -,- -
33,Cash and Short-Term Investments,68452000,18883000,42591000,112576000,266342000,211236000,366833000,455779000,409148000,223478000,170016000,435345000,145913000
34,Net Receivables,5433000,14707000,20965000,24253000,25690000,53915000,69317000,73743000,117896000,144731000,113724000,42250000,37730000
35,Inventory,6918000,5849000,9123000,12149000,13646000,21913000,20937000,50266000,45543000,193045000,117144000,28114000,33976000
36,Other Current Assets,4585000,4478000,4887000,6367000,16287000,7830000,10920000,24942000,20310000,24272000,23941000,6517000,32295000
37,Total Current Assets,85388000,43917000,77566000,155345000,321965000,294894000,468007000,604730000,592897000,585526000,424825000,512226000,249914000
38,PP&E,123903000,137144000,150944000,197674000,265634000,363108000,434490000,519810000,656038000,511867000,623704000,97183000,134661000
39,Goodwill,620000,620000,620000,620000,620000,620000,620000,620000,620000,620000,600000,600000,- -
40,Intangible Assets,61878000,53440000,53557000,58147000,72848000,78464000,78823000,85175000,86513000,82871000,75879000,52073000,49554000
41,Intangible Assets,62498000,54060000,54177000,58767000,73468000,79084000,79443000,85795000,87133000,83491000,76479000,52673000,49554000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,185133000
44,Other Non-Current Assets,3060000,1819000,2949000,20329000,27933000,30554000,22413000,35861000,67107000,84212000,89692000,11506000,28425000
45,Total Non-Current Assets,189461000,193023000,208070000,276770000,367035000,472746000,536346000,641466000,810278000,679570000,789875000,161362000,397773000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,274849000,236940000,285636000,432115000,689000000,767640000,1004353000,1246196000,1403175000,1265096000,1214700000,673588000,647687000
48,Accounts Payable,13884000,9498000,13713000,16691000,22251000,41026000,28189000,31689000,27130000,23860000,17160000,11013000,17203000
49,Short-Term Debt,45000,- -,620000,4091000,7887000,10345000,21277000,2799000,1789000,652000,12241000,349089000,- -
50,Tax Payable,2626000,3109000,2851000,2917000,- -,- -,- -,- -,- -,- -,- -,2022000,- -
51,Deferred Revenue,412000,2322000,3783000,6663000,11718000,20181000,24055000,32722000,43448000,38571000,34789000,12513000,1825000
52,Other Current Liabilities,18885000,19638000,28136000,51869000,68109000,79934000,124057000,183853000,243911000,236604000,188452000,65520000,169488000
53,Total Current Liabilities,33226000,31458000,46252000,79314000,109965000,151486000,197578000,251063000,316278000,299687000,252642000,438135000,188516000
54,Long-Term Debt,- -,2000000,2016000,131450000,235627000,301922000,542573000,800715000,1000868000,1024893000,1101248000,827968000,849418000
55,Deferred Revenue,4002000,3873000,3505000,- -,1878000,- -,20758000,38976000,73192000,21482000,21889000,- -,- -
56,Deferred Tax Liabilities,- -,3210000,4146000,4949000,5770000,6598000,7425000,8264000,5983000,2162000,2340000,2108000,- -
57,Other Non-Current Liabilities,429465000,526772000,583379000,47801000,65570000,109876000,169824000,187571000,198418000,185633000,235471000,46491000,-70093000
58,Total Non-Current Liabilities,433467000,535855000,593046000,184200000,308845000,418396000,740580000,1035526000,1278461000,1234170000,1360948000,876567000,779325000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,3011000,- -,2786000,- -,1789000,652000,90049000,46107000,- -
61,Total Liabilities,466693000,567313000,639298000,263514000,418810000,569882000,938158000,1286589000,1594739000,1533857000,1613590000,1314702000,967841000
62,Preferred Stock,- -,- -,- -,614378000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,8000,9000,9000,9000,9000,9000,9000,9000,11000
64,Retained Earnings,-314825000,-428204000,-404589000,-454867000,-600718000,-685256000,-792869000,-917374000,-1089369000,-1228674000,-1376142000,-1629843000,-1451628000
65,Other Comprehensive Income/Loss,-17896000,-37387000,-59408000,-20000,-425000,-1200000,-2188000,-2163000,-933000,-3554000,-2256000,-1013000,1789000
66,Other Total Stockholders Equity,140877000,135218000,110335000,708737000,871325000,884205000,861243000,879135000,898729000,963458000,979499000,989733000,1129674000
67,Total Stockholders Equity,-191844000,-330373000,-353662000,168601000,270190000,197758000,66195000,-40393000,-191564000,-268761000,-398890000,-641114000,-320154000
68,Total Liabilities And Stockholders Equity,274849000,236940000,285636000,432115000,689000000,767640000,1004353000,1246196000,1403175000,1265096000,1214700000,673588000,647687000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,274849000,236940000,285636000,432115000,689000000,767640000,1004353000,1246196000,1403175000,1265096000,1214700000,673588000,647687000
