,https://roic.ai/company/TPHS,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,215200000,223100000,256800000,282600000,300100000,314400000,317500000,319600000,318900000,326700000,46600000,334800000,346800000,353000000,343900000,341600000,342300000,287700000,281500000,275200000,283600000,280400000,281200000,267100000,242000000,377300000,445100000,258214000,258214000,- -,- -,1856000,1862000,3715000,4062000,1256000,27757000
2,COGS,- -,147900000,151000000,168400000,184900000,195100000,209100000,211100000,214500000,215500000,217900000,29800000,217600000,213100000,210600000,208000000,212800000,215400000,179200000,173000000,167500000,171700000,167300000,167900000,157200000,141475000,232200000,271300000,158029000,158029000,- -,- -,899000,1200000,2225000,5656000,- -,27368000
3,Gross Profit,- -,67300000,72100000,88400000,97700000,105000000,105300000,106400000,105100000,103400000,108800000,16800000,117200000,133700000,142400000,135900000,128800000,126900000,108500000,108500000,107700000,111900000,113100000,113300000,109900000,100525000,145100000,173800000,100185000,100185000,- -,- -,957000,662000,1490000,-1594000,1256000,389000
4,Gross Profit Ratio,- -,0.3127,0.3232,0.3442,0.3457,0.3499,0.3349,0.3351,0.3288,0.3242,0.3330,0.3605,0.3501,0.3855,0.4034,0.3952,0.3770,0.3707,0.3771,0.3854,0.3914,0.3946,0.4034,0.4029,0.4115,0.4154,0.3846,0.3905,0.3880,0.3880,- -,- -,0.5156,0.3555,0.4011,-0.3924,1.0000,0.0140
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85500000,13100000,88800000,91900000,94400000,98200000,114500000,116300000,106000000,104800000,102100000,99900000,99000000,101600000,99800000,90247000,167200000,195600000,76081000,76081000,- -,- -,7435000,5828000,5728000,6082000,4955000,4492000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6339000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,39000000,42900000,51900000,61700000,68300000,73900000,75400000,71800000,77100000,85500000,13100000,91500000,91900000,94400000,98200000,114490000,116298000,106004000,104826000,102131000,99939000,99038000,101647000,99843000,96586000,167188000,195609000,76081000,76081000,- -,- -,7435000,5828000,5728000,6082000,5300000,4492000
9,Other Expenses,- -,2300000,2300000,3600000,4900000,5600000,6400000,7400000,7700000,7400000,8900000,4200000,7700000,8000000,8600000,8500000,10610000,24402000,5196000,17674000,10969000,10061000,8762000,-2447000,7857000,7402000,-17188000,28591000,52665000,52665000,- -,- -,457000,544000,2463000,2977000,11146000,34851000
10,Operating Expenses,- -,41300000,45200000,55500000,66600000,73900000,80300000,82800000,79500000,84500000,94400000,17300000,99200000,99900000,103000000,106700000,125100000,140700000,111200000,122500000,113100000,110000000,107800000,99200000,107700000,103988000,150000000,224200000,128746000,128746000,- -,- -,7892000,6372000,8191000,9059000,16446000,39343000
11,COGS and Expenses,- -,189200000,196200000,223900000,251500000,269000000,289400000,293900000,294000000,300000000,312300000,47100000,316800000,313000000,313600000,314700000,337900000,356100000,290400000,295500000,280600000,281700000,275100000,267100000,264900000,245463000,382200000,495500000,286775000,286775000,- -,- -,8791000,7572000,10416000,14715000,16446000,66711000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153000,95000,128000,- -,432000,1103000,2106000,1082000,132000,- -,- -,- -,- -,- -,- -,223000,215000,212000,67000,57000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,100000,1600000,1400000,700000,500000,- -,100000,-100000,300000,100000,200000,100000,10000,- -,- -,- -,25000,- -,181000,219000,171000,170000,1538000,1366000,- -,-1062000,- -,- -,181000,- -,- -,- -,1455000,3007000
14,Depreciation and Amortization,- -,2300000,2300000,3600000,4900000,5600000,6400000,7400000,7700000,7400000,8900000,1360000,7800000,8000000,8600000,8500000,10580000,11468000,11520000,10908000,10896000,9574000,8821000,8205000,7659000,8003000,11414000,14581000,9819000,9819000,- -,- -,457000,544000,2463000,2977000,2970000,3998000
15,EBITDA,- -,28700000,32100000,36200000,35900000,40100000,32500000,31200000,33300000,26400000,23400000,660000,25700000,41900000,47800000,37600000,14190000,-2132000,9020000,-2892000,5521000,11874000,15202000,24324000,10930000,4141000,6552000,-35853000,-19804000,-20866000,- -,- -,-6772000,-4621000,-5136000,926000,11225000,-9204000
16,EBITDA ratio,- -,0.1334,0.1439,0.1410,0.1270,0.1336,0.1034,0.0983,0.1042,0.0828,0.0716,0.0142,0.0768,0.1208,0.1354,0.1093,0.0415,-0.0062,0.0314,-0.0103,0.0201,0.0419,0.0542,0.0865,0.0409,0.0171,0.0174,-0.0806,-0.0767,-0.0808,- -,- -,-3.6487,-2.4817,-1.3825,0.2280,8.9371,-0.3316
