,https://roic.ai/company/MSGS,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,728867000,722943000,913615000,1071551000,1115311000,1318452000,1559095000,1631068000,603319000,415721000
2,COGS,530307000,533282000,714825000,724881000,737857000,861381000,945428000,997077000,359970000,281890000
3,Gross Profit,198560000,189661000,198790000,346670000,377454000,457071000,613667000,633991000,243349000,133831000
4,Gross Profit Ratio,0.2724,0.2623,0.2176,0.3235,0.3384,0.3467,0.3936,0.3887,0.4034,0.3219
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,234697000,248690000,312818000,347076000,436085000,517427000,594791000,647865000,337215000,212274000
10,Operating Expenses,234697000,248690000,312818000,347076000,436085000,517427000,594791000,647865000,337215000,212274000
11,COGS and Expenses,765004000,781972000,1027643000,1071957000,1173942000,1378808000,1540219000,1644942000,697185000,494164000
12,Interest Income ,384000,595000,1548000,3056000,6782000,11836000,21582000,30205000,700000,32000
13,Interest Expense (Gain),1251000,2204000,1528000,2498000,2028000,4189000,15415000,20410000,4461000,10561000
14,Depreciation and Amortization,62940000,72551000,91709000,108758000,102482000,107388000,122486000,119193000,93362000,5574000
15,EBITDA,34259000,17614000,-21999000,71008000,27517000,34450000,162623000,152378000,-63972000,-71240000
16,EBITDA ratio,0.0470,0.0244,-0.0241,0.0663,0.0247,0.0261,0.1043,0.0934,-0.1060,-0.1714
17,Operating Income,-36137000,-59029000,-114028000,-406000,-58631000,-60356000,18876000,-13874000,-93866000,-78443000
18,Operating Income ratio,-0.0496,-0.0817,-0.1248,-0.0004,-0.0526,-0.0458,0.0121,-0.0085,-0.1556,-0.1887
19,Total Other Income Expenses (Gains),6205000,1888000,-1208000,-39842000,-18362000,-20837000,-1300000,12105000,-4182000,-10875000
20,Income Before Tax,-29932000,-57141000,-115236000,-40248000,-76993000,-81193000,17576000,-1769000,-98048000,-89318000
21,Income Before Tax Ratio,-0.0411,-0.0790,-0.1261,-0.0376,-0.0690,-0.0616,0.0113,-0.0011,-0.1625,-0.2149
22,Income Tax expense (Gain),6350000,1133000,1697000,436000,297000,-4404000,-116872000,1348000,20593000,-73421000
23,Net Income,-36282000,-58274000,-116933000,-40684000,-77290000,-72723000,141594000,11427000,-182388000,-13954000
