,https://roic.ai/company/AHNR,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,310000,980000,1200000,770000,190000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,210000,730000,980000,720000,190000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,100000,250000,220000,50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,0.3226,0.2551,0.1833,0.0649,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,10000,- -,- -,- -,- -,- -,130000,550000,230000,50000,19080,93660,9490,760,20830,40000,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,367641,118750,227070,- -,319636,298414,127240,133299,132900,136706,144225,115266,187556,614478
7,Selling and Marketing Exp.,- -,- -,- -,- -,124857,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",447,61615,205403,735886,968292,470863,133154,227070,279989,319636,298414,127240,133299,132900,136706,144225,115266,187556,614478
9,Other Expenses,- -,-9072,26972,35002,38791,204184,85771,-130000,-550000,-230000,-50000,- -,1,-1,1,-5,- -,89550,137983
10,Operating Expenses,- -,62543,232375,770888,1007083,675047,218925,227070,279989,319636,298414,146320,226960,142389,137467,165050,155266,277106,752461
11,COGS and Expenses,447,60000,420000,1950000,1990000,1390000,390000,540000,860000,610000,350000,146320,226960,142390,2023280,228230,155270,277106,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,-10000,-70000,-100000,-250000,-80000,- -,-10000,11439,43354,57191,68806,81956,93245,103639,110980,132962,12192
14,Depreciation and Amortization,- -,- -,10464,33454,38791,35030,8333,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7324
15,EBITDA,134518,-60000,-129536,-1066546,-1061209,-1314970,-351667,-610000,-880000,-628561,-316646,-136139,-230654,-200054,-2022025,-184621,-155270,-277106,7324
16,EBITDA ratio,Infinity,-Infinity,-0.4179,-1.0883,-0.8843,-1.7078,-1.8509,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity
17,Operating Income,-447,-62543,-132553,-511659,-786376,-621728,-211398,-361955,-864163,-551727,-349421,-146320,-226960,-142389,-2023283,-228233,-155266,-277106,- -
18,Operating Income ratio,-Infinity,-Infinity,-0.4276,-0.5221,-0.6553,-0.8074,-1.1126,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -
19,Total Other Income Expenses (Gains),-134965,2543,2553,-518341,-213624,-208272,-48602,-188045,-5837,-88273,-10579,-47010,-72500,-139621,-91987,-60027,-110984,-132962,- -
20,Income Before Tax,- -,-60000,-130000,-1030000,-1000000,-830000,-260000,-550000,-870000,-640000,-360000,-193330,-299460,-282010,-2115270,-288260,-266250,-410068,-1030255
21,Income Before Tax Ratio,- -,-Infinity,-0.4194,-1.0510,-0.8333,-1.0779,-1.3684,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-135412,-60000,-130000,-1030000,-1000000,-1100000,-280000,-610000,-870000,-640000,-360000,-193330,-299460,-282010,-2115270,-288260,-266250,-410068,-1030255
24,Net Income ratio,-Infinity,-Infinity,-0.4194,-1.0510,-0.8333,-1.4286,-1.4737,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.31,-0.06,-0.08,-0.47,-0.35,-0.27,-0.02,-0.03,-0.03,-0.02,-0.01,-0.01,-0.01,-0.01,-0.06,-0.01,-0.01,-0.01,-0.03
26,EPS Diluted,-0.31,-0.06,-0.08,-0.47,-0.35,-0.27,-0.02,-0.03,-0.03,-0.02,-0.01,-0.01,-0.01,-0.01,-0.06,-0.01,-0.01,-0.01,-0.03
27,Weighted Average Shares Outstanding,433333,1001388,1691666,2167671,2883332,3371816,12443141,22732618,31695892,33493778,35859854,36002320,36186978,36202320,36202320,36410265,36532320,37127948,37127948
28,Weighted Average Shares Outstanding Diluted,433333,1001388,1691666,2167671,2883332,3371816,12443141,22732618,31695892,33493778,35859854,36002320,36186978,36202320,36202320,36410265,36532320,37127948,37127948
