,https://roic.ai/company/ABQQ,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,8200,28200,408085,250112,433567,448343,115091
2,COGS,- -,- -,7000,- -,51912,150022,174533,177577,1494328
3,Gross Profit,- -,- -,1200,- -,356173,100090,259034,270766,-1379237
4,Gross Profit Ratio,- -,- -,0.1463,- -,0.8728,0.4002,0.5974,0.6039,-11.9839
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,108800,- -
6,General and Administrative Exp.,- -,3568,29805,64879,159394,977328,702088,1531293,1844670
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,3568,29805,64879,159394,977328,702088,1531293,1844670
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,3568,29805,64879,159394,977328,702088,1640093,1844670
11,COGS and Expenses,- -,3568,36805,64879,211306,1127350,876621,1817670,3338998
12,Interest Income ,- -,- -,- -,- -,- -,- -,9089,166352,7
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,255512,156822
14,Depreciation and Amortization,- -,37,160,3616,51912,106000,139870,166177,1521776
15,EBITDA,- -,-3531,-28445,-40873,248691,-1005950,-264765,-1101382,-1984846
16,EBITDA ratio,- -,-Infinity,-3.4689,-1.4494,0.6094,-4.0220,-0.6107,-2.4566,-17.2459
17,Operating Income,- -,-3568,-28605,-36679,196779,-877238,- -,- -,-3223907
18,Operating Income ratio,- -,-Infinity,-3.4884,-1.3007,0.4822,-3.5074,- -,- -,-28.0118
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,-280000,38419,-153744,-439537
20,Income Before Tax,- -,-3568,-28605,-36679,196779,-1157238,-404635,-1523071,-3663444
21,Income Before Tax Ratio,- -,-Infinity,-3.4884,-1.3007,0.4822,-4.6269,-0.9333,-3.3971,-31.8308
22,Income Tax expense (Gain),- -,- -,- -,- -,55347,- -,- -,- -,-55347
23,Net Income,- -,-3568,-28605,-44489,141432,-1111950,-404635,-1523071,-3608097
24,Net Income ratio,- -,-Infinity,-3.4884,-1.5776,0.3466,-4.4458,-0.9333,-3.3971,-31.3499
25,EPS,- -,-0.07,-0.50,-0.50,0.50,-1.00,-0.11,-0.21,-0.02
26,EPS Diluted,- -,-0.07,-0.50,-0.50,0.50,-1.00,-0.11,-0.21,-0.02
27,Weighted Average Shares Outstanding,110000,52471,62609,189311,530036,1162791,3767041,7186259,194571251
28,Weighted Average Shares Outstanding Diluted,110000,52471,62609,189311,530036,1162791,3767041,81964690,194571251
