,https://roic.ai/company/OEC,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,1848243711,1849843961,1603189601,1215507402,1083351563,1412301749,1578203000,1476353000,1136383000,1546800000
2,COGS,1475882773,1478661383,1237100540,865312794,727550377,1010628164,1148232000,1086644000,844034000,1160200000
3,Gross Profit,372360938,371182579,366089061,350194608,355801186,401673585,429971000,389709000,292349000,386600000
4,Gross Profit Ratio,0.2015,0.2007,0.2284,0.2881,0.3284,0.2844,0.2724,0.2640,0.2573,0.2499
5,Research and Development Exp.,12567778,13926096,15751009,14654626,15281225,19284018,20320000,19874000,20201000,22000000
6,General and Administrative Exp.,88367234,89767737,72002529,69543874,74800177,85452408,- -,- -,- -,- -
7,Selling and Marketing Exp.,127219827,127125853,121165913,118185993,120475579,138107349,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",215587061,216893590,193168442,187729867,195275756,223559757,- -,- -,- -,210400000
9,Other Expenses,4422461,2365434,5810107,9378348,3735644,4597260,237979000,219055000,190206000,8600000
10,Operating Expenses,232577300,233185120,214729559,211762841,214292625,247441035,258299000,238929000,210407000,241000000
11,COGS and Expenses,1708460074,1711846502,1451830099,1077075635,941843002,1258069199,1406531000,1325573000,1054441000,1401200000
12,Interest Income ,1938794,6151785,1501775,2126473,703588,893778,- -,- -,- -,- -
13,Interest Expense (Gain),128656069,134907067,90637920,45129338,36042867,30548024,28642000,27572000,38671000,38000000
14,Depreciation and Amortization,78392890,105029136,93733888,79568364,93302764,103066440,98156000,96713000,96526000,104100000
15,EBITDA,194088396,224163882,137537088,197634094,200720416,238660412,295052000,244421000,161485000,328500000
16,EBITDA ratio,0.1050,0.1212,0.0858,0.1626,0.1853,0.1690,0.1870,0.1656,0.1421,0.2124
17,Operating Income,115941492,115735038,126851987,133812564,110209920,148496773,196305000,147151000,74382000,228500000
18,Operating Income ratio,0.0627,0.0626,0.0791,0.1101,0.1017,0.1051,0.1244,0.0997,0.0655,0.1477
19,Total Other Income Expenses (Gains),-128902055,-131507360,-173686707,-60876173,-38835135,-43450824,-28642000,-27572000,-48587000,-42800000
20,Income Before Tax,-12960563,-15772322,-46834720,72936392,71374784,105045949,167663000,119579000,25795000,185700000
