,https://roic.ai/company/AMCR,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1668025670,2578367917,2563595230,- -,- -,4054724343,- -,- -,- -,- -,- -,3425398531,2891974505,4215797771,7216330216,7275275989,8463415378,8193630252,8447921968,8835449336,7695548310,8370798453,13265823055,12478150521,11339332159,10218426949,9599291739,9474348697,9092132044,9262259091,9458200000,12467500000,12861000000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2317886540,3408062155,5920545508,6005481329,7094885168,6923242457,7066581849,7417169755,6487635988,6890239239,10996302076,10365351945,9335809522,8288549532,7669606196,7468316538,7182194889,7416784455,7659100000,9932000000,10129000000
3,Gross Profit,1668025670,2578367917,2563595230,- -,- -,4054724343,- -,- -,- -,- -,- -,3425398531,574087966,807735615,1295784707,1269794660,1368530210,1270387795,1381340119,1418279580,1207912322,1480559215,2269520980,2112798575,2003522637,1929877417,1929685543,2006032159,1909937154,1845474636,1799100000,2535500000,2732000000
4,Gross Profit Ratio,1.0000,1.0000,1.0000,- -,- -,1.0000,- -,- -,- -,- -,- -,1.0000,0.1985,0.1916,0.1796,0.1745,0.1617,0.1550,0.1635,0.1605,0.1570,0.1769,0.1711,0.1693,0.1767,0.1889,0.2010,0.2117,0.2101,0.1992,0.1902,0.2034,0.2124
5,Research and Development Exp.,- -,- -,- -,- -,- -,20236016,- -,- -,- -,- -,- -,11761896,7654506,20267988,30186238,32440520,30271144,27455811,27311281,34634188,32120606,46912846,99608832,69693186,59866578,71553656,62818145,67779510,69032669,65100489,64000000,97300000,100000000
6,General and Administrative Exp.,- -,- -,1264619,- -,- -,56035220,- -,- -,- -,46311529,54738922,36795630,274184412,390327666,586340727,709846117,932915485,586663896,730025445,751236594,662265552,818935112,1279738367,1082444686,893800706,660741522,746127766,1258144593,781138122,608565338,951300000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92262315,199583380,288790664,218554020,231189191,236936228,268787108,304627778,263663363,283771725,387854563,348772950,316033474,229254147,214420601,211283014,217487875,209315467,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,1264619,- -,- -,56035220,- -,- -,- -,46311529,54738922,36795630,366446727,589911046,875131391,928400137,1164104676,823600125,998812553,1055864372,925928915,1102706837,1667592929,1431217635,1209834181,889995669,960548367,1469427607,998625996,817880805,999000000,1384800000,1292000000
9,Other Expenses,64347301,96417127,105028567,- -,- -,247313580,- -,- -,162551999,- -,- -,225446295,-0,0,117106433,- -,- -,-0,0,- -,- -,- -,0,- -,- -,- -,-0,0,-0,0,-186400000,-55700000,-75000000
10,Operating Expenses,64347301,96417127,106293186,- -,- -,323584816,- -,- -,162551999,46311529,54738922,274003821,374101233,610179034,1022424063,960840657,1194375820,851055936,1026123834,1090498560,958049521,1149619683,1767201761,1500910821,1269700758,961549325,1023366512,1537207118,1067658666,882981294,876600000,1426400000,1317000000
11,COGS and Expenses,64347301,96417127,106293186,- -,- -,323584816,- -,- -,162551999,46311529,54738922,274003821,2691987773,4018241189,6942969571,6966321986,8289260988,7774298393,8092705683,8507668315,7445685509,8039858922,12763503837,11866262767,10605510280,9250098857,8692972709,9005523656,8249853555,8299765749,8666500000,11358400000,11446000000
12,Interest Income ,- -,8096167,6123701,9382307,6719394,7528406,5397536,8662509,8440345,8008294,11548577,9134874,7144206,9233194,6738000,9228769,15936194,16102462,19847328,28415342,9038964,18952110,20306522,22617025,24822727,28998061,27264473,34593697,12188112,13020098,16800000,22200000,14000000
13,Interest Expense (Gain),112989052,176929056,125764792,90906782,52679675,54132476,83590782,115605116,88246820,89953626,107408446,87169383,79096564,77637653,111311754,101656284,120550828,195826717,198303647,200342515,155680021,174818340,252335250,233231676,225686047,227088708,196244286,202332901,199005901,216570941,207900000,206900000,153000000
14,Depreciation and Amortization,64347301,96417127,105028567,- -,- -,163286690,- -,- -,162551999,136327235,143055500,144784763,101192572,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,453000000,651600000,574000000
15,EBITDA,311713854,445470049,461760037,381275725,352457899,544065617,491033699,508410508,98043649,132354128,397057449,515314347,389104066,624817025,451580735,428438590,386814896,562547306,765139949,619588408,445491817,381676794,864202809,925046564,978398752,834353287,1063414329,689661547,1009515375,1080568733,1262600000,1657600000,1927000000
16,EBITDA ratio,0.1869,0.1728,0.1801,Infinity,Infinity,0.1342,Infinity,Infinity,Infinity,Infinity,Infinity,0.1504,0.1345,0.1482,0.0626,0.0589,0.0457,0.0687,0.0906,0.0701,0.0579,0.0456,0.0651,0.0741,0.0863,0.0817,0.1108,0.0728,0.1110,0.1167,0.1335,0.1330,0.1498
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,791700000,994000000,1321000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0837,0.0797,0.1027
19,Total Other Income Expenses (Gains),-1468771612,-2307866933,-2220698646,- -,- -,-3432388294,- -,- -,172348827,112550673,344454680,-2924455788,6174635,354858687,55858017,20694814,12657456,-41703151,-105937235,-52716679,-47131743,-58641057,84753009,-32236936,-6661982,-57996121,-11584904,-57622640,-77324582,-87165083,-187600000,-168800000,-128000000
20,Income Before Tax,134906757,174083857,236603397,290368943,299778225,298751233,407442918,392805393,9796829,66239144,289715758,226938922,206161367,552415269,329218662,329648817,186811846,377628708,249279050,275064341,202731059,272298474,587072227,579650818,727159897,910331971,894734126,411202401,764953907,875328259,604100000,825200000,1193000000
21,Income Before Tax Ratio,0.0809,0.0675,0.0923,Infinity,Infinity,0.0737,Infinity,Infinity,Infinity,Infinity,Infinity,0.0663,0.0713,0.1310,0.0456,0.0453,0.0221,0.0461,0.0295,0.0311,0.0263,0.0325,0.0443,0.0465,0.0641,0.0891,0.0932,0.0434,0.0841,0.0945,0.0639,0.0662,0.0928
22,Income Tax expense (Gain),34926387,40278571,55163925,102929730,124646462,139126082,141046128,131670132,142129378,143590571,96060133,109678190,64706092,67672559,96825055,85086450,134199530,106038794,114164546,171640149,118959228,51332172,230639335,269562192,204604981,75507937,187755347,241854188,214091187,144413757,171500000,186900000,261000000
23,Net Income,99451114,131845295,175802753,199060275,210350632,187520368,255459678,266805267,-60363538,31350298,189516829,173682011,144108837,479506812,243443926,241695856,132064538,260681795,452671756,247605744,170852568,155526282,381228224,422252697,548107723,531756642,679414695,245474459,596418287,719584035,430200000,612200000,939000000
24,Net Income ratio,0.0596,0.0511,0.0686,Infinity,Infinity,0.0462,Infinity,Infinity,-Infinity,Infinity,Infinity,0.0507,0.0498,0.1137,0.0337,0.0332,0.0156,0.0318,0.0536,0.0280,0.0222,0.0186,0.0287,0.0338,0.0483,0.0520,0.0708,0.0259,0.0656,0.0777,0.0455,0.0491,0.0730
25,EPS,0.18,0.20,0.37,0.40,0.39,0.32,0.42,0.43,-0.07,0.05,0.30,0.28,0.23,0.69,0.25,0.24,0.11,0.30,0.50,0.29,0.20,0.13,0.31,0.35,0.45,0.44,0.57,0.21,0.52,0.62,0.36,0.38,0.60
26,EPS Diluted,0.18,0.20,0.37,0.37,0.37,0.32,0.42,0.43,-0.07,0.05,0.29,0.27,0.22,0.62,0.25,0.24,0.10,0.29,0.50,0.29,0.20,0.13,0.31,0.34,0.45,0.43,0.55,0.21,0.51,0.62,0.36,0.38,0.60
27,Weighted Average Shares Outstanding,564665849,672183692,481242674,520076000,569433996,585449000,612776831,627407407,916301729,918470136,639500000,631000000,626500000,665000000,835200000,867100000,879000000,879700000,897700000,860000000,837200000,1161400000,1225200000,1213700000,1206100000,1205900000,1202600000,1162200000,1157200000,1157100000,1180300000,1600000000,1551000000
28,Weighted Average Shares Outstanding Diluted,564665849,672183692,481242674,537258065,569433996,585449000,612776831,627407407,916301729,918470136,645227273,645011086,644748858,772166818,841961853,870623145,882481752,891624365,913869863,868456376,843426295,1173076923,1242857143,1231641791,1225714286,1227826087,1225691562,1179016994,1168344190,1163937437,1183800000,1602000000,1556000000
