,https://roic.ai/company/CNXC,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,1990180000,2463151000,4707912000,4719534000,5587015000
2,COGS,1241026000,1525599000,2959464000,3058009000,3617527000
3,Gross Profit,749154000,937552000,1748448000,1661525000,1969488000
4,Gross Profit Ratio,0.3764,0.3806,0.3714,0.3521,0.3525
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,1397091000
9,Other Expenses,1876000000,2318000000,4414000000,1352764000,- -
10,Operating Expenses,1876000000,2318000000,4414000000,1352764000,1397091000
11,COGS and Expenses,1875557000,2318390000,4413580000,4410773000,5014618000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),24020000,38239000,92196000,48313000,23046000
14,Depreciation and Amortization,129868000,154598000,305780000,276566000,277175000
15,EBITDA,242165000,303745000,602392000,592774000,855917000
16,EBITDA ratio,0.1217,0.1233,0.1280,0.1256,0.1532
17,Operating Income,114623000,144761000,294332000,308761000,572397000
18,Operating Income ratio,0.0576,0.0588,0.0625,0.0654,0.1025
19,Total Other Income Expenses (Gains),-26346000,-33853000,-89916000,-40866000,-16701000
20,Income Before Tax,88277000,110908000,204416000,267895000,555696000
21,Income Before Tax Ratio,0.0444,0.0450,0.0434,0.0568,0.0995
22,Income Tax expense (Gain),16027000,62637000,87252000,103084000,150119000
23,Net Income,72250000,48271000,117164000,164811000,405577000
24,Net Income ratio,0.0363,0.0196,0.0249,0.0349,0.0726
25,EPS,1.40,0.93,2.27,3.19,7.90
26,EPS Diluted,1.40,0.93,2.27,3.19,7.81
27,Weighted Average Shares Outstanding,51700000,51700000,51700000,51602000,51432000
28,Weighted Average Shares Outstanding Diluted,51700000,51700000,51700000,51602000,52061000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1803599/000180359921000045/0001803599-21-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1803599/000180359922000025/0001803599-22-000025-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,123389000,79656000,152656000,182038000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,123389000,79656000,152656000,182038000
34,Net Receivables,- -,995677000,1016253000,1081481000,1207953000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,- -,179474000,203696000,189239000,153074000
37,Total Current Assets,- -,1298540000,1299605000,1423376000,1543065000
38,PP&E,- -,419603000,411465000,451649000,407144000
39,Goodwill,- -,1775541000,1829328000,1836050000,1813502000
40,Intangible Assets,- -,1104497000,934123000,798959000,655528000
41,Intangible Assets,- -,2880038000,2763451000,2635009000,2469030000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,71347000,64879000,47423000,48413000
44,Other Non-Current Assets,- -,97465000,114355000,620099000,578715000
45,Total Non-Current Assets,- -,3468453000,3354150000,3754180000,3503302000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,4766993000,4653755000,5177556000,5046367000
48,Accounts Payable,- -,46301000,44558000,140575000,129359000
49,Short-Term Debt,- -,2242739000,1981385000,33750000,- -
