,https://roic.ai/company/HROW,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,100000,10000,1660246,9716000,19942000,26774000,41372000,51165000,48871000,72476
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1092839,5206000,9831000,13505000,16521000,16749000,14463000,18214
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,100000,10000,567407,4510000,10111000,13269000,24851000,34416000,34408000,54262
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,1.0000,0.3418,0.4642,0.5070,0.4956,0.6007,0.6726,0.7041,0.7487
5,Research and Development Exp.,- -,- -,150000,- -,1990665,2965707,194588,111554,1298503,1616082,236660,332000,739000,413000,825000,2083000,2413000,11084
6,General and Administrative Exp.,- -,- -,430000,- -,- -,- -,- -,- -,- -,- -,8087316,12504000,17569000,17960000,- -,- -,31247,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2390180,6496000,7382000,7059000,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,430000,- -,- -,- -,- -,- -,- -,- -,10477496,19000000,24951000,25019000,- -,- -,31247,41315
9,Other Expenses,- -,- -,- -,2859388,1755731,1598369,2307972,827674,2980374,6080797,- -,- -,- -,- -,29243000,33096000,31215753,249
10,Operating Expenses,- -,- -,580000,2859388,3746396,4564076,2502560,939228,4278877,7696879,10714156,19332000,25690000,25432000,30068000,35179000,33660000,52648
11,COGS and Expenses,- -,- -,580000,2859388,3746396,4564076,2502560,939228,4278877,7696879,11806995,24538000,35521000,38937000,46589000,51928000,48123000,70862
12,Interest Income ,- -,- -,- -,48438,67008,10440,512,- -,15410,43755,32446,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,-10000,1563504,- -,- -,55479,75000,24658,- -,3800,- -,- -,- -,- -,- -,- -,-5436
14,Depreciation and Amortization,- -,- -,- -,201252,704,1056,1056,338,2944,5659,85349,610000,1406000,1765000,1843000,2663000,2743000,- -
15,EBITDA,- -,- -,-590000,-2748050,-3745692,-4563020,-2501504,-938890,-5355933,-7637465,-10028954,-15289000,-17792000,-11155000,16468000,2831000,-610000,-23310
16,EBITDA ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-53.5593,-763.7465,-6.0406,-1.5736,-0.8922,-0.4166,0.3980,0.0553,-0.0125,-0.3216
