,https://roic.ai/company/AMHG,2019,2020
0,INCOME STATEMENT, , 
1,Revenue,30143118,18763916
2,COGS,28901135,5749876
3,Gross Profit,1241983,13014040
4,Gross Profit Ratio,0.0412,0.6936
5,Research and Development Exp.,- -,- -
6,General and Administrative Exp.,4578728,4691541
7,Selling and Marketing Exp.,1387719,- -
8,"Selling, General and Administrative Exp.",5966447,4691541
9,Other Expenses,2203906,8503042
10,Operating Expenses,8170353,13194583
11,COGS and Expenses,37071488,18944459
12,Interest Income ,- -,- -
13,Interest Expense (Gain),673573,684315
14,Depreciation and Amortization,3544314,1525367
15,EBITDA,-13434771,-18374786
16,EBITDA ratio,-0.4457,-0.9793
17,Operating Income,-16078222,-8263683
18,Operating Income ratio,-0.5334,-0.4404
19,Total Other Income Expenses (Gains),-1291410,-12320785
20,Income Before Tax,-17369632,-20584468
21,Income Before Tax Ratio,-0.5762,-1.0970
22,Income Tax expense (Gain),73726,-6505
23,Net Income,-17726384,-20577963
24,Net Income ratio,-0.5881,-1.0967
25,EPS,-1.25,-1.46
26,EPS Diluted,-1.25,-1.46
27,Weighted Average Shares Outstanding,14282736,13708985
28,Weighted Average Shares Outstanding Diluted,14282736,13708985
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1805024/000149315221008918/0001493152-21-008918-index.htm
30,BALANCE SHEET, , 
31,Cash and Cash Equivalents,500681,678468
32,Short-Term Investments,- -,413268
33,Cash and Short-Term Investments,500681,1091736
34,Net Receivables,131887,314043
35,Inventory,287111,172695
36,Other Current Assets,249915,1540563
37,Total Current Assets,1169594,3119037
38,PP&E,17298516,3702894
39,Goodwill,8567888,8591149
40,Intangible Assets,3656995,3043885
41,Intangible Assets,12224883,11635034
42,Investments,381397,365001
43,Tax Assets,- -,- -
44,Other Non-Current Assets,458462,-365001
45,Total Non-Current Assets,30363258,15337928
46,Other Assets,- -,- -
47,Total Assets,31532852,18456965
48,Accounts Payable,1265435,8667268
49,Short-Term Debt,9930270,6548367
50,Tax Payable,3318022,3356496
51,Deferred Revenue,- -,- -
52,Other Current Liabilities,6899760,184800
53,Total Current Liabilities,18095465,15400435
54,Long-Term Debt,- -,2338978
55,Deferred Revenue,959445,- -
56,Deferred Tax Liabilities,102304,- -
57,Other Non-Current Liabilities,15527649,- -
58,Total Non-Current Liabilities,16589398,2338978
59,Other Liabilities,- -,18274580
60,Capital Lease Obligations,17681663,14887251
61,Total Liabilities,34684863,31336037
62,Preferred Stock,- -,459608
63,Common Stock,1041,1428
64,Retained Earnings,-75068385,- -
65,Other Comprehensive Income/Loss,-46437,-25916
66,Other Total Stockholders Equity,71505989,-2154138
67,Total Stockholders Equity,-3607792,-1719018
68,Total Liabilities And Stockholders Equity,31077071,29617019
69,Minority Interest,455781,-11160054
70,Total Liabilities & Equity,31532852,18456965
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1805024/000149315221008918/0001493152-21-008918-index.htm
72,CASH FLOW STATEMENT, , 
73,Net Income,-17726384,-20577963
74,Depreciation and Amortization,3544314,1525367
75,Deferred Income Tax,-170443,6505
76,Stock Based Compensation,126829,- -
77,Change in Working Capital,-99483,4644473
78,Accounts Receivable,- -,-33444
79,Inventory,-68163,107686
80,Accounts Payable,1949095,377248
81,Other Working Capital,-16925871,-12281398
82,Other Non-Cash Items,10278617,8785482
83,Cash Provided by Operating Activities,-4046550,-5616136
84,CAPEX,-472882,-63751
85,Acquisitions Net,- -,- -
86,Purchases of Investments,- -,- -
87,Sales/Maturities of Investments,- -,- -
88,Other Investing Activites,1151551,- -
89,Cash Used for Investing Activites,678669,-63751
90,Debt Repayment,- -,- -
91,Common Stock Issued,2847585,- -
92,Common Stock Repurchased,- -,- -
93,Dividends Paid,- -,- -
94,Other Financing Activites,495812,7107141
95,Cash Used/Provided by Financing Activities,3343397,7107141
96,Effect of Forex Changes on Cash,1390,- -
97,Net Change In Cash,-23094,1427787
98,Cash at the End of Period,501017,1928804
99,Cash at the Beginning of Period,524111,501017
100,Free Cash Flow,-4519432,-5679887
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1805024/000149315221008918/0001493152-21-008918-index.htm
102,false,,
