,https://roic.ai/company/ZEST,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,54135,685568,675971,648477,738122,218270,159882,14403000,- -,558000,1062000,581000,15563000
2,COGS,28832,464432,378061,415004,460406,135356,102069,11847000,- -,243000,699000,259000,14727000
3,Gross Profit,25303,221136,297910,233473,277716,82914,57813,2556000,- -,315000,363000,322000,836000
4,Gross Profit Ratio,0.4674,0.3226,0.4407,0.3600,0.3762,0.3799,0.3616,0.1775,- -,0.5645,0.3418,0.5542,0.0537
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,5979000,- -,5576000,3320000,2472000,883000
6,General and Administrative Exp.,- -,- -,947854,- -,382541,380689,347807,19307000,- -,32451000,7834000,7371000,16652000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",165150,- -,947854,- -,382541,380689,347807,19307000,- -,32451000,7834000,7371000,16652000
9,Other Expenses,35650,883508,389545,1125588,36452,35962,35962,2120000,- -,818000,3357000,286000,1902000
10,Operating Expenses,200800,883508,1337399,1125588,418993,416651,383769,27406000,- -,38845000,14511000,10129000,19437000
11,COGS and Expenses,229632,1347940,1715460,1540592,879399,552007,485838,39253000,- -,39088000,15210000,10388000,34164000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),2501,881403,1200142,39754,239872,239981,239985,- -,- -,55000,417000,422000,2546000
14,Depreciation and Amortization,35650,295735,389545,37997,36452,35962,35962,2313000,- -,3041000,3357000,286000,1902000
15,EBITDA,-139847,-366637,-649944,-848820,-100825,-297775,-289994,-23036000,- -,-39034000,-9874000,-11429000,-16440000
16,EBITDA ratio,-2.5833,-0.5348,-0.9615,-1.3089,-0.1366,-1.3643,-1.8138,-1.5994,- -,-69.9534,-9.2976,-19.6713,-1.0564
17,Operating Income,-175497,- -,- -,-892115,-141277,-333737,-325956,-24850000,- -,-38530000,-14148000,-9807000,-18601000
18,Operating Income ratio,-3.2418,- -,- -,-1.3757,-0.1914,-1.5290,-2.0387,-1.7253,- -,-69.0502,-13.3220,-16.8795,-1.1952
19,Total Other Income Expenses (Gains),-2501,- -,- -,-34456,-235872,-239981,-239985,-380000,- -,-55000,2743000,-2332000,-2287000
20,Income Before Tax,-177998,- -,- -,-926571,-377149,-573718,-565941,-25230000,- -,-38585000,-11405000,-12139000,-20888000
21,Income Before Tax Ratio,-3.2880,- -,- -,-1.4288,-0.5110,-2.6285,-3.5397,-1.7517,- -,-69.1487,-10.7392,-20.8933,-1.3422
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,22000,2000,- -,- -
23,Net Income,-177998,-1543775,-2239631,-926571,-377149,-573718,-565941,-25349000,- -,-42152000,-13650000,-12137000,-20888000
24,Net Income ratio,-3.2880,-2.2518,-3.3132,-1.4288,-0.5110,-2.6285,-3.5397,-1.7600,- -,-75.5412,-12.8531,-20.8898,-1.3422
25,EPS,-47.50,-75.00,-112.50,-37.50,-12.50,-25.00,-12.50,-3.75,- -,-4.65,-1.35,-0.90,-1.02
26,EPS Diluted,-47.50,-75.00,-112.50,-37.50,-12.50,-25.00,-14.37,-3.75,- -,-4.65,-1.35,-0.90,-1.02
27,Weighted Average Shares Outstanding,3621,19114,19352,21743,24671,29975,34386,6765400,- -,9100000,10202000,12810800,20551000
28,Weighted Average Shares Outstanding Diluted,3621,19114,22380,21743,24671,29975,39374,7486200,- -,9100000,10202000,12810800,20551000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1437491/000121390021034916/0001213900-21-034916-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,744402,430585,255862,135626,118172,25127,45870,1495000,- -,3730000,244000,321000,981000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,744402,430585,255862,135626,118172,25127,45870,1495000,- -,3730000,244000,321000,981000
34,Net Receivables,54135,118150,247110,267116,226625,185455,10513,2580000,- -,2617000,520000,172000,1136000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,2053000,- -,- -,- -,- -,122000
36,Other Current Assets,- -,1417,1417,1417,1417,1417,- -,2526000,- -,887000,923000,761000,2330000
37,Total Current Assets,798537,550152,504389,404159,346214,211999,56383,8654000,- -,7234000,1687000,1254000,4569000
38,PP&E,- -,6432,4084,1737,935,623,311,2942000,- -,2619000,824000,10831000,16971000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,582000,- -,- -,- -,12325000,10225000
40,Intangible Assets,- -,261433,225783,190133,154483,118833,83183,1065000,- -,1545000,- -,250000,2065000
41,Intangible Assets,297083,261433,225783,190133,154483,118833,83183,1647000,- -,1545000,- -,12575000,12290000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,609776,351548,- -,- -,- -,- -,- -,55000,- -,1049000,27000,256000,2761000
45,Total Non-Current Assets,906859,619413,229867,191870,155418,119456,83494,4644000,- -,5213000,851000,23662000,32022000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1705396,1169565,734256,596029,501632,331455,139877,13298000,- -,12447000,2538000,24916000,36591000
48,Accounts Payable,45822,- -,- -,- -,- -,- -,- -,2135000,- -,2350000,1416000,751000,3614000
49,Short-Term Debt,- -,- -,2000000,2400000,2400000,2400000,2400000,1685000,- -,500000,1350000,8795000,1987000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,70000,1618436,316517,384861,451953,578810,682029,3364000,- -,1123000,3966000,8397000,10813000
53,Total Current Liabilities,115822,1618436,2316517,2784861,2851953,2978810,3082029,7184000,- -,3973000,6732000,17943000,16414000
54,Long-Term Debt,577170,- -,400000,- -,- -,- -,- -,642000,- -,- -,- -,931000,1616000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,295000,1532000
58,Total Non-Current Liabilities,577170,- -,400000,- -,- -,- -,- -,642000,- -,- -,- -,1226000,3148000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,732000,957000
61,Total Liabilities,692992,1618436,2716517,2784861,2851953,2978810,3082029,7826000,- -,3973000,6732000,19169000,19562000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,18111,23930,26670,28167,33836,39727,47434,38000,- -,49000,53000,86000,23000
64,Retained Earnings,-216902,-1760677,-4000308,-4926879,-5304028,-5877746,-6443687,-61936000,- -,-112381000,-115886000,-128023000,-148911000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
