,https://roic.ai/company/ZI,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,144300000,293300000,476000000,747200000
2,COGS,37800000,68600000,84000000,136700000
3,Gross Profit,106500000,224700000,392000000,610500000
4,Gross Profit Ratio,0.7380,0.7661,0.8235,0.8171
5,Research and Development Exp.,6100000,30100000,51000000,119700000
6,General and Administrative Exp.,20800000,35100000,62800000,92400000
7,Selling and Marketing Exp.,42400000,90200000,184000000,241100000
8,"Selling, General and Administrative Exp.",63200000,125300000,246800000,333500000
9,Other Expenses,7000000,17600000,33200000,20300000
10,Operating Expenses,76300000,173000000,331000000,473500000
11,COGS and Expenses,114100000,241600000,415000000,610200000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),58200000,102400000,-69000000,43900000
14,Depreciation and Amortization,17300000,48700000,50000000,69300000
15,EBITDA,44000000,98400000,-59000000,236100000
16,EBITDA ratio,0.3049,0.3355,-0.1239,0.3160
17,Operating Income,26600000,36100000,37100000,113300000
18,Operating Income ratio,0.1843,0.1231,0.0779,0.1516
19,Total Other Income Expenses (Gains),-58100000,-120600000,-68100000,-12300000
20,Income Before Tax,-31500000,-84500000,-31000000,101000000
21,Income Before Tax Ratio,-0.2183,-0.2881,-0.0651,0.1352
22,Income Tax expense (Gain),-2900000,-6500000,-4000000,6100000
23,Net Income,-28600000,-46200000,-36000000,116800000
24,Net Income ratio,-0.1982,-0.1575,-0.0756,0.1563
25,EPS,-0.20,-0.13,-0.10,0.67
26,EPS Diluted,-0.20,-0.13,-0.11,0.67
27,Weighted Average Shares Outstanding,143485371,143485371,173820611,173820611
28,Weighted Average Shares Outstanding Diluted,143485371,143485371,173820611,173820611
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1794515/000179451521000061/0001794515-21-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1794515/000179451522000015/0001794515-22-000015-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,9000000,41400000,269000000,308300000
32,Short-Term Investments,- -,- -,30000000,18400000
33,Cash and Short-Term Investments,9000000,41400000,299000000,326700000
34,Net Receivables,31300000,90800000,121000000,191900000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,4700000,16000000,34000000,27100000
37,Total Current Assets,45000000,148200000,454000000,545700000
38,PP&E,- -,- -,31000000,101500000
39,Goodwill,445700000,966800000,1000000000,1575100000
40,Intangible Assets,88700000,370600000,365000000,431000000
41,Intangible Assets,534400000,1337400000,1365000000,2006100000
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,415000000,4116000000
