,https://roic.ai/company/ABEV,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2870798400,3172491560,3248302512,5249838989,6525470249,7325292889,8683800000,12006800000,15948637832,17571136793,19648200000,20713200000,23194000000,25233300000,27126700000,32231000000,34791400000,38079800000,46720200000,45602600000,47899300000,50231300000,52599700000,58379000000,72854300000
2,COGS,1706364000,1810850160,1905069279,2843473890,3366164561,3341696275,4044200000,4780500000,5738714263,5934325265,6546000000,7217700000,7731900000,8449000000,8793300000,10291500000,11397800000,12814600000,16061400000,16678000000,18041800000,19269600000,21678200000,27066100000,35659700000
3,Gross Profit,1164434400,1361641400,1343233233,2406365099,3159305688,3983596614,4639600000,7226300000,10209923569,11636811528,13102200000,13495500000,15462100000,16784300000,18333400000,21939500000,23393600000,25265200000,30658800000,28924600000,29857500000,30961700000,30921500000,31312900000,37194600000
4,Gross Profit Ratio,0.4056,0.4292,0.4135,0.4584,0.4841,0.5438,0.5343,0.6019,0.6402,0.6623,0.6668,0.6515,0.6666,0.6652,0.6758,0.6807,0.6724,0.6635,0.6562,0.6343,0.6233,0.6164,0.5879,0.5364,0.5105
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,417900000,617900000,- -,771200000,801400000,1037000000,1478100000,1196900000,1180600000,1546500000,1736400000,1820000000,2281300000,2166100000,2623800000,2367200000,2680000000,2948500000,4877400000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,1495700000,2451700000,- -,3866700000,4109000000,4956300000,5542000000,6038500000,6251000000,7346600000,8025800000,9158800000,11177900000,12010500000,11915500000,12466000000,12647500000,14619600000,16968200000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,1913600000,3069600000,- -,4637900000,4910400000,5993300000,7020100000,7235400000,7431600000,8893100000,9762200000,10978800000,13459200000,14176600000,14539300000,14833200000,15327500000,17568100000,21845600000
9,Other Expenses,676630800,910499520,878591755,2079807271,2273325015,2604096902,420000000,1183200000,7400575681,2654533480,948800000,-383500000,-539300000,-624900000,- -,-627900000,-991700000,-1369600000,-1503200000,-809000000,-801100000,-440500000,-521500000,-2317200000,-1841500000
10,Operating Expenses,676630800,910499520,878591755,2079807271,2273325015,2604096902,2333600000,4252800000,7400575681,7292433480,5859200000,5609800000,6480800000,6610500000,7431600000,8265200000,8770500000,9609200000,11956000000,13367600000,13738200000,14392700000,14806000000,15250900000,20004100000
11,COGS and Expenses,2382994800,2721349680,2783661034,4923281161,5639489576,5945793176,6377800000,9033300000,13139289944,13226758745,12405200000,12827500000,14212700000,15059500000,16224900000,18556700000,20168300000,22423800000,28017400000,30045600000,31780000000,33662300000,36484200000,42317000000,55663800000
12,Interest Income ,- -,- -,- -,373944055,- -,- -,- -,11600000,95540786,- -,- -,256800000,366400000,784900000,765600000,245600000,342600000,399400000,575500000,513600000,458800000,454000000,1068000000,2256100000,1101500000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,646500000,- -,- -,- -,1447600000,1348500000,1104300000,1233700000,557100000,832700000,1010200000,1254300000,2268500000,1872800000,1524500000,1825000000,2112600000,1431800000
14,Depreciation and Amortization,57920400,85298920,95408259,202267939,708008890,749999363,1018700000,1725800000,2603973843,2465428033,1424000000,1290700000,1376500000,1567200000,1454700000,1768600000,2092100000,2392500000,3074600000,3512000000,3612100000,4023100000,4675200000,5167400000,5396700000
15,EBITDA,577753200,450658600,400120333,267029636,1544536185,1979697432,2856400000,4045600000,4993282715,6577067163,5833300000,9304500000,10919200000,12317300000,13851400000,15238900000,14917400000,17474800000,20386900000,18642100000,17896200000,18361900000,19034900000,20421900000,20136100000
16,EBITDA ratio,0.2013,0.1421,0.1232,0.0509,0.2367,0.2703,0.3289,0.3369,0.3131,0.3743,0.2969,0.4492,0.4708,0.4881,0.5106,0.4728,0.4288,0.4589,0.4364,0.4088,0.3736,0.3655,0.3619,0.3498,0.2764
17,Operating Income,487803600,451141880,464641479,326555878,885978351,1379499712,2457500000,2163300000,2809345553,4325622710,4485600000,7826500000,9177900000,10023000000,11709400000,13860000000,15363700000,15826600000,18778500000,17105400000,16426800000,16989400000,16074900000,15972200000,17080300000
18,Operating Income ratio,0.1699,0.1422,0.1430,0.0622,0.1358,0.1883,0.2830,0.1802,0.1761,0.2462,0.2283,0.3779,0.3957,0.3972,0.4317,0.4300,0.4416,0.4156,0.4019,0.3751,0.3429,0.3382,0.3056,0.2736,0.2344
19,Total Other Income Expenses (Gains),32029200,-85782200,-159929406,-261794181,-49451056,-149801643,-593300000,-333900000,-234155132,-28731173,40400000,-1188500000,-981400000,-319300000,-467600000,-812300000,-1552000000,-1458000000,-2265100000,-3707000000,-3497000000,-3822400000,-3131800000,-2477800000,-3321100000
20,Income Before Tax,519832800,365359680,304712073,64761697,836527295,1229698070,1864200000,1829400000,2575190421,4296891538,4526000000,6638000000,8196500000,9703700000,11241800000,13047700000,13811700000,14368600000,16513400000,13398400000,12929800000,13167000000,12943100000,13494400000,13759200000
21,Income Before Tax Ratio,0.1811,0.1152,0.0938,0.0123,0.1282,0.1679,0.2147,0.1524,0.1615,0.2445,0.2304,0.3205,0.3534,0.3846,0.4144,0.4048,0.3970,0.3773,0.3535,0.2938,0.2699,0.2621,0.2461,0.2312,0.1889
22,Income Tax expense (Gain),51001200,34554520,-17586046,-405374331,51973074,-280601531,426100000,511800000,844572888,1312120853,1592900000,1447100000,2208100000,2084400000,2522000000,2405100000,2457600000,2006600000,3634200000,315000000,5079300000,1789600000,754700000,1762500000,636600000
23,Net Income,468831600,330805160,322298120,470136028,784554221,1510299601,1411600000,1161500000,1544735984,2799518278,2816400000,5119100000,5986100000,7561400000,8641000000,10508100000,9535000000,12065500000,12423800000,12546600000,7332000000,11024700000,11780000000,11379400000,12671000000
24,Net Income ratio,0.1633,0.1043,0.0992,0.0896,0.1202,0.2062,0.1626,0.0967,0.0969,0.1593,0.1433,0.2471,0.2581,0.2997,0.3185,0.3260,0.2741,0.3168,0.2659,0.2751,0.1531,0.2195,0.2240,0.1949,0.1739
25,EPS,0.04,0.03,0.03,0.02,0.01,0.03,0.03,0.01,0.02,0.04,0.33,0.33,0.37,0.47,0.53,0.64,0.75,0.77,0.79,0.80,0.47,0.70,0.75,0.75,0.81
26,EPS Diluted,0.04,0.03,0.03,0.02,0.01,0.03,0.03,0.01,0.02,0.04,0.29,0.31,0.37,0.47,0.53,0.64,0.74,0.76,0.78,0.79,0.47,0.70,0.74,0.74,0.80
27,Weighted Average Shares Outstanding,10551264802,10332351903,10377210119,54338489402,57695357288,57433260952,45912421434,82033077817,81774444863,79738636267,14225860943,15361621920,16075022788,15479854471,16253721992,15616067690,12678766339,15682900000,15726329114,15696600000,15710221382,15718100000,15727500000,15733100000,15736900000
28,Weighted Average Shares Outstanding Diluted,10551264802,10332351903,10377210119,56411937446,57695357288,57433260952,46283329307,82033077817,81774444863,79738636267,16185423509,16622935980,16109592729,15529910589,16315056792,15688345062,12824679762,15819900000,15927948718,15823200000,15710221382,15856200000,15869000000,15867600000,15857400000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1565025/000129281415000588/0001292814-15-000588-index.htm,https://www.sec.gov/Archives/edgar/data/1565025/000129281416003835/0001292814-16-003835-index.htm,https://www.sec.gov/Archives/edgar/data/1565025/000129281417000625/0001292814-17-000625-index.htm,https://www.sec.gov/Archives/edgar/data/1565025/000129281418000752/0001292814-18-000752-index.htm,https://www.sec.gov/Archives/edgar/data/1565025/000129281419000845/0001292814-19-000845-index.htm,https://www.sec.gov/Archives/edgar/data/1565025/000129281420000888/0001292814-20-000888-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,11941200,20539400,33643028,44701228,2412061540,2769498531,1196100000,1290900000,836776356,1535180353,2308200000,3298900000,4042900000,5909300000,8076200000,8926200000,11285800000,9722100000,13620200000,7876800000,10354500000,11463500000,11900700000,17090300000,16627700000
