,https://roic.ai/company/PNTG,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,217225000,250991000,286058000,338531000,390953000,439694000
2,COGS,188940000,218582000,243620000,293916000,336065000,393956000
3,Gross Profit,28285000,32409000,42438000,44615000,54888000,45738000
4,Gross Profit Ratio,0.1302,0.1291,0.1484,0.1318,0.1404,0.1040
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,12448000,14463000,18843000,35135000,31296000,36259000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",12448000,14463000,18843000,35135000,31296000,36259000
9,Other Expenses,2855000,2544000,2964000,3810000,4675000,4784000
10,Operating Expenses,15303000,17007000,21807000,38945000,35971000,41043000
11,COGS and Expenses,204243000,235589000,265427000,332861000,372036000,434999000
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,410000,1239000,1941000
14,Depreciation and Amortization,2855000,2544000,2964000,3810000,4675000,4784000
15,EBITDA,15811000,17786000,23000000,8851000,24008000,10003000
16,EBITDA ratio,0.0728,0.0709,0.0804,0.0261,0.0614,0.0227
17,Operating Income,12982000,15402000,20631000,5670000,18917000,4695000
18,Operating Income ratio,0.0598,0.0614,0.0721,0.0167,0.0484,0.0107
19,Total Other Income Expenses (Gains),- -,- -,- -,-410000,-1014000,-1965000
20,Income Before Tax,12982000,15402000,20631000,5260000,17903000,2730000
21,Income Before Tax Ratio,0.0598,0.0614,0.0721,0.0155,0.0458,0.0062
22,Income Tax expense (Gain),5065000,5375000,4352000,2085000,2350000,582000
23,Net Income,7891000,9867000,15684000,2546000,15744000,2696000
24,Net Income ratio,0.0363,0.0393,0.0548,0.0075,0.0403,0.0061
25,EPS,0.28,0.35,0.56,0.11,0.56,0.08
26,EPS Diluted,0.28,0.35,0.56,0.11,0.52,0.07
27,Weighted Average Shares Outstanding,28000000,28000000,28000000,27838000,28029000,28444000
28,Weighted Average Shares Outstanding Diluted,28000000,28000000,28000000,29586000,30228000,30556000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1766400/000176640020000034/0001766400-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1766400/000176640021000037/0001766400-21-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1766400/000176640022000044/0001766400-22-000044-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,36000,41000,402000,43000,5190000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,36000,41000,402000,43000,5190000
34,Net Receivables,- -,22245000,24469000,32183000,47221000,53940000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,4416000,4613000,6098000,12335000,16711000
37,Total Current Assets,- -,26697000,29123000,38683000,59599000,75841000
38,PP&E,- -,8793000,10458000,330972000,326534000,317785000
39,Goodwill,- -,27964000,30892000,41233000,66444000,74265000
40,Intangible Assets,- -,22884000,25214000,33507000,47488000,53730000
41,Intangible Assets,- -,50848000,56106000,74740000,113932000,127995000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,2097000,3848000
44,Other Non-Current Assets,- -,1951000,2464000,3355000,4814000,4828000
45,Total Non-Current Assets,- -,61592000,69028000,409067000,447377000,454456000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,88289000,98151000,447750000,506976000,530297000
48,Accounts Payable,- -,3077000,4390000,8653000,9761000,10553000
49,Short-Term Debt,- -,- -,- -,- -,14106000,16118000
50,Tax Payable,- -,- -,- -,- -,- -,1102000
51,Deferred Revenue,- -,- -,- -,1937000,- -,7667000
52,Other Current Liabilities,- -,23176000,25157000,40602000,65148000,37297000
53,Total Current Liabilities,- -,26253000,29547000,51192000,89015000,71635000
54,Long-Term Debt,- -,- -,- -,18526000,8277000,339125000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,2120000,3316000,306921000,308512000,5293000
58,Total Non-Current Liabilities,- -,2120000,3316000,325447000,316789000,344418000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
