,https://roic.ai/company/PHIO,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,97000,399000,71000,34000,19000,15000,138000,21000,4362,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,97000,399000,71000,34000,- -,- -,- -,- -,4362,- -
4,Gross Profit Ratio,- -,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,6624000,10451000,17651000,5680000,6925000,5415000,5370000,4326000,4300000,4431000,8886000
6,General and Administrative Exp.,- -,2621000,3697000,3217000,3346000,3619000,4011000,3176000,4708000,4362000,4625000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,2621000,3697000,3217000,3346000,3619000,4011000,3176000,4708000,4362000,4625000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,13072000,21348000,8897000,10271000,9034000,9381000,7502000,9008000,8793000,13511000
11,COGS and Expenses,12770000,13072000,21348000,8897000,10271000,9034000,9381000,7502000,9008000,8793000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9000
14,Depreciation and Amortization,163000,147000,99000,87000,77000,53000,70000,81000,67000,72000,75000
15,EBITDA,-15158000,-12733000,-20826000,-8713000,-10146000,-8941000,-14003000,-7279000,-8841000,-8722000,75000
16,EBITDA ratio,-Infinity,-131.2680,-52.1955,-122.7183,-298.4118,-470.5789,-933.5333,-52.7464,-421.0000,-1999.5415,Infinity
17,Operating Income,-12770000,-12975000,-20949000,-8826000,-10237000,-9015000,-14062000,-7364000,-8987000,-8793000,-13511000
18,Operating Income ratio,-Infinity,-133.7629,-52.5038,-124.3099,-301.0882,-474.4737,-937.4667,-53.3623,-427.9524,-2015.8184,-Infinity
19,Total Other Income Expenses (Gains),2551000,95000,24000,26000,14000,21000,-11000,4000,79000,-1000,224000
20,Income Before Tax,-10219000,-12880000,-20925000,-8800000,-10223000,-8994000,-14073000,-7360000,-8908000,-8794000,-13287000
21,Income Before Tax Ratio,-Infinity,-132.7835,-52.4436,-123.9437,-300.6765,-473.3684,-938.2000,-53.3333,-424.1905,-2016.0477,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,-1621000,- -,- -,- -,- -
23,Net Income,-10219000,-12880000,-20925000,-8800000,-10223000,-8994000,-12452000,-7360000,-8908000,-8794000,-13287000
24,Net Income ratio,-Infinity,-132.7835,-52.4436,-123.9437,-300.6765,-473.3684,-830.1333,-53.3333,-424.1905,-2016.0477,-Infinity
25,EPS,-11854.99,-26737.77,-15839.84,-4344.96,-1154.99,-901.99,-303.60,-57.20,-19.35,-1.92,-1.04
26,EPS Diluted,-11854.99,-26737.77,-15839.84,-4344.96,-1154.99,-901.99,-303.60,-57.20,-19.35,-1.92,-1.04
27,Weighted Average Shares Outstanding,862,961,1866,2975,9037,12265,41050,128087,460353,4587346,12830809
28,Weighted Average Shares Outstanding Diluted,862,961,1866,2975,9037,12265,41050,128087,460353,4587346,12830809
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1533040/000119312513133515/0001193125-13-133515-index.htm,https://www.sec.gov/Archives/edgar/data/1533040/000119312514121519/0001193125-14-121519-index.htm,https://www.sec.gov/Archives/edgar/data/1533040/000119312515110334/0001193125-15-110334-index.htm,https://www.sec.gov/Archives/edgar/data/1533040/000119312516523721/0001193125-16-523721-index.htm,https://www.sec.gov/Archives/edgar/data/1533040/000119312517102730/0001193125-17-102730-index.htm,https://www.sec.gov/Archives/edgar/data/1533040/000119312518096053/0001193125-18-096053-index.htm,https://www.sec.gov/Archives/edgar/data/1533040/000168316819000795/0001683168-19-000795-index.htm,https://www.sec.gov/Archives/edgar/data/1533040/000168316820000969/0001683168-20-000969-index.htm,https://www.sec.gov/Archives/edgar/data/1533040/000168316821001062/0001683168-21-001062-index.htm,https://www.sec.gov/Archives/edgar/data/1533040/000168316822001833/0001683168-22-001833-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,503000,5127000,11390000,8496000,5117000,12906000,3581000,14879000,6934000,14244000,24057000
32,Short-Term Investments,- -,- -,3000000,- -,5500000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,503000,5127000,14390000,8496000,10617000,12906000,3581000,14879000,6934000,14244000,24057000
34,Net Receivables,597000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,239000,265000,353000,492000,361000,200000,251000,271000,366000,920000,670000
37,Total Current Assets,1339000,5392000,14743000,8988000,10978000,13106000,3832000,15150000,7300000,15164000,24727000
38,PP&E,355000,198000,177000,183000,163000,114000,248000,172000,721000,557000,416000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,2000,18000,18000,18000,177000,18000,- -,18000,18000,27000
45,Total Non-Current Assets,355000,200000,195000,201000,181000,291000,266000,172000,739000,575000,443000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1694000,5592000,14938000,9189000,11159000,13397000,4098000,15322000,8039000,15739000,25170000
48,Accounts Payable,387000,416000,163000,285000,1163000,917000,511000,550000,809000,728000,283000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,295,125000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,816000,491000,118000,47000,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,573000,772000,1795000,1002000,1106000,1625000,1754000,1194000,1071000,1467705,2660000
53,Total Current Liabilities,1776000,1679000,2076000,1334000,2269000,2542000,2265000,1744000,1880000,2196000,3068000
54,Long-Term Debt,500000,- -,- -,- -,- -,- -,- -,- -,- -,231000,- -
55,Deferred Revenue,- -,27000,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,5000,9726000,7920000,5110000,- -,- -,- -,- -,411000,295000,170000
58,Total Non-Current Liabilities,505000,9753000,7920000,5110000,- -,- -,- -,- -,411000,526000,170000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,34000,5000,- -,- -,- -,- -,- -,- -,518000,411000,- -
61,Total Liabilities,2281000,11432000,9996000,6444000,2269000,2542000,2265000,1744000,2291000,2722000,3238000
62,Preferred Stock,- -,- -,2054000,1578000,- -,3525000,- -,- -,- -,- -,- -
63,Common Stock,10000,16000,1000,2000,7000,1000,- -,2000,1000,1000,1000
64,Retained Earnings,-4277000,-17157000,-38082000,-46882000,-57105000,-66099000,-78551000,-85911000,-94819000,-103613000,-116900000
65,Other Comprehensive Income/Loss,-646000,-585000,-632000,-702000,-778000,-831000,-900000,-981000,-1048000,- -,- -
66,Other Total Stockholders Equity,4326000,11886000,41601000,48749000,66766000,74259000,81284000,100468000,101614000,116629000,138831000
67,Total Stockholders Equity,-587000,-5840000,4942000,2745000,8890000,10855000,1833000,13578000,5748000,13017000,21932000
68,Total Liabilities And Stockholders Equity,1694000,5592000,14938000,9189000,11159000,13397000,4098000,15322000,8039000,15739000,25170000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1694000,5592000,14938000,9189000,11159000,13397000,4098000,15322000,8039000,15739000,25170000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1533040/000119312513133515/0001193125-13-133515-index.htm,https://www.sec.gov/Archives/edgar/data/1533040/000119312514121519/0001193125-14-121519-index.htm,https://www.sec.gov/Archives/edgar/data/1533040/000119312515110334/0001193125-15-110334-index.htm,https://www.sec.gov/Archives/edgar/data/1533040/000119312516523721/0001193125-16-523721-index.htm,https://www.sec.gov/Archives/edgar/data/1533040/000119312517102730/0001193125-17-102730-index.htm,https://www.sec.gov/Archives/edgar/data/1533040/000119312518096053/0001193125-18-096053-index.htm,https://www.sec.gov/Archives/edgar/data/1533040/000168316819000795/0001683168-19-000795-index.htm,https://www.sec.gov/Archives/edgar/data/1533040/000168316820000969/0001683168-20-000969-index.htm,https://www.sec.gov/Archives/edgar/data/1533040/000168316821001062/0001683168-21-001062-index.htm,https://www.sec.gov/Archives/edgar/data/1533040/000168316822001833/0001683168-22-001833-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-10219000,-12880000,-20925000,-8800000,-10223000,-8994000,-12452000,-7360000,-8908000,-8794000,-13287000
74,Depreciation and Amortization,163000,147000,99000,87000,77000,53000,70000,81000,67000,72000,75000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-1621000,- -,- -,- -,- -
76,Stock Based Compensation,2109000,968000,1979000,1846000,1535000,756000,314000,282000,300000,136000,480000
77,Change in Working Capital,317000,4150000,8954000,-5013000,1055000,1855000,-8997000,11839000,-7986000,7548000,8691000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-337000,29000,-253000,122000,878000,-246000,-608000,39000,259000,-81000,-445000
81,Other Working Capital,-437000,3713000,12667000,7654000,8709000,10564000,1567000,13406000,5420000,12968000,21659000
82,Other Non-Cash Items,-2359000,2553000,3582000,4122000,239000,-1430000,13172000,-12362000,7882000,-7764000,-7817000
83,Cash Provided by Operating Activities,-9989000,-5062000,-6311000,-7758000,-7317000,-7760000,-9514000,-7520000,-8645000,-8802000,-11858000
84,CAPEX,-59000,-15000,-78000,-95000,-57000,-4000,-203000,-5000,-72000,-19000,-51000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-9000000,-5000000,-8000000,-2000000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,6000000,8000000,2500000,7500000,- -,- -,- -,- -,- -
88,Other Investing Activites,-53000,31000,-15000,12000,- -,-150000,100000,- -,- -,- -,- -
