,https://roic.ai/company/AXDX,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2100000,2500000,7381445,2897984,1567389,855660,653977,850570,118614,502110,212701,183130,475520,1269886,2245628,1121166,236000,48285,122000,147000,246000,4177000,5670000,9297000,11165000,11782000
2,COGS,300000,300000,1153552,1228631,644011,534640,184246,148539,65630,155508,41604,56646,9649,- -,- -,- -,- -,- -,- -,- -,- -,1002000,3187000,4897000,6706000,12163000
3,Gross Profit,1800000,2200000,6227893,1669353,923378,321020,469731,702031,52984,346602,171097,126484,465871,1269886,2245628,1121166,- -,48285,- -,- -,- -,3175000,2483000,4400000,4459000,-381000
4,Gross Profit Ratio,0.8571,0.8800,0.8437,0.5760,0.5891,0.3752,0.7183,0.8254,0.4467,0.6903,0.8044,0.6907,0.9797,1.0000,1.0000,1.0000,- -,1.0000,- -,- -,- -,0.7601,0.4379,0.4733,0.3994,-0.0323
5,Research and Development Exp.,- -,100000,68772,- -,- -,123486,326582,568873,554416,1304888,2155988,991581,880984,745927,501600,454997,432000,10673016,20053000,26022000,28196000,22301000,27638000,25345000,21255000,21943000
6,General and Administrative Exp.,500000,1100000,956667,997830,1527304,709006,742065,1189733,978367,994978,903654,935671,1018289,919706,869348,810078,- -,4312281,10695000,17882000,36200000,45058000,55214000,51886000,46904000,- -
7,Selling and Marketing Exp.,- -,- -,1291266,1198413,817354,288863,- -,- -,- -,- -,- -,- -,- -,13284,1400,9621,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",500000,1100000,2247933,2196243,2344658,997869,742065,1189733,978367,994978,903654,935671,1018289,932990,870748,819699,2954000,4312281,10695000,17882000,36200000,45058000,55214000,51886000,46904000,49236000
9,Other Expenses,100000,200000,- -,- -,895797,638426,170379,490022,293109,305683,315978,313711,294226,270088,261487,255895,205000,362495,888000,1792000,2351000,- -,- -,- -,- -,- -
10,Operating Expenses,600000,1400000,2316705,2196243,3240455,1759781,1239026,2248628,1825892,2605549,3375620,2240963,2193499,1949005,1633835,1530591,3591000,15347792,31636000,45696000,66747000,67359000,82852000,77231000,68159000,71179000
