,https://roic.ai/company/HSON,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,964300000,1130010000,1325146000,1287798000,998616000,1085299000,1256354000,1428276000,1373473000,1179075000,1080231000,691149000,794542000,933736000,777577000,660128000,581192000,463197000,422744000,456721000,66932000,93811000,101448000,169207000
2,COGS,912900000,590296000,652916000,716262000,- -,682270000,786134000,891345000,878874000,671162000,616099000,430696000,495969000,579431000,492710000,430256000,358347000,275487000,248327000,269985000,24828000,50245000,62367000,- -
3,Gross Profit,51400000,539714000,672230000,571536000,- -,403029000,470220000,536931000,494599000,507913000,464132000,260453000,298573000,354305000,284867000,229872000,222845000,187710000,174417000,186736000,42104000,43566000,39081000,169207000
4,Gross Profit Ratio,0.0533,0.4776,0.5073,0.4438,- -,0.3714,0.3743,0.3759,0.3601,0.4308,0.4297,0.3768,0.3758,0.3794,0.3664,0.3482,0.3834,0.4052,0.4126,0.4089,0.6291,0.4644,0.3852,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,483695000,472575000,507184000,461280000,466413000,443985000,270810000,287370000,322083000,271159000,237190000,224849000,190363000,173305000,176789000,46648000,44293000,40606000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6824000,6943000,7816000,6126000,4978000,5472000,4268000,4029000,4301000,657000,849000,942000,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,483695000,472575000,507184000,461280000,466413000,443985000,277634000,294313000,329899000,277285000,242168000,230321000,194631000,177334000,181090000,47305000,45142000,41548000,- -
9,Other Expenses,26200000,556957000,672805000,599740000,18526000,203497000,20108000,18412000,20372000,14624000,81882000,12543000,8184000,6251000,6438000,6406000,5559000,3845000,3090000,2748000,16000,85000,179000,164813000
10,Operating Expenses,26200000,556957000,672805000,599740000,18526000,687192000,492683000,525596000,481652000,481037000,525867000,290177000,302497000,336150000,283723000,248574000,235880000,198476000,180424000,183838000,47321000,45227000,41727000,164813000
11,COGS and Expenses,939100000,1147253000,1325721000,1316002000,18526000,1369462000,1278817000,1416941000,1360526000,1152199000,1141966000,720873000,798466000,915581000,776433000,678830000,594227000,473963000,428751000,453823000,72149000,95472000,104094000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,1061000,- -,- -,- -,-635000,-596000,-661000,-722000,-357000,-403000,298000,617000,149000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,283000,104000,1852000,1641000,- -,- -,694000,- -,1143000,635000,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,34555000,33290000,18526000,21299000,20108000,18412000,21292000,14989000,14913000,12630000,8184000,6251000,6438000,6406000,5835000,3845000,3090000,2748000,696000,85000,179000,597000
15,EBITDA,14700000,-39751000,17688000,-905000,-406319000,-295209000,-4925000,30613000,49592000,47210000,-50776000,-33035000,4981000,23642000,54000,-20196000,-9518000,6820000,-4958000,2091000,8662000,-1410000,-529000,4941000
16,EBITDA ratio,0.0152,-0.0352,0.0133,-0.0007,-0.4069,-0.2720,-0.0039,0.0214,0.0361,0.0400,-0.0470,-0.0478,0.0063,0.0253,0.0001,-0.0306,-0.0164,0.0147,-0.0117,0.0046,0.1294,-0.0150,-0.0052,0.0292
17,Operating Income,25200000,-17243000,-575000,-28204000,-118603000,-313649000,-23199000,11172000,6526000,18002000,-73361000,-49453000,-5618000,17435000,-6638000,-26759000,-17486000,3241000,-7587000,277000,-5217000,-1661000,-2646000,4394000
18,Operating Income ratio,0.0261,-0.0153,-0.0004,-0.0219,-0.1188,-0.2890,-0.0185,0.0078,0.0048,0.0153,-0.0679,-0.0716,-0.0071,0.0187,-0.0085,-0.0405,-0.0301,0.0070,-0.0179,0.0006,-0.0779,-0.0177,-0.0261,0.0260
