,https://roic.ai/company/MNRL,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,40908000,67264000,101515000,91723000,161217000
2,COGS,8709000,17859000,30940000,55223000,43495000
3,Gross Profit,32199000,49405000,70575000,36500000,117722000
4,Gross Profit Ratio,0.7871,0.7345,0.6952,0.3979,0.7302
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,3935000,6638000,26948000,21619000,22475000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3935000,6638000,26948000,21619000,22475000
9,Other Expenses,1601000,3536000,6409000,5606000,9320000
10,Operating Expenses,5536000,10174000,33357000,27225000,31795000
11,COGS and Expenses,14245000,28033000,64297000,82448000,75290000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),556000,7446000,5609000,890000,1701000
14,Depreciation and Amortization,- -,- -,- -,48238000,36677000
15,EBITDA,117176000,40588000,29927000,-21628000,104914000
16,EBITDA ratio,2.8644,0.6034,0.2948,-0.2358,0.6508
17,Operating Income,121214000,39231000,37218000,-70294000,85927000
18,Operating Income ratio,2.9631,0.5832,0.3666,-0.7664,0.5330
19,Total Other Income Expenses (Gains),-4594000,-6089000,-12900000,-462000,-1648000
20,Income Before Tax,116620000,33142000,24318000,-70756000,84279000
21,Income Before Tax Ratio,2.8508,0.4927,0.2396,-0.7714,0.5228
22,Income Tax expense (Gain),1008000,-220000,2679000,-12762000,16253000
23,Net Income,115612000,33362000,21639000,-57994000,50283000
24,Net Income ratio,2.8261,0.4960,0.2132,-0.6323,0.3119
25,EPS,5.83,0.65,0.26,-1.11,1.32
26,EPS Diluted,5.83,0.65,0.26,-1.11,1.32
27,Weighted Average Shares Outstanding,19822000,19822000,22870000,38178000,38178000
28,Weighted Average Shares Outstanding Diluted,19822000,19822000,22870000,38178000,38178000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1745797/000162828020002506/0001628280-20-002506-index.htm,https://www.sec.gov/Archives/edgar/data/1745797/000174579721000020/0001745797-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1745797/000174579722000017/0001745797-22-000017-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,6886000,31985000,51133000,9144000,20819000
32,Short-Term Investments,4105000,- -,- -,- -,- -
33,Cash and Short-Term Investments,10991000,31985000,51133000,9144000,20819000
34,Net Receivables,13055000,20695000,30291000,17632000,30539000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,987000,8634000,1688000,3693000,3345000
37,Total Current Assets,25033000,61314000,83112000,30469000,54703000
38,PP&E,309027000,492667000,681014000,624801000,739683000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,18823000,24920000,25308000
44,Other Non-Current Assets,417000,45000,1213000,771000,1183000
45,Total Non-Current Assets,309444000,492712000,701050000,650492000,766174000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,334477000,554026000,784162000,680961000,820877000
48,Accounts Payable,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,1178000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,4912000,7722000,11533000,7905000,20473000
53,Total Current Liabilities,4912000,7722000,11533000,7905000,21651000
54,Long-Term Debt,27000000,168517000,- -,20000000,98742000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,391000,235000,803000,147406000,810000
58,Total Non-Current Liabilities,27391000,168752000,803000,167406000,99552000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,6920000
61,Total Liabilities,32303000,176474000,12336000,175311000,121203000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,166030000,208728000,340000,440000,488000
64,Retained Earnings,135462000,168824000,-6599000,-92392000,-105096000
65,Other Comprehensive Income/Loss,-16703000,-30743000,-64806000,- -,- -
66,Other Total Stockholders Equity,17385000,30743000,388384000,597602000,631037000
67,Total Stockholders Equity,302174000,377552000,317319000,505650000,526429000
68,Total Liabilities And Stockholders Equity,334477000,554026000,329655000,680961000,647632000
69,Minority Interest,- -,- -,454507000,- -,173245000
70,Total Liabilities & Equity,334477000,554026000,784162000,680961000,820877000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1745797/000162828020002506/0001628280-20-002506-index.htm,https://www.sec.gov/Archives/edgar/data/1745797/000174579721000020/0001745797-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1745797/000174579722000017/0001745797-22-000017-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,115612000,33362000,21639000,-57994000,50283000
74,Depreciation and Amortization,- -,- -,- -,48238000,- -
75,Deferred Income Tax,295000,-183000,665000,-9942000,5766000
76,Stock Based Compensation,- -,- -,10049000,7529000,9703000
77,Change in Working Capital,-2875000,33471000,17987000,-49015000,-11761000
78,Accounts Receivable,-6787000,-8022000,-10246000,12359000,-13382000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -
81,Other Working Capital,20121000,53592000,71579000,22564000,- -
82,Other Non-Cash Items,-83631000,-35206000,18685000,136444000,55208000
83,Cash Provided by Operating Activities,29401000,31444000,69025000,75260000,109199000
84,CAPEX,-102748000,-196326000,-219955000,-66990000,-103603000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,17896000,933000,- -,- -,- -
88,Other Investing Activites,111024000,-349000,3123000,1565000,13620000
89,Cash Used for Investing Activites,26172000,-195742000,-216832000,-65425000,-89983000
