,https://roic.ai/company/DALN,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,763652000,779142000,822344000,817733000,738668000,637314000,518348000,487308000,461503000,440046000,366250000,272788000,272108000,259984000,248626000,202287000,183563000,154299000,154374000
2,COGS,- -,- -,- -,390851000,361732000,343031000,270314000,238489000,235023000,228447000,191040000,154746000,156721000,145420000,138155000,112193000,107243000,90176000,90919000
3,Gross Profit,- -,- -,- -,426882000,376936000,294283000,248034000,248819000,226480000,211599000,175210000,118042000,115387000,114564000,110471000,90094000,76320000,64123000,63455000
4,Gross Profit Ratio,- -,- -,- -,0.5220,0.5103,0.4618,0.4785,0.5106,0.4907,0.4809,0.4784,0.4327,0.4240,0.4407,0.4443,0.4454,0.4158,0.4156,0.4110
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,322947000,297630000,298285000,214600000,212998000,187738000,177070000,146307000,111710000,120818000,104009000,105966000,89304000,80134000,71772000,69078000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,322947000,297630000,298285000,214600000,212998000,187738000,177070000,146307000,111710000,120818000,104009000,105966000,89304000,80134000,71772000,69078000
9,Other Expenses,- -,- -,- -,46578000,52314000,53275000,45356000,38140000,35666000,32717000,22572000,14018000,12864000,11619000,11214000,10701000,9478000,7271000,4066000
10,Operating Expenses,- -,- -,- -,369525000,349944000,351560000,259956000,251138000,223404000,209787000,168879000,125728000,133682000,115628000,117180000,100005000,89612000,79043000,73144000
11,COGS and Expenses,645378000,689460000,721251000,760376000,711676000,694591000,530270000,489627000,458427000,438234000,359919000,280474000,290403000,261048000,255335000,212198000,196855000,169219000,164063000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,31814000,34834000,4028000,1382000,808000,669000,630000,311000,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,46222000,46578000,52314000,53275000,45356000,38140000,35666000,32717000,22572000,14018000,12864000,11619000,11214000,10701000,9478000,7271000,4066000
15,EBITDA,100209000,74034000,124402000,105439000,-261351000,-22074000,-73632000,-92862000,30413000,35605000,40586000,112925000,-6548000,-9963000,15115000,4703000,23186000,-1288000,1448000
16,EBITDA ratio,0.1312,0.0950,0.1513,0.1289,-0.3538,-0.0346,-0.1421,-0.1906,0.0659,0.0809,0.1108,0.4140,-0.0241,-0.0383,0.0608,0.0232,0.1263,-0.0083,0.0094
17,Operating Income,118274000,89682000,101093000,57357000,26992000,-75957000,-118311000,-138069000,-5412000,-632000,6331000,-7686000,-18295000,-23746000,-10053000,-9889000,9539000,-15573000,-9950000
18,Operating Income ratio,0.1549,0.1151,0.1229,0.0701,0.0365,-0.1192,-0.2282,-0.2833,-0.0117,-0.0014,0.0173,-0.0282,-0.0672,-0.0913,-0.0404,-0.0489,0.0520,-0.1009,-0.0645
19,Total Other Income Expenses (Gains),-18065000,-15648000,-22913000,-30310000,-375491000,-3420000,-2059000,6259000,-510000,2783000,2410000,99671000,-1469000,2294000,13954000,3891000,4169000,7014000,7332000
20,Income Before Tax,100209000,74034000,78180000,27047000,-348499000,-79377000,-120370000,-131810000,-5922000,2151000,8741000,91985000,-19764000,-21452000,3901000,-5998000,13708000,-8559000,-2618000
