,https://roic.ai/company/PULM,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,1201000,835000,335000,153000,7910000,12634,5169
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,1201000,- -,- -,- -,- -,12634,- -
4,Gross Profit Ratio,- -,- -,- -,- -,1.0000,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,- -,20000,258000,1382000,7187000,10152000,10243000,12966000,12845000,15609,15382
6,General and Administrative Exp.,- -,- -,265000,1736000,- -,8015000,7567000,7518000,8489000,6887,6377
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,265000,1736000,17032000,8015000,7567000,7518000,8489000,6887,6377
9,Other Expenses,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,3577
10,Operating Expenses,- -,30000,523000,3118000,24219000,18167000,17810000,20484000,21334000,22496,25336
11,COGS and Expenses,- -,30000,523000,3118000,24219000,18167000,17810000,20484000,21334000,22496,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,301000,82000,7
13,Interest Expense (Gain),- -,- -,- -,- -,953000,881000,643000,186000,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,2000,232000,250000,246000,231000,765000,1043000,169
15,EBITDA,- -,-30000,-523000,-3116000,-24982000,-29671000,-17167000,-20146000,-19831000,1023692,-20002
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-20.8010,-35.5341,-51.2448,-131.6732,-2.5071,81.0268,-3.8696
17,Operating Income,- -,-30000,-523000,-3118000,-23018000,-24866000,-17475000,-20331000,-20692000,-9862000,-20167
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-19.1657,-29.7796,-52.1642,-132.8824,-2.6159,-780.5921,-3.9015
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-3149000,-5936000,-581000,-232000,96000,9842692,-4
20,Income Before Tax,- -,-30000,-523000,-3118000,-26167000,-30802000,-18056000,-20563000,-20596000,-19308,-20171
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-Infinity,-21.7877,-36.8886,-53.8985,-134.3987,-2.6038,-1.5283,-3.9023
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,-2959000,- -,- -,- -,- -,- -
23,Net Income,- -,-30000,-523000,-3118000,-26167000,-27843000,-18056000,-20563000,-20596000,-19308,-20171
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-21.7877,-33.3449,-53.8985,-134.3987,-2.6038,-1.5283,-3.9023
25,EPS,- -,-0.18,-130.00,-765.00,-646.00,-376.00,-186.00,-99.60,-24.60,-13.40,-0.00
26,EPS Diluted,- -,-0.18,-130.00,-765.00,-646.00,-376.00,-186.00,-99.60,-24.60,-13.40,-0.00
27,Weighted Average Shares Outstanding,- -,170000,4000,4072,40449,74076,96857,206319,836695,1437665,33924499
28,Weighted Average Shares Outstanding Diluted,- -,170000,4000,4072,40449,74076,96857,206319,836695,1437665,33924499
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1574235/000114420414044424/0001144204-14-044424-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1574235/000119312517077912/0001193125-17-077912-index.htm,https://www.sec.gov/Archives/edgar/data/1574235/000119312518080793/0001193125-18-080793-index.htm,https://www.sec.gov/Archives/edgar/data/1574235/000119312519043624/0001193125-19-043624-index.htm,https://www.sec.gov/Archives/edgar/data/1574235/000119312520086168/0001193125-20-086168-index.htm,https://www.sec.gov/Archives/edgar/data/1574235/000149315221006602/0001493152-21-006602-index.htm,https://www.sec.gov/Archives/edgar/data/1574235/000149315222007957/0001493152-22-007957-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,96000,15571000,18902000,4182000,3550000,2563000,23440000,31657,53840
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,96000,15571000,18902000,4182000,3550000,2563000,23440000,31657,53840
34,Net Receivables,- -,- -,- -,- -,481000,206000,1000,- -,7200000,84,67
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,4000,3000,1079000,371000,695000,717000,777000,797,871
37,Total Current Assets,- -,- -,100000,15574000,20462000,4759000,4246000,3280000,31417000,32538,54778
38,PP&E,- -,- -,4000,2000,685000,786000,614000,394000,900000,361,2414
39,Goodwill,- -,- -,- -,- -,15942000,10914000,10914000,10845000,3577000,3577,- -
40,Intangible Assets,- -,- -,- -,- -,7534000,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,23476000,10914000,10914000,10845000,3577000,3577,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,44000,- -,250000,204000,204000,204000,204000,- -,1625
45,Total Non-Current Assets,- -,- -,48000,2000,24411000,11904000,11732000,11443000,4681000,3938,4039
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,148000,15576000,44873000,16663000,15978000,14723000,36098000,36476,58817
48,Accounts Payable,- -,- -,61000,- -,1090000,747000,457000,1183000,600000,925,839
49,Short-Term Debt,- -,- -,- -,- -,1029000,2586000,3221000,- -,- -,608,1431
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,13411000,4166,939
52,Other Current Liabilities,- -,- -,40000,947000,1486000,1317000,2162000,1696000,3189000,2555,1233
53,Total Current Liabilities,- -,- -,101000,947000,3605000,4650000,5840000,2879000,17200000,8254,4442
54,Long-Term Debt,- -,- -,- -,- -,5692000,3217000,- -,- -,- -,- -,857
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,7879000,- -,6069
56,Deferred Tax Liabilities,- -,- -,- -,- -,2959000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,11000,35000,1000,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,8662000,3252000,1000,- -,7879000,- -,6926
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,6776,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,675000,1743000,- -
61,Total Liabilities,- -,- -,101000,947000,12267000,7902000,5841000,2879000,25079000,15030,11368
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,200,465,1000,1000,2000,- -,2000,4,- -
64,Retained Earnings,- -,-28000,-551000,-3669000,-128103000,-155946000,-174002000,-194565000,-215161000,- -,-254640
65,Other Comprehensive Income/Loss,- -,- -,- -,-2000,- -,-2671000,-2870000,-2116000,-2285000,- -,- -
66,Other Total Stockholders Equity,- -,- -,597800,18299535,- -,167377000,187007000,208525000,228463000,23138996,302089
67,Total Stockholders Equity,- -,- -,47000,14629000,32606000,8761000,10137000,11844000,11019000,23139000,47449
68,Total Liabilities And Stockholders Equity,- -,- -,148000,15576000,44873000,16663000,15978000,14723000,36098000,23154030,58817
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23117554,- -
70,Total Liabilities & Equity,- -,- -,148000,15576000,44873000,16663000,15978000,14723000,36098000,36476,58817
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1574235/000114420414044424/0001144204-14-044424-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1574235/000119312517077912/0001193125-17-077912-index.htm,https://www.sec.gov/Archives/edgar/data/1574235/000119312518080793/0001193125-18-080793-index.htm,https://www.sec.gov/Archives/edgar/data/1574235/000119312519043624/0001193125-19-043624-index.htm,https://www.sec.gov/Archives/edgar/data/1574235/000119312520086168/0001193125-20-086168-index.htm,https://www.sec.gov/Archives/edgar/data/1574235/000149315221006602/0001493152-21-006602-index.htm,https://www.sec.gov/Archives/edgar/data/1574235/000149315222007957/0001493152-22-007957-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,-30000,-523000,-3118000,-26167000,-27843000,-18056000,-20563000,-20596000,-19308,-20171
74,Depreciation and Amortization,- -,- -,- -,2000,232000,250000,246000,231000,765000,1043000,169
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,9756000,3998000,2818000,2973000,2066000,1158000,1158
77,Change in Working Capital,- -,- -,-1000,14628000,6969000,-16748000,-1703000,1995000,13816000,-14192716,26052
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-7200000,7116000,17
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,61000,- -,806000,-346000,-290000,726000,-583000,300000,-149
81,Other Working Capital,- -,- -,-1000,14627000,16857000,109000,-1594000,401000,14217000,24284,50336
82,Other Non-Cash Items,- -,- -,98000,-14481000,-3262000,27100000,2218000,-1397000,7179000,-471976,-26935
83,Cash Provided by Operating Activities,- -,-30000,-426000,-2969000,-12472000,-13243000,-14477000,-16761000,3230000,-12483000,-19727
84,CAPEX,- -,- -,-4000,- -,-266000,-455000,-74000,-19000,-58000,-281000,-144
85,Acquisitions Net,- -,- -,- -,- -,9671000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,24000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-4000,- -,9405000,-431000,-74000,-19000,-58000,-281000,-144
90,Debt Repayment,- -,- -,- -,- -,- -,-1046000,-2695000,-3504000,- -,-617000,- -
91,Common Stock Issued,- -,- -,- -,- -,10000000,- -,- -,19297000,17545000,7314000,6192
