,https://roic.ai/company/AUID,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,735364,1929938,2303606,3828993,2552045,2140644,2292296
2,COGS,- -,- -,- -,- -,- -,- -,492237,589254,1256853,669523,661627,660793
3,Gross Profit,- -,- -,- -,- -,- -,- -,1437701,1714352,2572140,1882522,1479017,1631503
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,0.7449,0.7442,0.6718,0.7377,0.6909,0.7117
5,Research and Development Exp.,- -,- -,- -,44000,1500,480789,340317,222068,208311,1614054,1161416,1646702
6,General and Administrative Exp.,- -,- -,- -,882925,717505,9003143,14243363,13026188,11193351,7892046,6743258,15949494
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,492237,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,882925,717505,9003143,14735600,13026188,11193351,7892046,6743258,15949494
9,Other Expenses,- -,1343,1850,44530,48841,147052,-70743,475211,493697,790367,1250542,2752156
10,Operating Expenses,- -,1343,1850,971455,767846,9630984,15005174,13723467,11895359,10296467,9155216,20348352
11,COGS and Expenses,- -,1343,1850,971455,767846,9630984,15497411,14312721,13152212,10965990,9816843,21009145
12,Interest Income ,- -,- -,- -,20,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,4803,65225,1136528,3625984,1337081,757801,375598,969396,-585636
14,Depreciation and Amortization,- -,- -,- -,44530,148841,147052,421494,475211,493697,790367,1250542,1260286
15,EBITDA,- -,-1343,-1850,-926905,-619005,-35395589,-5800979,-15640556,-8745873,-9271462,-9042297,-16970114
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-48.1334,-3.0058,-6.7896,-2.2841,-3.6330,-4.2241,-7.4031
17,Operating Income,- -,-1343,-1850,-971455,-767846,-8895620,-13567473,-12009115,-9323219,-10085749,-9009765,-18056056
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-12.0969,-7.0300,-5.2132,-2.4349,-3.9520,-4.2089,-7.8768
19,Total Other Income Expenses (Gains),- -,- -,- -,-4783,-136841,-27783549,3719016,-5443733,-674152,-351678,-2252470,411292
20,Income Before Tax,- -,-1343,-1850,-976238,-904687,-36679169,-9848457,-17452848,-9997371,-10437427,-11262235,-17644764
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-49.8789,-5.1030,-7.5763,-2.6110,-4.0898,-5.2611,-7.6974
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,2946,28781,30242,62931,36323,21024
23,Net Income,- -,-1343,-1850,-976238,-904687,-36679169,-9851403,-17481629,-10027613,-10500358,-11298558,-17665788
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-49.8789,-5.1045,-7.5888,-2.6189,-4.1145,-5.2781,-7.7066
25,EPS,- -,-0.00,-0.00,-1.46,-0.17,-6.30,-1.50,-1.50,-0.60,-0.60,-0.60,-0.98
26,EPS Diluted,- -,-0.00,-0.00,-1.46,-0.17,-6.30,-1.50,-1.50,-0.60,-0.60,-0.60,-0.98
27,Weighted Average Shares Outstanding,- -,666660,666660,666660,5476638,5856481,7252283,11282730,14328276,16624746,18067422,18067422
