,https://roic.ai/company/AHPI,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,54600000,58600000,61200000,74100000,111600000,120100000,118100000,96500000,72800000,64276643,64927678,60414884,60863358,59103313,56120150,57545589,56500974,56364111,52072676,46034248,46783436,43445621,38551774,36370616,35461769,35952487,33512030,33759953,31381521,31894262,36279476
2,COGS,32300000,34400000,35100000,42600000,65500000,80500000,82400000,69100000,55900000,48054458,48265110,49998428,46809726,42748342,41669290,43292746,42028125,43006007,40273089,34944714,35780657,33484512,30309484,29056367,28392171,28592752,26956340,27309511,26342894,26323646,29169980
3,Gross Profit,22300000,24200000,26100000,31500000,46100000,39600000,35700000,27400000,16900000,16222185,16662568,10416456,14053632,16354971,14450860,14252843,14472849,13358104,11799587,11089534,11002779,9961109,8242290,7314249,7069598,7359735,6555690,6450442,5038627,5570616,7109496
4,Gross Profit Ratio,0.4084,0.4130,0.4265,0.4251,0.4131,0.3297,0.3023,0.2839,0.2321,0.2524,0.2566,0.1724,0.2309,0.2767,0.2575,0.2477,0.2562,0.2370,0.2266,0.2409,0.2352,0.2293,0.2138,0.2011,0.1994,0.2047,0.1956,0.1911,0.1606,0.1747,0.1960
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,12400000,13400000,13900000,16800000,24800000,31400000,33900000,23900000,18700000,16834315,14572963,22346842,13550592,12660358,11843037,12112624,12051500,12084971,13041564,11871758,10593869,10610858,10735806,10423133,8763335,9279061,8607584,8446056,7812649,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",12400000,13400000,13900000,16800000,24800000,31400000,33900000,23900000,18700000,16834315,14572963,22346842,13550592,12660358,11843037,12112624,12051500,12084971,13041564,11871758,10593869,10610858,10735806,10423133,8763335,9279061,8607584,8446056,7812649,8632795,7636318
9,Other Expenses,1200000,1100000,1100000,1600000,2900000,100000,100000,-3000000,2200000,-17600,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
