,https://roic.ai/company/NTST,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,23828000,19805000,33727000,59140000
2,COGS,1731000,1113000,2569000,5803000
3,Gross Profit,22097000,18692000,31158000,53337000
4,Gross Profit Ratio,0.9274,0.9438,0.9238,0.9019
5,Research and Development Exp.,- -,- -,- -,- -
6,General and Administrative Exp.,3792000,4090000,11340000,14810000
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3792000,4090000,11340000,14810000
9,Other Expenses,12880000,10422000,15459000,30807000
10,Operating Expenses,16672000,14512000,26799000,45617000
11,COGS and Expenses,18403000,15625000,29368000,51420000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,4741000,3700000
14,Depreciation and Amortization,12880000,10422000,15459000,30807000
15,EBITDA,-7417000,2350000,20930000,37612000
16,EBITDA ratio,-0.3113,0.1187,0.6206,0.6360
17,Operating Income,5425000,4180000,4359000,3209000
18,Operating Income ratio,0.2277,0.2111,0.1292,0.0543
19,Total Other Income Expenses (Gains),-25722000,-12252000,-4147000,- -
20,Income Before Tax,-20297000,-8072000,212000,3209000
21,Income Before Tax Ratio,-0.8518,-0.4076,0.0063,0.0543
22,Income Tax expense (Gain),- -,- -,- -,59000
23,Net Income,-20297000,-8072000,730000,3046000
24,Net Income ratio,-0.8518,-0.4076,0.0216,0.0515
25,EPS,-0.84,-0.33,0.04,0.08
26,EPS Diluted,-0.84,-0.33,0.01,0.08
27,Weighted Average Shares Outstanding,24297645,24297645,17322182,36999459
28,Weighted Average Shares Outstanding Diluted,24297645,24297645,21157996,38672565
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1798100/000179810021000011/0001798100-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1798100/000179810022000014/0001798100-22-000014-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,1235000,169319000,92643000,7603000
32,Short-Term Investments,- -,- -,- -,- -
