,https://roic.ai/company/DLTI,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,5792,- -,- -,- -,- -,2423,227343,463325,2160606
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,379,108401,154874,1207914
3,Gross Profit,- -,- -,- -,- -,- -,5792,- -,- -,- -,- -,2044,118942,308451,952692
4,Gross Profit Ratio,- -,- -,- -,- -,- -,1.0000,- -,- -,- -,- -,0.8436,0.5232,0.6657,0.4409
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,7548,29160,2946,155823,- -,10455,4895,26340,399261,31247,38720,351724,546541,758465
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",7548,29160,2946,155823,- -,10455,4895,26340,399261,31247,38720,351724,546541,758465
9,Other Expenses,- -,- -,50257,8655,66924,- -,- -,- -,- -,- -,- -,- -,- -,652283
10,Operating Expenses,7548,29160,53203,164478,66924,10455,4895,26340,399261,31247,38720,351724,546541,1410748
11,COGS and Expenses,7548,29160,53203,164478,66924,10455,4895,26340,399261,31247,39099,460125,701415,2618662
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,34521,- -,34,6,- -,- -,32177,56718,19337,4767,7315,46906
14,Depreciation and Amortization,- -,- -,29167,- -,- -,- -,- -,- -,- -,- -,3056,88142,102754,370552
15,EBITDA,-7589,-29160,-24036,1935522,-66924,-4663,-4895,133665,-399261,-31247,-22294,-236373,-929249,-86471
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-0.8051,-Infinity,Infinity,-Infinity,-Infinity,-9.2010,-1.0397,-2.0056,-0.0400
17,Operating Income,- -,- -,- -,- -,- -,-4663,-4895,-26340,-399261,- -,-36676,-232782,-238091,-458056
18,Operating Income ratio,- -,- -,- -,- -,- -,-0.8051,-Infinity,-Infinity,-Infinity,- -,-15.1366,-1.0239,-0.5139,-0.2120
19,Total Other Income Expenses (Gains),41,- -,- -,-2100000,- -,-6,- -,-160005,-230847,-56718,-8011,20648,-801227,-45873
20,Income Before Tax,-7507,-29160,- -,- -,- -,-4669,-4895,-186345,-630108,-87965,-44687,-212134,-1039318,-503929
21,Income Before Tax Ratio,-Infinity,-Infinity,- -,- -,- -,-0.8061,-Infinity,-Infinity,-Infinity,-Infinity,-18.4428,-0.9331,-2.2432,-0.2332
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-7507,-29160,-87724,-2264478,-66958,-4669,-4895,-186345,-630108,-87965,-44687,-329282,-1039318,-503929
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.8061,-Infinity,-Infinity,-Infinity,-Infinity,-18.4428,-1.4484,-2.2432,-0.2332
25,EPS,-0.65,-2.33,-7.69,-229.95,-0.64,-0.01,-0.02,-0.64,-0.10,-0.01,-0.00,-0.02,-0.05,-0.02
26,EPS Diluted,-0.65,-2.33,-7.01,-229.95,-0.64,-0.01,-0.02,-0.64,-0.10,-0.01,-0.00,-0.02,-0.05,-0.02
27,Weighted Average Shares Outstanding,11616,12511,11408,9859,105063,312237,312622,293257,8778399,18706281,18571882,19263408,20871886,25806082
28,Weighted Average Shares Outstanding Diluted,11616,12511,12511,9859,105063,312237,312622,293257,8778399,18706281,18571882,19263408,20871886,25806082
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1420368/000139390508000071/0001393905-08-000071-index.htm,https://www.sec.gov/Archives/edgar/data/1420368/000139390509000102/0001393905-09-000102-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1420368/000147793214002416/0001477932-14-002416-index.htm,https://www.sec.gov/Archives/edgar/data/1420368/000147793215002428/0001477932-15-002428-index.htm,https://www.sec.gov/Archives/edgar/data/1420368/000147793216010545/0001477932-16-010545-index.htm,https://www.sec.gov/Archives/edgar/data/1420368/000147793217002379/0001477932-17-002379-index.htm,https://www.sec.gov/Archives/edgar/data/1420368/000147793218001773/0001477932-18-001773-index.htm,https://www.sec.gov/Archives/edgar/data/1420368/000147793219005429/0001477932-19-005429-index.htm,https://www.sec.gov/Archives/edgar/data/1420368/000147793220002314/0001477932-20-002314-index.htm,https://www.sec.gov/Archives/edgar/data/1420368/000147793221002971/0001477932-21-002971-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,29193,33,37,- -,- -,- -,- -,- -,20334,- -,8609,12908,13140,7666
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,29193,33,37,- -,- -,- -,- -,- -,20334,- -,8609,12908,13140,7666
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12217,34631,346948
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,17000,- -,800,- -,2630,- -,- -,656735,- -,111141
37,Total Current Assets,29193,33,37,- -,17000,- -,800,- -,22964,- -,8609,681860,47771,465755
38,PP&E,- -,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,77000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,156774,165022,955854
40,Intangible Assets,- -,- -,4970833,- -,- -,- -,- -,- -,- -,- -,115944,460491,376460,- -
41,Intangible Assets,- -,- -,4970833,- -,- -,- -,- -,- -,- -,- -,115944,617265,541482,955854
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,4970833,- -,10000,- -,- -,- -,- -,- -,115944,617265,541482,1032854
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,29193,33,4970870,- -,27000,- -,800,- -,22964,- -,124553,1299125,589253,1498609
48,Accounts Payable,- -,- -,8430,- -,- -,57795,60160,67665,86896,38772,81415,88921,114201,634914
49,Short-Term Debt,- -,- -,6000,- -,- -,- -,- -,- -,354250,358525,86407,81500,98282,228123
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,179282,98814,15884,19214,37249,56249,65047,111249,190715,55070,77449
53,Total Current Liabilities,- -,- -,14430,179282,98814,73679,79374,104914,497395,462344,279071,361136,267553,940486
54,Long-Term Debt,- -,- -,5000000,- -,- -,- -,- -,- -,- -,- -,5000,5000,5000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,34521,- -,- -,- -,- -,- -,- -,- -,- -,196142,685000,1887711
58,Total Non-Current Liabilities,- -,- -,5034521,- -,- -,- -,- -,- -,- -,- -,5000,201142,690000,1887711
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3781420
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7266
61,Total Liabilities,- -,- -,5048951,179282,98814,73679,79374,104914,497395,462344,284071,562278,957553,2834195
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,120000,81170,- -,89000,64000,64000,64000
63,Common Stock,5630,5630,13300,24811,154811,156311,156311,3136,142162,273332,21573,24983,24395,25926
64,Retained Earnings,-7507,-36667,-169391,-2370181,-2437139,-2414004,-2418899,-2605244,-3254352,-3348765,-3393452,-3595912,-4653230,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,-411,24,24,24,24,24,24,16,-37688,-34430,816396
66,Other Total Stockholders Equity,31070,31070,78010,2166499,2210490,2183990,2183990,2377170,2556565,2613065,3123345,4187377,4230965,-217449
67,Total Stockholders Equity,29193,33,-78081,-179282,-71814,-73679,-78574,-104914,-474431,-462344,-159518,642760,-368300,688873
68,Total Liabilities And Stockholders Equity,- -,- -,4970870,- -,27000,- -,800,- -,22964,- -,124553,1205038,589253,3523068
69,Minority Interest,29193,33,- -,- -,- -,- -,- -,- -,- -,- -,- -,94087,- -,-2024459
70,Total Liabilities & Equity,29193,33,4970870,- -,27000,- -,800,- -,22964,- -,124553,1299125,589253,1498609
