,https://roic.ai/company/PMCB,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,2383,86374,537038,1169658,1189954,653134,262932,125997,66558,12160,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,780,41403,- -,171007,266202,427410,228659,32104,19383,9620,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,1603,44971,- -,998651,923752,225724,34273,93893,47175,2540,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,0.6727,0.5207,- -,0.8538,0.7763,0.3456,0.1303,0.7452,0.7088,0.2089,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,1408500,1108099,119008,133835,412882,473514,492460,9209,- -,- -,- -,3476912,1406939,1182251,1997811,460052,301221,916249
6,General and Administrative Exp.,- -,- -,- -,- -,6559106,- -,- -,5199963,1239056,462215,1985207,1580488,18106942,9988077,4666194,3259895,4983618,3640577,3525174,2706732
7,Selling and Marketing Exp.,- -,- -,- -,- -,1194043,- -,- -,594342,411720,10830,11150,106413,872200,230500,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,32129,313945,3099726,7753149,4472305,4260114,5794305,1650776,473045,1996357,1686901,18979142,10218577,4666194,3259895,4983618,3640577,3525174,2706732
9,Other Expenses,29847,- -,- -,- -,- -,- -,- -,- -,-1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,29847,32129,1722445,4207825,7872157,4606140,4672996,6267819,2143235,482254,1996357,1686901,18979142,13695489,6073133,4442146,6981429,4100629,3826395,3622981
11,COGS and Expenses,29847,32129,1723225,4249228,7872157,4777147,4939198,6695229,2371894,514358,2015740,1696521,18979142,13695489,6073133,4442146,6981429,4100629,3826395,3622981
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,14651,- -,- -,- -,- -,1090,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,27175,292556,171663,241246,154416,21053,- -,- -,- -,- -,- -,453,3046
14,Depreciation and Amortization,- -,- -,- -,23256,488,1352,6380,28830,114912,40688,24659,- -,- -,- -,- -,- -,- -,- -,- -,- -
15,EBITDA,-29847,-32129,-1724715,-4253638,-9384835,-3612927,-3785586,-5985619,-5584457,-1185365,-1633407,-1443686,-24873052,-13203440,-6073133,-4442146,-6981429,-4100629,-3826435,-3624169
16,EBITDA ratio,-Infinity,-Infinity,-723.7579,-49.2467,-17.4752,-3.0889,-3.1813,-9.1645,-21.2392,-9.4079,-24.5411,-118.7242,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-29847,-32129,-1720842,-4162854,-7335119,-3607489,-3749244,-6042095,-2108963,-388361,-1949182,-1684361,-18979142,-13695489,-6073133,-4442146,-6981429,-4100629,-3826395,-3622981
18,Operating Income ratio,-Infinity,-Infinity,-722.1326,-48.1957,-13.6585,-3.0842,-3.1507,-9.2509,-8.0209,-3.0823,-29.2855,-138.5165,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,15285,-1698332,6080,-65992,12995,-3590406,-837692,291116,86259,-8274878,2840980,9349,-1539,152588,33401,-493,71745
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1598102,-27254020,-10854509,-6063784,-4443685,-6828841,-4067228,-3826888,-3551236
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-131.4229,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-29847,-32129,-1724715,-4276894,-9385323,-3614279,-3791966,-6041624,-5991925,-1397716,-1899312,-1598102,-27254020,-10854509,-6063784,-4443685,-6828841,-4067228,-3826888,-3551236
24,Net Income ratio,-Infinity,-Infinity,-723.7579,-49.5160,-17.4761,-3.0900,-3.1866,-9.2502,-22.7889,-11.0932,-28.5362,-131.4229,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.51,-0.55,-29.99,-59.97,-104.95,-104.95,-29.99,-44.98,-29.99,-5.98,-14.99,-5.43,-74.96,-29.99,-14.99,-14.99,-14.99,-5.54,-4.23,-2.45
26,EPS Diluted,-0.51,-0.55,-29.99,-59.97,-104.95,-104.95,-29.99,-44.98,-29.99,-5.98,-14.99,-5.43,-74.96,-29.99,-14.99,-14.99,-14.99,-5.54,-4.23,-2.45
27,Weighted Average Shares Outstanding,58699,58699,59841,69268,91160,108337,112006,134489,234322,233679,249967,294116,389007,469786,501852,563820,646084,733769,904263,1448284
28,Weighted Average Shares Outstanding Diluted,58699,58699,59841,69268,91160,108337,112006,152042,234322,233679,249967,294116,389007,469786,501852,563820,646084,733769,904263,1448284
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1157075/000126246308000113/0001262463-08-000113-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1157075/000126246312000335/0001262463-12-000335-index.htm,https://www.sec.gov/Archives/edgar/data/1157075/000115707513000010/0001157075-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/1157075/000101968714003893/0001019687-14-003893-index.htm,https://www.sec.gov/Archives/edgar/data/1157075/000101968715002894/0001019687-15-002894-index.html,https://www.sec.gov/Archives/edgar/data/1157075/000101968716007057/0001019687-16-007057-index.html,https://www.sec.gov/Archives/edgar/data/1157075/000168316817001881/0001683168-17-001881-index.html,https://www.sec.gov/Archives/edgar/data/1157075/000168316818001994/0001683168-18-001994-index.html,https://www.sec.gov/Archives/edgar/data/1157075/000168316819002559/0001683168-19-002559-index.htm,https://www.sec.gov/Archives/edgar/data/1157075/000168316820002680/0001683168-20-002680-index.htm,https://www.sec.gov/Archives/edgar/data/1157075/000168316821003377/0001683168-21-003377-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,83600,38336,1068950,1109109,1513541,603727,716,57201,15723,199303,3616470,2699737,1920825,3464229,1059798,515253,894861,2202106
32,Short-Term Investments,- -,- -,- -,165543,- -,- -,- -,31185,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,83600,203879,1068950,1109109,1513541,634912,716,57201,15723,199303,3616470,2699737,1920825,3464229,1059798,515253,894861,2202106
34,Net Receivables,- -,- -,- -,386,- -,231471,376495,216312,10435,2316,2581,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,47107,- -,- -,- -,242901,117095,2528,18706,6846,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,39800,2060000,2092551,1602392,214418,- -,26524,1033580,1648850,570106,119257,110026,74274,224067,138151,142785,73131
37,Total Current Assets,- -,- -,130707,244065,3128950,3433131,3735329,1182737,13679,104747,1058730,1848153,4186576,2818994,2030851,3538503,1283865,653404,1037646,2275237
38,PP&E,- -,- -,45000,92295,6755,8053,23188,2643875,107538,54440,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,2113412,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,863869,863403,857025,- -,- -,- -,- -,3549427,3549427,3549427,3549427,3549427,3549427,3549427,3549427
41,Intangible Assets,- -,- -,- -,- -,- -,863869,863403,2970437,- -,- -,- -,- -,3549427,3549427,3549427,3549427,3549427,3549427,3549427,3549427
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1572193,1572193,1572193,1572193,1572193,1572193,1572193,1572193
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,2000000,100000,2994294,45000,1081000,1081000,1028778,1028778,7854,7854,7854,7372,7372,7372,7372,7372
45,Total Non-Current Assets,- -,- -,45000,92295,2006755,971922,3880885,5659312,1188538,1135440,1028778,1028778,5129474,5129474,5129474,5128992,5128992,5128992,5128992,5128992
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,175707,336360,5135705,4405053,7616214,6842049,1202217,1240187,2087508,2876931,9316050,7948468,7160325,8667495,6412857,5782396,6166638,7404229
48,Accounts Payable,- -,- -,260,257786,76127,99075,143723,209942,674817,705763,730068,351996,188044,496699,336009,365600,352621,121885,185842,172261
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,485395,2282942,2372144,2092396,420000,- -,- -,- -,- -,- -,- -,28918,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,7500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,10000,2525,- -,39661,30086,19731,29335,223459,95603,311573,964894,3026391,185622,1515716,301630,214648,291547,620966,816638,552517
53,Total Current Liabilities,10000,2525,260,297447,106213,118806,180558,918796,3053362,3389480,3787358,3798387,373666,2012415,637639,580248,644168,742851,1031398,724778
54,Long-Term Debt,- -,- -,325000,1278000,507984,- -,- -,1929690,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,46282,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,3873,56009,109696,- -,- -,3987,- -,580000,580000,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,328873,1334009,617680,- -,- -,1933677,100000,580000,580000,- -,- -,- -,- -,- -,- -,- -,46282,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,7855,2525,329133,1631456,723893,118806,180558,2852473,3153362,3969480,4367358,3798387,373666,2012415,637639,580248,644168,742851,1077680,724778
62,Preferred Stock,- -,- -,- -,- -,- -,- -,1,1,500000,580000,580000,580000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,14667,14667,9305,10703,17651,16190,19192,24517,34839,35714,41631,48211,69063,73273,78127,90534,101326,118600,163864,159
