,https://roic.ai/company/SUMO,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , 
1,Revenue,67828000,103642000,155056000,202637000,242125000
2,COGS,22438000,29010000,44498000,56492000,78308000
3,Gross Profit,45390000,74632000,110558000,146145000,163817000
4,Gross Profit Ratio,0.6692,0.7201,0.7130,0.7212,0.6766
5,Research and Development Exp.,25261000,36240000,52462000,70206000,94652000
6,General and Administrative Exp.,9606000,14347000,37263000,44408000,59129000
7,Selling and Marketing Exp.,43082000,72218000,107239000,109190000,131311000
8,"Selling, General and Administrative Exp.",52688000,86565000,144502000,153598000,190440000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,77949000,122805000,196964000,223804000,285092000
11,COGS and Expenses,100387000,151815000,241462000,280296000,363400000
12,Interest Income ,568000,1096000,1982000,-419000,10000
13,Interest Expense (Gain),19000,105000,123000,703000,174000
14,Depreciation and Amortization,2124000,2013000,4345000,8298000,14181000
15,EBITDA,-29867000,-45064000,-86768000,-69780000,-107084000
16,EBITDA ratio,-0.4403,-0.4348,-0.5596,-0.3444,-0.4423
17,Operating Income,-32559000,-48173000,-93095000,-77659000,-121275000
18,Operating Income ratio,-0.4800,-0.4648,-0.6004,-0.3832,-0.5009
19,Total Other Income Expenses (Gains),549000,991000,1859000,-1122000,-164000
20,Income Before Tax,-32010000,-47182000,-91236000,-78781000,-121439000
21,Income Before Tax Ratio,-0.4719,-0.4552,-0.5884,-0.3888,-0.5016
22,Income Tax expense (Gain),425000,607000,901000,1516000,1926000
23,Net Income,-32435000,-47789000,-92137000,-80297000,-123365000
24,Net Income ratio,-0.4782,-0.4611,-0.5942,-0.3963,-0.5095
25,EPS,-0.43,-0.58,-1.21,-1.65,-1.13
26,EPS Diluted,-0.43,-0.58,-1.21,-1.65,-1.13
27,Weighted Average Shares Outstanding,76234000,82284000,76234000,48805000,108695000
28,Weighted Average Shares Outstanding Diluted,76234000,82284000,76234000,48805000,108695000
