,https://roic.ai/company/AUSI,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,400000,1600000,500000,2800000,9100000,8300000,11100000,11000000,16400000,44200000,77088850,109950202,136715385,81518162,5788221,2512508,3116295,1103770,1864325,2525431,1756105,1624074,2849331,2415529,3214792,3439959,3335985,2717446,2337226,1155811,183032,- -,- -,39274,821987,114923
2,COGS,300000,1100000,600000,2700000,9700000,7000000,6600000,9500000,12200000,26900000,71849204,86350828,101622051,158024723,13424303,1216637,1480736,571099,934769,1573116,614327,745060,1746361,1539985,1745107,2097463,1772155,1527700,2162328,490379,170996,- -,- -,170263,177079,81449
3,Gross Profit,100000,500000,-100000,100000,-600000,1300000,4500000,1500000,4200000,17300000,5239646,23599374,35093334,-76506561,-7636082,1295871,1635559,532671,929556,952315,1141778,879014,1102970,875544,1469685,1342496,1563830,1189746,174898,665432,12036,- -,- -,-130989,644908,33474
4,Gross Profit Ratio,0.2500,0.3125,-0.2000,0.0357,-0.0659,0.1566,0.4054,0.1364,0.2561,0.3914,0.0680,0.2146,0.2567,-0.9385,-1.3192,0.5158,0.5248,0.4826,0.4986,0.3771,0.6502,0.5412,0.3871,0.3625,0.4572,0.3903,0.4688,0.4378,0.0748,0.5757,0.0658,- -,- -,-3.3353,0.7846,0.2913
5,Research and Development Exp.,100000,100000,800000,- -,- -,- -,- -,- -,- -,2000000,5225735,6022586,1395160,2831847,148443,547812,810949,442332,2135061,2482668,1483247,1048529,1541617,1872683,2260962,1661319,1328133,1313816,1294619,845135,395727,34210,102679,494636,172382,237450
6,General and Administrative Exp.,100000,600000,1400000,- -,2200000,5100000,7800000,9400000,8600000,14600000,26399794,18542840,45018066,74419812,10725397,12695833,10006844,- -,- -,- -,- -,- -,- -,- -,14595948,- -,- -,- -,- -,- -,- -,- -,5803327,5470228,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",100000,600000,2200000,1500000,2200000,5100000,7800000,9400000,8600000,14600000,26399794,18542840,45018066,74419812,10725397,12695833,10006844,7374961,7191925,6886542,5867388,5200393,8246812,8204793,14595948,9824524,13059291,13377161,9099230,8898166,2981781,3522347,5803327,5470228,1259312,1318602
9,Other Expenses,- -,- -,-800000,200000,500000,700000,900000,1100000,1600000,3200000,- -,- -,- -,- -,- -,8214981,-2572780,3989056,- -,2765192,267726,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,200000,700000,2200000,1700000,2700000,5800000,8700000,10500000,10200000,19800000,31625529,24565426,46413226,77251659,10873840,21458626,8245013,11806349,9326986,12134402,7618361,6248922,9788429,10077476,16856910,11485843,14387424,14690977,10393849,9743301,3377508,3556557,5906006,5964864,1431694,1556052
11,COGS and Expenses,500000,1800000,2800000,4400000,12400000,12800000,15300000,20000000,22400000,46700000,103474733,110916254,148035277,235276382,24298143,22675263,9725749,12377448,10261755,13707518,8232688,6993982,11534790,11617461,18602017,13583306,16159579,16218677,12556177,10233680,3548504,3556557,5906006,6135127,1608773,1637501
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,475758,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,400000,- -,996641,1891692,7276039,12383026,- -,- -,- -,2656592,2409732,18965852,- -,- -,- -,702650,- -,- -,- -,3874328,- -,- -,- -,- -,5482393,1078873,1233912,1293409
14,Depreciation and Amortization,- -,20000,70000,200000,-500000,-700000,-900000,-1100000,-1600000,-3200000,4246133,4797436,8362110,12985278,6853924,7619979,5868089,966852,571734,416161,65091,30948,35462,78980,138448,186594,182703,157668,32515,7010,945,- -,- -,- -,- -,743
15,EBITDA,-200000,-180000,-2230000,-1400000,-3900000,-5700000,-5700000,-10700000,-11800000,-5800000,-20844316,4338859,2745563,-124943929,-2612032,-13309992,-19068806,-12517429,-10603409,-8892650,6929579,-6137499,-8925024,-9062332,-15954329,-11009424,-13971001,-11115852,-13924936,-12280242,-6604022,-3628612,-5906006,-3377528,-1363074,2137480
16,EBITDA ratio,-0.5000,-0.1125,-4.4600,-0.5000,-0.4286,-0.6867,-0.5135,-0.9727,-0.7195,-0.1312,-0.2704,0.0395,0.0201,-1.5327,-0.4513,-5.2975,-6.1191,-11.3406,-5.6875,-3.5212,3.9460,-3.7791,-3.1323,-3.7517,-4.9628,-3.2005,-4.1880,-4.0906,-5.9579,-10.6248,-36.0812,-Infinity,-Infinity,-85.9991,-1.6583,18.5992
17,Operating Income,-200000,-200000,- -,- -,- -,- -,- -,- -,- -,- -,-26385883,-966052,-11319892,-163161907,-18509922,-20402755,-15704847,-13573678,-10948796,-13815300,-6915771,-5789673,-8738134,-9201932,-15387225,-10143347,-12823594,-13501231,-10218951,-9077869,-3365472,-3556557,-5906006,-6095853,-1036786,-1522577
18,Operating Income ratio,-0.5000,-0.1250,- -,- -,- -,- -,- -,- -,- -,- -,-0.3423,-0.0088,-0.0828,-2.0015,-3.1979,-8.1205,-5.0396,-12.2976,-5.8728,-5.4705,-3.9381,-3.5649,-3.0667,-3.8095,-4.7864,-2.9487,-3.8440,-4.9684,-4.3723,-7.8541,-18.3873,-Infinity,-Infinity,-155.2134,-1.2613,-13.2487
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,-600000,-500000,-4300000,100000,- -,-1384217,-626289,-31024095,-5893449,-527216,-11121588,-3396617,-2294160,3958009,20382279,-405562,-106420,-581410,-21991,-1052671,-1330110,-1646617,-3738500,-3209383,-3239495,-4174776,7606655,1639451,-1560200,2365905
