,https://roic.ai/company/BOX,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,58797000,124192000,216440000,302704000,398605000,506142000,608386000,696264000,770770000,874332000
2,COGS,14280000,25974000,47273000,87100000,112130000,135248000,173594000,215577000,224738000,249484000
3,Gross Profit,44517000,98218000,169167000,215604000,286475000,370894000,434792000,480687000,546032000,624848000
4,Gross Profit Ratio,0.7571,0.7909,0.7816,0.7123,0.7187,0.7328,0.7147,0.6904,0.7084,0.7147
5,Research and Development Exp.,28996000,45967000,66402000,102500000,115928000,136791000,163750000,199750000,201262000,218523000
6,General and Administrative Exp.,25429000,39843000,61672000,71923000,68182000,84805000,93069000,102794000,106670000,135316000
7,Selling and Marketing Exp.,99221000,171188000,207749000,242184000,253020000,303319000,312210000,317615000,275742000,298635000
8,"Selling, General and Administrative Exp.",124650000,211031000,269421000,314107000,321202000,388124000,405279000,420409000,382412000,433951000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,153646000,256998000,335823000,416607000,437130000,524915000,569029000,620159000,583674000,652474000
11,COGS and Expenses,167926000,282972000,383096000,503707000,549260000,660163000,742623000,835736000,808412000,901958000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),1764000,3705000,2009000,1157000,896000,1013000,316000,2338000,7010000,-9838000
14,Depreciation and Amortization,8616000,17867000,29019000,40394000,40154000,40112000,46320000,59424000,75478000,78234000
15,EBITDA,-102124000,-149416000,-137768000,-160707000,-109823000,-113120000,-86578000,-81176000,40262000,30932000
16,EBITDA ratio,-1.7369,-1.2031,-0.6365,-0.5309,-0.2755,-0.2235,-0.1423,-0.1166,0.0522,0.0354
17,Operating Income,-109129000,-158780000,-166656000,-201003000,-150655000,-154021000,-134237000,-139472000,-37642000,-27626000
18,Operating Income ratio,-1.8560,-1.2785,-0.7700,-0.6640,-0.3780,-0.3043,-0.2206,-0.2003,-0.0488,-0.0316
19,Total Other Income Expenses (Gains),-3375000,-12208000,-2140000,-1255000,-218000,-224000,1023000,-3466000,-4584000,-9838000
20,Income Before Tax,-112504000,-170988000,-168796000,-202258000,-150873000,-154245000,-133214000,-142938000,-42226000,-37464000
21,Income Before Tax Ratio,-1.9134,-1.3768,-0.7799,-0.6682,-0.3785,-0.3047,-0.2190,-0.2053,-0.0548,-0.0428
22,Income Tax expense (Gain),59000,-2431000,-569000,690000,914000,715000,1398000,1410000,1207000,3995000
23,Net Income,-112563000,-168557000,-168227000,-202948000,-151787000,-154960000,-134612000,-144348000,-43433000,-41459000
24,Net Income ratio,-1.9144,-1.3572,-0.7772,-0.6705,-0.3808,-0.3062,-0.2213,-0.2073,-0.0564,-0.0474
25,EPS,-1.18,-1.93,-11.48,-1.67,-1.19,-1.16,-0.95,-0.98,-0.28,-0.35
26,EPS Diluted,-1.18,-1.93,-11.48,-1.67,-1.19,-1.16,-0.95,-0.98,-0.28,-0.35
27,Weighted Average Shares Outstanding,95666000,83034000,15854000,121240000,127469000,133932000,141351000,147762000,155849000,155598000
28,Weighted Average Shares Outstanding Diluted,95666000,83034000,15854000,121240000,127469000,133932000,141351000,147762000,155849000,155598000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1372612/000119312515112029/0001193125-15-112029-index.htm,https://www.sec.gov/Archives/edgar/data/1372612/000156459016015649/0001564590-16-015649-index.html,https://www.sec.gov/Archives/edgar/data/1372612/000156459017005227/0001564590-17-005227-index.html,https://www.sec.gov/Archives/edgar/data/1372612/000156459018006572/0001564590-18-006572-index.html,https://www.sec.gov/Archives/edgar/data/1372612/000156459019008669/0001564590-19-008669-index.html,https://www.sec.gov/Archives/edgar/data/1372612/000156459020011799/0001564590-20-011799-index.html,https://www.sec.gov/Archives/edgar/data/1372612/000156459021014377/0001564590-21-014377-index.htm,https://www.sec.gov/Archives/edgar/data/1372612/000095017022003913/0000950170-22-003913-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,127625000,108851000,330436000,185741000,177391000,208076000,217518000,195586000,595082000,416274000
32,Short-Term Investments,- -,- -,- -,7379000,- -,- -,- -,- -,- -,170000000
33,Cash and Short-Term Investments,127625000,108851000,330436000,193120000,177391000,208076000,217518000,195586000,595082000,586274000
34,Net Receivables,18801000,44728000,54174000,99542000,120113000,162133000,175130000,209434000,228309000,256312000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,15553000,12869000,21619000,27332000,24597000,28980000,35906000,52706000,55895000,73978000
37,Total Current Assets,161979000,166448000,406229000,319994000,322101000,399189000,428554000,457726000,879286000,916564000
38,PP&E,29949000,41385000,58446000,120492000,117176000,123977000,137703000,388782000,354401000,278563000
39,Goodwill,- -,8081000,11242000,14301000,16293000,16293000,18740000,18740000,18740000,74466000
40,Intangible Assets,830000,6567000,6343000,3895000,543000,24000,- -,25115000,24820000,- -
41,Intangible Assets,830000,14648000,17585000,18196000,16836000,16317000,18740000,43855000,43560000,74466000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,170000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,3034000,12948000,10406000,38806000,37561000,14083000,65164000,69628000,74435000,-170000000
45,Total Non-Current Assets,33813000,68981000,86437000,177494000,171573000,154377000,221607000,502265000,472396000,353029000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,195792000,235429000,492666000,497488000,493674000,553566000,650161000,959991000,1351682000,1269593000
48,Accounts Payable,11906000,12405000,17486000,9862000,6658000,17036000,15431000,16752000,4546000,- -
49,Short-Term Debt,968000,- -,625000,4698000,13748000,18844000,28317000,94973000,97659000,497914000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,38275000,78282000,107893000,168051000,228656000,291902000,353590000,407493000,443929000,519485000
52,Other Current Liabilities,6031000,31472000,40049000,67855000,48879000,66185000,65862000,58216000,66705000,-298424000
53,Total Current Liabilities,57180000,122159000,166053000,250466000,297941000,393967000,463200000,577434000,612839000,718975000
54,Long-Term Debt,30060000,34000000,40000000,40000000,40000000,40000000,40000000,40000000,550496000,336384000
55,Deferred Revenue,1824000,11790000,12164000,18362000,13328000,29021000,21451000,16356000,21684000,14757000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,290384000,399992000,6320000,50759000,67673000,75610000,94105000,303844000,15598000,229100000
58,Total Non-Current Liabilities,322268000,445782000,58484000,109121000,121001000,144631000,155556000,360200000,587778000,580241000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,1863000,12014000,35445000,45824000,72914000,384541000,350541000,- -
61,Total Liabilities,379448000,567941000,224537000,359587000,418942000,538598000,618756000,937634000,1200617000,1299216000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,12000,12000,13000,13000,14000,15000,16000,15000
64,Retained Earnings,-192609000,-361166000,-529393000,-732341000,-884128000,-1039088000,-1133898000,-1278246000,-1321679000,-1362579000
65,Other Comprehensive Income/Loss,- -,15000,-56000,-84000,-120000,288000,23000,-307000,-938000,-4543000
66,Other Total Stockholders Equity,8952000,28638000,797566000,870314000,958967000,1053755000,1165266000,1300895000,1473666000,972020000
67,Total Stockholders Equity,-183656000,-332512000,268129000,137901000,74732000,14968000,31405000,22357000,151065000,-395087000
68,Total Liabilities And Stockholders Equity,195792000,235429000,492666000,497488000,493674000,553566000,650161000,959991000,1351682000,904129000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,365464000
70,Total Liabilities & Equity,195792000,235429000,492666000,497488000,493674000,553566000,650161000,959991000,1351682000,1269593000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1372612/000119312515112029/0001193125-15-112029-index.htm,https://www.sec.gov/Archives/edgar/data/1372612/000156459016015649/0001564590-16-015649-index.html,https://www.sec.gov/Archives/edgar/data/1372612/000156459017005227/0001564590-17-005227-index.html,https://www.sec.gov/Archives/edgar/data/1372612/000156459018006572/0001564590-18-006572-index.html,https://www.sec.gov/Archives/edgar/data/1372612/000156459019008669/0001564590-19-008669-index.html,https://www.sec.gov/Archives/edgar/data/1372612/000156459020011799/0001564590-20-011799-index.html,https://www.sec.gov/Archives/edgar/data/1372612/000156459021014377/0001564590-21-014377-index.htm,https://www.sec.gov/Archives/edgar/data/1372612/000095017022003913/0000950170-22-003913-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-112563000,-168557000,-168227000,-202948000,-151787000,-154960000,-134612000,-144348000,-43433000,-41459000
74,Depreciation and Amortization,8616000,17867000,29019000,40394000,40154000,40112000,46320000,59424000,75478000,78234000
75,Deferred Income Tax,- -,-2590000,-1117000,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,7536000,11749000,31929000,59504000,78372000,97485000,119296000,145988000,154292000,178974000
77,Change in Working Capital,5277000,-60510000,195887000,-170648000,-45368000,-18938000,-39868000,-85062000,386155000,-68858000
78,Accounts Receivable,-11499000,-25157000,-11487000,-45368000,-20571000,-42020000,-12415000,-34304000,-18875000,-27224000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,2046000,-3177000,3231000,-4022000,-1093000,6900000,1655000,-100000,-12301000,15325000
81,Other Working Capital,104799000,44289000,240176000,69528000,24160000,5222000,-34646000,-119708000,266447000,197589000
82,Other Non-Cash Items,9383000,110272000,-172391000,207377000,77411000,98123000,64185000,68711000,-375658000,87927000
83,Cash Provided by Operating Activities,-81751000,-91769000,-84900000,-66321000,-1218000,61822000,55321000,44713000,196834000,234818000
84,CAPEX,-19561000,-32185000,-38883000,-73210000,-14956000,-11822000,-17569000,-13409000,-16490000,-10487000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-458000,- -,- -,-59395000
86,Purchases of Investments,-125000,- -,- -,-112521000,- -,- -,- -,- -,- -,-170000000
87,Sales/Maturities of Investments,20000000,- -,- -,104797000,7297000,- -,1874000,105000,107000,- -
88,Other Investing Activites,-62000,-7761000,-202000,-198000,87000,107000,-2759000,-7949000,-7438000,-5271000
89,Cash Used for Investing Activites,314000,-32185000,-38883000,-80861000,-7572000,-11715000,-16151000,-13296000,-16383000,-239368000
90,Debt Repayment,-577000,-30971000,-6069000,-42036000,-8781000,-56052000,-23930000,-38542000,-100020000,-57383000
91,Common Stock Issued,- -,- -,184237000,- -,- -,- -,- -,- -,- -,25373000
92,Common Stock Repurchased,- -,- -,- -,-2172000,- -,- -,- -,- -,- -,-561571000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9619000
94,Other Financing Activites,173374000,136136000,167271000,46721000,9260000,36222000,-5637000,-14874000,318697000,430339000
95,Cash Used/Provided by Financing Activities,172797000,105165000,345439000,2513000,479000,-19830000,-29567000,-53416000,218677000,-172861000
96,Effect of Forex Changes on Cash,- -,15000,-71000,-26000,-39000,408000,-273000,-171000,797000,-1212000
97,Net Change In Cash,91360000,-18774000,221585000,-144695000,-8350000,30685000,9330000,-22170000,399925000,-178623000
