,https://roic.ai/company/EXPR,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,1796346000,1737010000,1721066000,1912000000,2080500000,2157200000,2219100000,2165481000,2350129000,2204417000,2158502000,2116344000,2019194000,1208374000,1870296000
2,COGS,1341577000,1280018000,1175088000,1233700000,1326000000,1414600000,1501400000,1504527000,1554852000,1529728000,1530991000,1501433000,1468619000,1213281000,1311829000
3,Gross Profit,454769000,456992000,545978000,678300000,754500000,742600000,717700000,660954000,795277000,674689000,627511000,614911000,550575000,-4907000,558467000
4,Gross Profit Ratio,0.2532,0.2631,0.3172,0.3548,0.3627,0.3442,0.3234,0.3052,0.3384,0.3061,0.2907,0.2906,0.2727,-0.0041,0.2986
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,461100000,483800000,491600000,504300000,524041000,587747000,569546000,573550000,587348000,564332000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,461100000,483800000,491600000,504300000,524041000,587747000,569546000,573550000,587348000,564332000,- -,558187000
9,Other Expenses,451078000,453078000,419141000,18000000,-300000,-500000,-800000,316000,292000,62000,23405000,-652000,204108000,450308000,- -
10,Operating Expenses,451078000,453078000,419141000,479100000,483500000,491100000,503500000,524357000,588039000,569608000,596955000,586696000,768440000,450308000,558187000
11,COGS and Expenses,1792655000,1733096000,1594229000,1712800000,1809500000,1905700000,2004900000,2028884000,2142891000,2099336000,2127946000,2088129000,2237059000,1663589000,1870016000
12,Interest Income ,5190000,3527000,484000,16000,12000,3000,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),6978000,36531000,53222000,59493000,35804000,19555000,- -,- -,- -,- -,- -,- -,- -,- -,15198000
14,Depreciation and Amortization,74298000,81410000,72434000,68557000,68102000,67727000,69810000,76437000,74904000,82144000,90221000,85853000,85383000,73698000,67622000
15,EBITDA,78467000,89151000,202199000,269804000,339474000,319286000,262937000,187993000,265588000,173684000,117763000,106143000,-129501000,-387651000,68699000
16,EBITDA ratio,0.0437,0.0513,0.1175,0.1411,0.1632,0.1480,0.1185,0.0868,0.1130,0.0788,0.0546,0.0502,-0.0641,-0.3208,0.0367
17,Operating Income,3691000,3914000,126837000,199251000,270946000,251563000,214259000,136597000,207238000,103601000,29740000,28215000,-217865000,-455215000,779000
18,Operating Income ratio,0.0021,0.0023,0.0737,0.1042,0.1302,0.1166,0.0966,0.0631,0.0882,0.0470,0.0138,0.0133,-0.1079,-0.3767,0.0004
19,Total Other Income Expenses (Gains),-6500000,-32704000,-50294000,-57551000,-35346000,-19563000,-21059000,-25041000,-16554000,-11504000,-889000,-7925000,2981000,-6134000,-14900000
20,Income Before Tax,-2809000,-28790000,76543000,141700000,235600000,232000000,193200000,111556000,190684000,92097000,28851000,20290000,-214884000,-461349000,-14121000
21,Income Before Tax Ratio,-0.0016,-0.0166,0.0445,0.0741,0.1132,0.1075,0.0871,0.0515,0.0811,0.0418,0.0134,0.0096,-0.1064,-0.3818,-0.0076
22,Income Tax expense (Gain),7648000,246000,1236000,14354000,94868000,92704000,76627000,43231000,74171000,33200000,8669000,10660000,-50526000,-55900000,315000
23,Net Income,-10457000,-29036000,75307000,127400000,140700000,139300000,116500000,68325000,116513000,58340000,18873000,9630000,-164358000,-405449000,-14436000
24,Net Income ratio,-0.0058,-0.0167,0.0438,0.0666,0.0676,0.0646,0.0525,0.0316,0.0496,0.0265,0.0087,0.0046,-0.0814,-0.3355,-0.0077
25,EPS,-0.14,-0.38,1.02,1.49,1.59,1.60,1.38,0.81,1.39,0.73,0.25,0.13,-2.49,-6.27,-0.22
26,EPS Diluted,-0.14,-0.38,1.02,1.48,1.58,1.60,1.37,0.81,1.38,0.73,0.25,0.13,-2.49,-6.27,-0.22
27,Weighted Average Shares Outstanding,76470000,76470000,74175000,85369000,88596000,86852000,84466000,84144000,83980000,78669000,78592000,72518000,66133000,64624000,66448000
28,Weighted Average Shares Outstanding Diluted,78142000,78142000,74175000,86050000,88896000,87206000,85068000,84554000,84591000,79049000,78870000,73239000,66133000,64624000,66448000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1483510/000119312511073120/d10k.htm,https://www.sec.gov/Archives/edgar/data/1483510/000148351012000013/0001483510-12-000013-index.html,https://www.sec.gov/Archives/edgar/data/1483510/000148351013000014/0001483510-13-000014-index.html,https://www.sec.gov/Archives/edgar/data/1483510/000148351014000045/0001483510-14-000045-index.html,https://www.sec.gov/Archives/edgar/data/1483510/000148351015000046/expr10-kfy2014.htm,https://www.sec.gov/Archives/edgar/data/1483510/000148351016000197/0001483510-16-000197-index.html,https://www.sec.gov/Archives/edgar/data/1483510/000148351017000036/0001483510-17-000036-index.html,https://www.sec.gov/Archives/edgar/data/1483510/000148351018000010/0001483510-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1483510/000148351019000014/0001483510-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/1483510/000148351020000018/0001483510-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/1483510/000148351021000009/0001483510-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1483510/000148351022000015/0001483510-22-000015-index.htm
