,https://roic.ai/company/ATXS,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,- -,- -,500000,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,13994000,15686000,23030000,25450000,18682000,17042000,18317000,25590000,15552000
6,General and Administrative Exp.,4125000,5995000,8629000,10108000,8912000,9329000,8771000,11845000,14807000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4125000,5995000,8629000,10108000,8912000,9329000,8771000,11845000,14807000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,164617000
10,Operating Expenses,18119000,21681000,31659000,35558000,27594000,26371000,27088000,37435000,194976000
11,COGS and Expenses,18119000,21681000,31659000,35558000,27594000,26371000,27088000,37435000,- -
12,Interest Income ,- -,- -,- -,242000,160000,425000,845000,236000,- -
13,Interest Expense (Gain),- -,206000,978000,837000,462000,100000,- -,- -,- -
14,Depreciation and Amortization,320000,248000,202000,395000,304000,119000,26000,- -,- -
15,EBITDA,-17799000,-21430000,-31450000,-34828000,-26598000,-25651000,-26267000,-37435000,-194976000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-53.1960,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-18119000,-21681000,-31659000,-35558000,-27094000,-26371000,-27088000,-37435000,-194976000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-54.1880,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),1000,-203000,-971000,-502000,-270000,501000,795000,135000,64000
20,Income Before Tax,-18118000,-21884000,-32630000,-36060000,-27364000,-25870000,-26293000,-37300000,-194912000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-54.7280,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
