,https://roic.ai/company/AGFS,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,158789000,- -,- -,159669000,164026000,178786000,170065000,157643000,165989000
2,COGS,29430000,- -,- -,59977000,32655000,46271000,45049000,42217000,48956000
3,Gross Profit,129359000,- -,- -,99692000,131371000,132515000,125016000,115426000,117033000
4,Gross Profit Ratio,0.8147,- -,- -,0.6244,0.8009,0.7412,0.7351,0.7322,0.7051
5,Research and Development Exp.,17837000,- -,- -,14767000,13779000,13873000,14112000,12357000,12931000
6,General and Administrative Exp.,29153000,496916,- -,61892000,61847000,65770000,59446000,53860000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",29153000,496916,- -,61892000,61847000,65770000,59446000,53860000,52609000
9,Other Expenses,29767000,180000,177000000,40327000,41910000,45946000,81119000,40757000,- -
10,Operating Expenses,76757000,676916,177000000,116986000,117536000,125589000,154677000,106974000,65540000
11,COGS and Expenses,106187000,676916,- -,176963000,150191000,171860000,199726000,149191000,114496000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),5000,- -,- -,58239000,35755000,34451000,33784000,23669000,-21774000
14,Depreciation and Amortization,30785000,- -,34142000,42850000,44356000,47593000,83456000,46970000,- -
15,EBITDA,83387000,-679877,- -,2549000,99003000,53824000,39265000,48304000,-25278000
16,EBITDA ratio,0.5251,-Infinity,- -,0.0160,0.6036,0.3011,0.2309,0.3064,-0.1523
17,Operating Income,52602000,-676916,- -,-36854000,40783000,7344000,-40755000,8452000,2128000
18,Operating Income ratio,0.3313,-Infinity,- -,-0.2308,0.2486,0.0411,-0.2396,0.0536,0.0128
19,Total Other Income Expenses (Gains),-5000,2961,- -,-61686000,-21800000,-35744000,-37898000,-30042000,-5632000
20,Income Before Tax,52597000,-673955,- -,-98540000,18983000,-28400000,-78653000,-21590000,-3504000
21,Income Before Tax Ratio,0.3312,-Infinity,- -,-0.6172,0.1157,-0.1588,-0.4625,-0.1370,-0.0211
22,Income Tax expense (Gain),25141000,- -,- -,13020000,-4579000,1840000,-17143000,31376000,-2845000
23,Net Income,27456000,-673955,- -,-111560000,23471000,-30060000,-60832000,-53711000,-659000
24,Net Income ratio,0.1729,-Infinity,- -,-0.6987,0.1431,-0.1681,-0.3577,-0.3407,-0.0040
25,EPS,4.38,-0.10,- -,-2.26,0.47,-0.60,-1.21,-1.26,-0.59
26,EPS Diluted,4.38,-0.10,- -,-2.26,0.47,-0.60,-1.21,-1.26,-0.59
27,Weighted Average Shares Outstanding,6270000,6613000,49384838,49384838,49808600,49883739,50123565,50770429,51410000
28,Weighted Average Shares Outstanding Diluted,6270000,6613000,49384838,49384838,50191303,49883739,50123565,50770429,51410000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1592016/000110465915015302/a15-1918_110k.htm,https://www.sec.gov/Archives/edgar/data/1592016/000110465916104347/a15-23269_110k.htm,https://www.sec.gov/Archives/edgar/data/1592016/000159201617000006/agfs-2016x10k.htm,https://www.sec.gov/Archives/edgar/data/1592016/000159201618000006/agfs-2017x10k.htm,https://www.sec.gov/Archives/edgar/data/1592016/000159201619000017/agfs-20181231.htm,https://www.sec.gov/Archives/edgar/data/1592016/000159201620000028/agfs-20191231.htm,https://www.sec.gov/Archives/edgar/data/1592016/000159201621000015/0001592016-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1592016/000159201622000020/0001592016-22-000020-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,25000,733386,57765000,77312000,64533000,34852000,29288000,50030000,61930000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,25000,733386,57765000,77312000,64533000,34852000,29288000,50030000,61930000
34,Net Receivables,- -,- -,71518000,72981000,85597000,75796000,73559000,72552000,53538000
35,Inventory,- -,- -,44176000,15467000,24109000,24807000,22621000,24579000,19780000
36,Other Current Assets,- -,81369,7197000,4741000,4596000,7754000,6877000,7871000,19878000
37,Total Current Assets,25000,814755,180656000,170501000,178835000,143209000,132345000,155032000,155126000
38,PP&E,- -,- -,4606000,8048000,12200000,13289000,19776000,18616000,11986000
39,Goodwill,- -,- -,56006000,- -,9402000,6670000,6323000,6925000,- -
40,Intangible Assets,- -,- -,825056000,776584000,757882000,711967000,631369000,589201000,546652000
41,Intangible Assets,- -,- -,881062000,776584000,767284000,718637000,637692000,596126000,546652000
42,Investments,- -,220502961,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,12278000,8459000,8198000,7332000,10317000,9699000,7392000
44,Other Non-Current Assets,118875,- -,4072000,2252000,16746000,16820000,5562000,6310000,11406000
45,Total Non-Current Assets,118875,220502961,902018000,795343000,804428000,756078000,673347000,630751000,577436000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,143875,221317716,1082674000,965844000,983263000,899287000,805692000,785783000,732562000
48,Accounts Payable,- -,- -,13924000,12133000,15014000,7530000,15105000,19634000,16969000
49,Short-Term Debt,- -,- -,4250000,15250000,7926000,6419000,6168000,5086000,3362000
50,Tax Payable,- -,180000,1801000,7719000,13779000,10131000,8665000,10120000,2382000
51,Deferred Revenue,- -,- -,- -,- -,100000,1280000,1175000,1474000,- -
52,Other Current Liabilities,118875,330788,49396000,69487000,71640000,48875000,27330000,26265000,29376000
53,Total Current Liabilities,118875,330788,67570000,96870000,94680000,64104000,49778000,52459000,49707000
54,Long-Term Debt,- -,- -,406286000,392996000,402868000,400309000,398064000,264491000,254194000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,34833000
56,Deferred Tax Liabilities,- -,- -,285000,- -,31130000,30232000,16574000,37834000,34833000
57,Other Non-Current Liabilities,- -,7717500,164630000,140833000,38505000,32066000,7246000,158606000,-28577000
58,Total Non-Current Liabilities,- -,7717500,571201000,533829000,472503000,462607000,421884000,460931000,295283000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,6832000,6358000,- -
61,Total Liabilities,118875,8048288,638771000,630699000,567183000,526711000,471662000,513390000,344990000
