,https://roic.ai/company/PANW,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,13352000,48782000,118597000,255138000,396107000,598179000,928052000,1378500000,1761600000,2273100000,2899600000,3408400000,4256100000
2,COGS,6276000,15634000,32273000,70553000,109756000,159628000,251499000,370000000,476600000,645300000,808400000,999500000,1274900000
3,Gross Profit,7076000,33148000,86324000,184585000,286351000,438551000,676553000,1008500000,1285000000,1627800000,2091200000,2408900000,2981200000
4,Gross Profit Ratio,0.5300,0.6795,0.7279,0.7235,0.7229,0.7331,0.7290,0.7316,0.7295,0.7161,0.7212,0.7068,0.7005
5,Research and Development Exp.,8208000,12788000,21366000,38570000,62482000,104813000,185828000,284200000,347400000,400700000,539500000,768100000,1140400000
6,General and Administrative Exp.,2536000,11291000,13108000,26207000,42719000,73149000,101565000,138400000,198300000,257800000,261800000,299600000,391100000
7,Selling and Marketing Exp.,15372000,29726000,62254000,115917000,199771000,334763000,522696000,776000000,919100000,1098400000,1344000000,1520200000,1753800000
8,"Selling, General and Administrative Exp.",17908000,41017000,75362000,142124000,242490000,407912000,624261000,914400000,1117400000,1356200000,1605800000,1819800000,2144900000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,26116000,53805000,96728000,180694000,304972000,512725000,810089000,1198600000,1464800000,1756900000,2145300000,2587900000,3285300000
11,COGS and Expenses,32392000,69439000,129001000,251247000,414728000,672353000,1061588000,1568600000,1941400000,2402200000,2953700000,3587400000,4560200000
12,Interest Income ,52000,4000,3000,18000,484000,- -,- -,- -,14700000,27100000,69800000,41400000,8500000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,1883000,22325000,23400000,24500000,29600000,83900000,88700000,163300000
14,Depreciation and Amortization,1180000,1123000,2189000,6134000,9892000,19419000,28881000,42800000,59800000,96400000,153800000,253500000,304900000
15,EBITDA,-17813000,-19954000,-9863000,8933000,-8764000,-200858000,-104371000,-138900000,-109800000,-4200000,163100000,110400000,3200000
16,EBITDA ratio,-1.3341,-0.4090,-0.0832,0.0350,-0.0221,-0.3358,-0.1125,-0.1008,-0.0623,-0.0018,0.0562,0.0324,0.0008
17,Operating Income,-19040000,-20657000,-10404000,3891000,-18621000,-215347000,-133536000,-190100000,-179800000,-129100000,-54100000,-179000000,-304100000
18,Operating Income ratio,-1.4260,-0.4235,-0.0877,0.0153,-0.0470,-0.3600,-0.1439,-0.1379,-0.1021,-0.0568,-0.0187,-0.0525,-0.0715
19,Total Other Income Expenses (Gains),47000,-420000,-1648000,-1092000,-35000,-6813000,-22041000,-15000000,-14300000,-1100000,-20500000,-52800000,-160900000
20,Income Before Tax,-18993000,-21077000,-12052000,2799000,-18656000,-222160000,-155577000,-205100000,-194100000,-130200000,-74600000,-231800000,-465000000
21,Income Before Tax Ratio,-1.4225,-0.4321,-0.1016,0.0110,-0.0471,-0.3714,-0.1676,-0.1488,-0.1102,-0.0573,-0.0257,-0.0680,-0.1093
22,Income Tax expense (Gain),12000,56000,476000,2062000,10590000,4292000,9405000,20800000,22500000,17700000,7300000,35200000,33900000
23,Net Income,-19005000,-21133000,-12528000,737000,-29246000,-226452000,-164982000,-225900000,-216600000,-147900000,-81900000,-267000000,-498900000
24,Net Income ratio,-1.4234,-0.4332,-0.1056,0.0029,-0.0738,-0.3786,-0.1778,-0.1639,-0.1230,-0.0651,-0.0282,-0.0783,-0.1172
25,EPS,-0.34,-0.38,-0.20,0.04,-0.43,-3.05,-2.02,-2.59,-2.39,-1.61,-0.87,-2.76,-5.18
26,EPS Diluted,-0.34,-0.38,-0.20,0.04,-0.43,-3.05,-2.02,-2.59,-2.39,-1.61,-0.87,-2.76,-5.18
27,Weighted Average Shares Outstanding,55285000,55285000,55285000,19569000,68682000,74291000,81619000,87100000,90600000,91700000,94500000,96900000,96400000
28,Weighted Average Shares Outstanding Diluted,55285000,55285000,55285000,19569000,68682000,74291000,81619000,87100000,90600000,91700000,94500000,96900000,96400000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1327567/000132756713000026/0001327567-13-000026-index.html,https://www.sec.gov/Archives/edgar/data/1327567/000132756714000028/0001327567-14-000028-index.html,https://www.sec.gov/Archives/edgar/data/1327567/000132756715000027/0001327567-15-000027-index.html,https://www.sec.gov/Archives/edgar/data/1327567/000132756716000064/0001327567-16-000064-index.html,https://www.sec.gov/Archives/edgar/data/1327567/000132756717000027/0001327567-17-000027-index.html,https://www.sec.gov/Archives/edgar/data/1327567/000132756718000024/0001327567-18-000024-index.html,https://www.sec.gov/Archives/edgar/data/1327567/000132756719000032/0001327567-19-000032-index.html,https://www.sec.gov/Archives/edgar/data/1327567/000132756720000032/0001327567-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1327567/000132756721000029/0001327567-21-000029-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,18835000,40517000,322642000,310614000,653812000,375814000,734400000,744300000,2506900000,961400000,2958000000,1874200000
32,Short-Term Investments,- -,- -,- -,- -,109007000,118690000,413165000,551200000,630700000,896500000,1841700000,789800000,1026900000
33,Cash and Short-Term Investments,- -,18835000,40517000,322642000,419621000,772502000,788979000,1285600000,1375000000,3403400000,2803100000,3747800000,2901100000
34,Net Receivables,- -,14241000,29677000,45642000,87461000,135518000,212366000,348700000,432100000,467300000,582400000,1037100000,1240400000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,2584000,6646000,13373000,22617000,50306000,72685000,84800000,169200000,261300000,279300000,344300000,505800000
37,Total Current Assets,- -,35660000,76840000,381657000,529699000,958326000,1074030000,1719100000,1976300000,4132000000,3664800000,5129200000,4647300000
38,PP&E,- -,1833000,12666000,20979000,32086000,48744000,62878000,117200000,211100000,273100000,296000000,606800000,581300000
39,Goodwill,- -,- -,- -,- -,- -,155033000,163522000,163500000,238800000,522800000,1352300000,1812900000,2710100000
40,Intangible Assets,- -,- -,- -,- -,- -,47955000,52656000,44000000,53700000,140800000,280600000,358200000,498600000
41,Intangible Assets,- -,- -,- -,- -,- -,202988000,216178000,207500000,292500000,663600000,1632900000,2171100000,3208700000
42,Investments,- -,- -,- -,- -,17314000,201880000,538841000,652800000,789300000,547500000,575400000,554400000,888300000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,626000,1666000,5168000,6507000,66528000,73251000,64600000,169100000,206800000,423100000,603900000,916000000
45,Total Non-Current Assets,- -,2459000,14332000,26147000,55907000,520140000,891148000,1042100000,1462000000,1691000000,2927400000,3936200000,5594300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,38119000,91172000,407804000,585606000,1478466000,1965178000,2761200000,3438300000,5823000000,6592200000,9065400000,10241600000
48,Accounts Payable,- -,2701000,5435000,9214000,15544000,14526000,13204000,30200000,35500000,49400000,73300000,63600000,56900000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,487084000,- -,- -,550400000,- -,- -,1557900000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,16537000,45253000,86296000,153945000,259918000,423853000,703900000,968400000,1268900000,1582100000,2049100000,2741900000
