,https://roic.ai/company/TSE,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,5184608000,3450109000,4967018000,6192858000,5451909000,5307414000,5127961000,3971902000,3716640000,4448100000,4622800000,3775800000,3035000000,4827500000
2,COGS,4928375000,3148815000,4557587000,5797277000,5115188000,4949404000,4830640000,3502800000,3129014000,3794100000,4094000000,3446900000,2719000000,4128600000
3,Gross Profit,256233000,301294000,409431000,395581000,336721000,358010000,297321000,469102000,587626000,654000000,528800000,328900000,316000000,698900000
4,Gross Profit Ratio,0.0494,0.0873,0.0824,0.0639,0.0618,0.0675,0.0580,0.1181,0.1581,0.1470,0.1144,0.0871,0.1041,0.1448
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,308644000,182069000,216858000,232586000,207964000,241543000,239000000,258500000,300000000,252000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,308644000,182069000,216858000,232586000,207964000,241543000,239000000,258500000,300000000,252000000,323400000
9,Other Expenses,175627000,148105000,189315000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,175627000,148105000,189315000,308644000,182069000,216858000,232586000,207964000,241543000,239000000,258500000,300000000,252000000,323400000
11,COGS and Expenses,5104002000,3296920000,4746902000,6105921000,5297257000,5166262000,5063226000,3710764000,3370557000,4033100000,4352500000,3746900000,2971000000,4452000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,111416000,109971000,132038000,124923000,93197000,74968000,70100000,46400000,39300000,43600000,79400000
14,Depreciation and Amortization,84911000,99121000,109492000,101611000,85604000,95196000,103706000,96752000,96459000,110600000,130200000,136000000,134300000,- -
15,EBITDA,88544000,252887000,237129000,176850000,243417000,226865000,181016000,393805000,576736000,591800000,540900000,279900000,221900000,590300000
16,EBITDA ratio,0.0171,0.0733,0.0477,0.0286,0.0446,0.0427,0.0353,0.0991,0.1552,0.1330,0.1170,0.0741,0.0731,0.1223
17,Operating Income,3865000,153189000,180735000,110811000,181792000,180290000,112484000,401316000,490816000,538700000,414400000,147900000,91100000,461400000
18,Operating Income ratio,0.0007,0.0444,0.0364,0.0179,0.0333,0.0340,0.0219,0.1010,0.1321,0.1211,0.0896,0.0392,0.0300,0.0956
19,Total Other Income Expenses (Gains),-232000,577000,-53098000,-146988000,-133950000,-180659000,-160097000,-197460000,-85507000,-127600000,-50100000,-43300000,-46100000,-110900000
20,Income Before Tax,3633000,153766000,127637000,-36177000,47842000,-369000,-47613000,203856000,405309000,411100000,364300000,104600000,45000000,350500000
21,Income Before Tax Ratio,0.0007,0.0446,0.0257,-0.0058,0.0088,-0.0001,-0.0093,0.0513,0.1091,0.0924,0.0788,0.0277,0.0148,0.0726
22,Income Tax expense (Gain),131000000,90000000,70874000,39728000,17560000,21849000,19719000,70209000,86997000,82800000,71800000,12600000,37000000,70900000
23,Net Income,-127367000,63766000,56763000,-75905000,30282000,-22218000,-67332000,133647000,318312000,328300000,292500000,92000000,7000000,440000000
24,Net Income ratio,-0.0246,0.0185,0.0114,-0.0123,0.0056,-0.0042,-0.0131,0.0336,0.0856,0.0738,0.0633,0.0244,0.0023,0.0911
25,EPS,-2.69,1.35,1.20,-1.61,0.64,-0.47,-1.55,2.74,6.84,7.49,6.83,2.28,0.20,11.49
26,EPS Diluted,-2.69,1.35,1.20,-1.61,0.64,-0.47,-1.55,2.73,6.70,7.30,6.70,2.26,0.20,11.40
27,Weighted Average Shares Outstanding,47269567,47269567,47269567,47269567,47269567,47269567,43476000,48774000,46510000,43800000,42800000,40300000,38300000,38300000
28,Weighted Average Shares Outstanding Diluted,47269567,47269567,47269567,47269567,47269567,47269567,43476000,48970000,47478000,45000000,43700000,40700000,38600000,38600000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1519061/000119312515085094/d824313d10k.htm,https://www.sec.gov/Archives/edgar/data/1519061/000155837016004029/0001558370-16-004029-index.html,https://www.sec.gov/Archives/edgar/data/1519061/000155837017001195/0001558370-17-001195-index.html,https://www.sec.gov/Archives/edgar/data/1519061/000155837018001379/0001558370-18-001379-index.html,https://www.sec.gov/Archives/edgar/data/1519061/000155837019001261/0001558370-19-001261-index.html,https://www.sec.gov/Archives/edgar/data/1519061/000155837020001766/0001558370-20-001766-index.html,https://www.sec.gov/Archives/edgar/data/1519061/000155837021001355/0001558370-21-001355-index.htm,https://www.sec.gov/Archives/edgar/data/1519061/000155837022001688/0001558370-22-001688-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,148138000,245313000,236357000,196503000,220786000,431261000,465114000,432800000,452300000,456200000,588000000,573000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,240000000,- -
33,Cash and Short-Term Investments,- -,- -,148138000,245313000,236357000,196503000,220786000,431261000,465114000,432800000,452300000,456200000,828000000,573000000
34,Net Receivables,- -,465195000,855165000,775137000,695364000,717482000,601066000,494556000,564428000,685500000,648100000,570800000,529000000,740200000
35,Inventory,- -,367354000,550337000,488287000,582740000,530191000,473861000,353097000,385345000,510400000,510400000,438200000,384000000,621000000
36,Other Current Assets,- -,4095000,3777000,17448000,33216000,32570000,26950000,10120000,17999000,17500000,20500000,25900000,-224000000,44300000
37,Total Current Assets,- -,836644000,1557417000,1526185000,1547677000,1476746000,1322663000,1289034000,1432886000,1646200000,1631300000,1491100000,1517000000,1978500000
38,PP&E,- -,462024000,587669000,592360000,636761000,606427000,556697000,518751000,513757000,627000000,592100000,697200000,601000000,2338200000
39,Goodwill,- -,115391000,40362000,26261000,36103000,37273000,34574000,31064000,29485000,72500000,69000000,67700000,74000000,- -
40,Intangible Assets,- -,15809000,198793000,184228000,176153000,171514000,165358000,158218000,177345000,207500000,191100000,191500000,182000000,- -
41,Intangible Assets,- -,131200000,239155000,210489000,212256000,208787000,199932000,189282000,206830000,280000000,260100000,259200000,256000000,- -
42,Investments,- -,180589000,128834000,134135000,140304000,155887000,167658000,182836000,191418000,152500000,179100000,188100000,240100000,247800000
43,Tax Assets,- -,66278000,87097000,51076000,67204000,42938000,46812000,51395000,40187000,35500000,26700000,67500000,- -,- -
44,Other Non-Current Assets,- -,14577000,76276000,62316000,61494000,83996000,62354000,53274000,24412000,30800000,37500000,55700000,-240100000,147700000
