,https://roic.ai/company/ALR,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,229235000,522511000,576215000,628005000,757527000,827337000,972924000,1104200000,1192563000,1240728000,1281764000,1350878000,1296787000,1328075000,1365410000,1378108000,1396106000,1390394000,1415144000,1163742000,934593000
2,COGS,72967000,182542000,151013000,159892000,183891000,263896000,763102000,863391000,934929000,954292000,449948000,1041716000,1001988000,1045088000,1073298000,1080343000,1104371000,1145347000,1185270000,1047952000,851460000
3,Gross Profit,156268000,339969000,425202000,468113000,573636000,563441000,209822000,240809000,257634000,286436000,831816000,309162000,294799000,282987000,292112000,297765000,291735000,245047000,229874000,115790000,83133000
4,Gross Profit Ratio,0.6817,0.6506,0.7379,0.7454,0.7572,0.6810,0.2157,0.2181,0.2160,0.2309,0.6490,0.2289,0.2273,0.2131,0.2139,0.2161,0.2090,0.1762,0.1624,0.0995,0.0890
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,207536000,231459000,243866000,789341000,263240000,257329000,269744000,269832000,275183000,281743000,287339000,229370000,92286000,85718000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",154510000,345161000,428017000,461123000,643236000,538059000,172563000,207536000,231459000,243866000,789341000,263240000,257329000,269744000,269832000,275183000,281743000,287339000,229370000,92286000,85718000
9,Other Expenses,1274000,1885000,3588000,3666000,7114000,139863000,13595000,8789000,16379000,16802000,21127000,25064000,27022000,31834000,33815000,38052000,38192000,35939000,16640000,7562000,4078000
10,Operating Expenses,155784000,347046000,431605000,464789000,650350000,677922000,186158000,216325000,247838000,260668000,810468000,288304000,284351000,301578000,303647000,313235000,319935000,323278000,246010000,99848000,89796000
11,COGS and Expenses,228751000,529588000,582618000,624681000,834241000,941818000,949260000,1079716000,1182767000,1214960000,1260416000,1330020000,1286339000,1346666000,1376945000,1393578000,1424306000,1468625000,1431280000,1147800000,941256000
12,Interest Income ,43000,297000,229000,1666000,1543000,6806000,6152000,5915000,2993000,1820000,1295000,881000,781000,867000,982000,984000,765000,818000,1364000,757000,358000
13,Interest Expense (Gain),- -,198000,1164000,880000,3743000,4365000,6802000,6337000,4365000,3045000,3917000,6268000,5227000,5131000,4927000,4912000,4308000,3018000,2615000,1631000,1683000
14,Depreciation and Amortization,1321000,1885000,3588000,3666000,7114000,9950000,13595000,14719000,16379000,16802000,21127000,25064000,28109000,33470000,33672000,38052000,38192000,35939000,16640000,10997000,11873000
15,EBITDA,1848000,-11091000,-3187000,7957000,-73302000,-102350000,45133000,17952000,61270000,44787000,38691000,61919000,32912000,9580000,-3822000,23502000,17062000,-34879000,-684000,5702000,-16135000
