,https://roic.ai/company/CVE,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,20152303000,10617594000,12973000000,15696000000,17229000000,18993000000,20107000000,13207000000,12282000000,17314000000,21389000000,21353000000,13591000000,48811000000
2,COGS,13305461000,6705628400,8885000000,11901000000,12993000000,14642000000,15843000000,11674000000,10525000000,13890000000,17362000000,17032000000,13391000000,39704000000
3,Gross Profit,6846842000,3911965600,4088000000,3795000000,4236000000,4351000000,4264000000,1533000000,1757000000,3424000000,4027000000,4321000000,200000000,9107000000
4,Gross Profit Ratio,0.3398,0.3684,0.3151,0.2418,0.2459,0.2291,0.2121,0.1161,0.1431,0.1978,0.1883,0.2024,0.0147,0.1866
5,Research and Development Exp.,- -,- -,- -,- -,- -,24000000,15000000,27000000,36000000,36000000,25000000,20000000,- -,- -
6,General and Administrative Exp.,203239000,196854800,326000000,- -,352000000,349000000,358000000,335000000,326000000,308000000,391000000,336000000,274000000,849000000
7,Selling and Marketing Exp.,1171971000,703651200,1065000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1375210000,900506000,1391000000,- -,352000000,349000000,358000000,335000000,326000000,308000000,391000000,336000000,274000000,849000000
9,Other Expenses,1442145000,1788446800,1255000000,1342000000,1787000000,1947000000,2198000000,1995000000,1697000000,2838000000,4937000000,2166000000,2039000000,4734000000
10,Operating Expenses,2817355000,2688952800,2646000000,1342000000,2139000000,2320000000,2571000000,2357000000,2059000000,3182000000,5353000000,2522000000,2313000000,5583000000
11,COGS and Expenses,16122816000,9394581200,11531000000,13243000000,15132000000,16962000000,18414000000,14031000000,12584000000,17072000000,22715000000,19554000000,15704000000,45287000000
12,Interest Income ,- -,- -,- -,124000000,109000000,96000000,33000000,28000000,52000000,62000000,19000000,12000000,9000000,23000000
13,Interest Expense (Gain),265306000,228267800,279000000,447000000,434000000,499000000,427000000,454000000,471000000,619000000,595000000,547000000,511000000,1048000000
14,Depreciation and Amortization,1604006000,1406255300,1310000000,1295000000,1585000000,1833000000,1946000000,2114000000,1498000000,2030000000,2131000000,2249000000,3464000000,5886000000
15,EBITDA,5633493000,2629268100,2752000000,3949000000,3795000000,3426000000,3568000000,3105000000,1042000000,5963000000,-953000000,4193000000,745000000,8249000000
16,EBITDA ratio,0.2795,0.2476,0.2121,0.2516,0.2203,0.1804,0.1775,0.2351,0.0848,0.3444,-0.0446,0.1964,0.0548,0.1690
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-265306000,-228267800,-279000000,-246000000,-321000000,-937000000,-498000000,1361000000,-625000000,1974000000,-2600000000,-402000000,-1117000000,-2209000000
20,Income Before Tax,3764181000,994745000,1163000000,2207000000,1776000000,1094000000,1195000000,537000000,-927000000,2216000000,-3926000000,1397000000,-3230000000,1315000000
21,Income Before Tax Ratio,0.1868,0.0937,0.0896,0.1406,0.1031,0.0576,0.0594,0.0407,-0.0755,0.1280,-0.1836,0.0654,-0.2377,0.0269
