,https://roic.ai/company/NXE,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,12243,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,989298,3516599,3370540,4899506,13849945,17045412,24413735,23202456,21335377,49049000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,989298,3516599,3370540,4899506,13849945,17045412,24413735,23202456,21335377,49049000
9,Other Expenses,- -,557,12243,135002,246130,626964,758063,1533634,2383177,2281419,2126000
10,Operating Expenses,- -,989855,3528842,3505542,5145636,14476909,17803475,25947369,25585633,23616796,51175000
11,COGS and Expenses,- -,989855,3528842,3505542,5145636,14476909,17803475,25947369,25585633,23616796,51175000
12,Interest Income ,- -,23564,29566,124758,193344,466505,1305784,2486565,1815590,410498,910000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,3487001,8693847,11954146,12029896,13625095,3994000
14,Depreciation and Amortization,- -,557,12243,135002,246130,626964,758063,1533634,2383177,2281419,2126000
15,EBITDA,- -,-991364,-3461061,1782340,-4992337,-13909867,-46073759,10651091,465270,-97418929,-123233000
16,EBITDA ratio,- -,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,Infinity,Infinity,-Infinity,-Infinity
17,Operating Income,- -,-236666,3528842,-3505542,-5145636,-14476909,-17803475,1182308,-15615773,-113787802,-51175000
18,Operating Income ratio,- -,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,-727559,-6902656,-4867758,498319,-2764728,-39060447,- -,- -,- -,-74651000
20,Income Before Tax,- -,-964225,-3373814,-8373300,-4647317,-17241637,-56863922,1182308,-15615773,-113787802,-125826000
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,290028,-33312,-309298,932283,702327,1122000
23,Net Income,- -,-964225,-3373814,-8373300,-4647317,-16893468,-56038329,2269689,-15531911,-109828218,-119087000
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity
25,EPS,- -,-0.06,-0.03,-0.06,-0.02,-0.06,-0.17,0.01,-0.04,-0.30,-0.26
26,EPS Diluted,- -,-0.06,-0.03,-0.06,-0.02,-0.06,-0.17,-0.06,-0.06,-0.30,-0.26
27,Weighted Average Shares Outstanding,- -,4274089,96884088,140188133,232516553,300298973,321921938,345868725,354593084,370530748,459287424
28,Weighted Average Shares Outstanding Diluted,- -,4274089,96884088,140188133,232516553,300298973,321921938,413384053,402676421,370530748,459287424
29,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1698535/000106299318001072/0001062993-18-001072-index.html,https://www.sec.gov/Archives/edgar/data/1698535/000119312519062716/0001193125-19-062716-index.html,https://www.sec.gov/Archives/edgar/data/1698535/000119312520070554/0001193125-20-070554-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,2729746,7562633,13840457,34303982,31090313,164943850,125059189,52117581,74021706,201804000
32,Short-Term Investments,- -,- -,- -,- -,- -,47455100,- -,- -,- -,- -,9315000
33,Cash and Short-Term Investments,- -,2729746,7562633,13840457,34303982,78545413,164943850,125059189,52117581,74021706,211119000
34,Net Receivables,- -,129551,221311,91127,306300,807447,548069,386939,610121,304606,1178000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,26416,128447,158447,203698,72575,158875,266353,734310,679727,1028000
37,Total Current Assets,- -,2885713,7912391,14090031,34813980,79425435,165650794,125712481,53462012,75006039,213325000
38,PP&E,- -,14534443,31208303,42914205,66324044,113048098,157395629,200640373,259968067,282300663,333162000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,17400,22852,32927,514711,95835,85369,76000
45,Total Non-Current Assets,- -,14534443,31208303,42914205,66341444,113070950,157428556,201155084,260063902,282386032,333238000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,17420156,39120694,57004236,101155424,192496385,323079350,326867565,313525914,357392071,546563000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,1354664,- -,- -,- -,- -,558960,777586,706000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,581126,251326,379305,999787,2428124,3014430,6517313,4225835,6544448,7499000
53,Total Current Liabilities,- -,581126,251326,1733969,999787,2428124,3014430,6517313,4784795,7322034,8205000
54,Long-Term Debt,- -,- -,- -,- -,- -,70811801,171369966,138190884,121667199,230106513,74474000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,136588,280740,199366,725066,711587,2536000
57,Other Non-Current Liabilities,- -,1354664,1460144,212144,- -,113606,73509,33412,- -,- -,- -
58,Total Non-Current Liabilities,- -,1354664,1460144,212144,- -,71061995,171724215,138423662,122392265,230818100,77010000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,2644967,4031015,3169000
61,Total Liabilities,- -,1935790,1711470,1946113,999787,73490119,174738645,144940975,127177060,238140134,85215000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,16455476,39599737,62850418,110024398,125735515,196311184,208711135,218787664,255953457,695856000
64,Retained Earnings,- -,-1004510,-4378324,-12751624,-17398941,-32743616,-88038390,-85143089,-103400960,-212301767,-332980000
65,Other Comprehensive Income/Loss,- -,33400,2187811,4959329,7530180,17005665,28050059,41726724,49311975,50599606,70732000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,15484366,37409224,55058123,100155637,109997564,136322853,165294770,164698679,94251296,433608000
68,Total Liabilities And Stockholders Equity,- -,17420156,39120694,57004236,101155424,183487683,311061498,310235745,291875739,332391430,518823000
69,Minority Interest,- -,- -,- -,- -,- -,9008702,12017852,16631820,21650175,25000641,27740000
70,Total Liabilities & Equity,- -,17420156,39120694,57004236,101155424,192496385,323079350,326867565,313525914,357392071,546563000
71,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1698535/000106299318001072/0001062993-18-001072-index.html,https://www.sec.gov/Archives/edgar/data/1698535/000119312519062716/0001193125-19-062716-index.html,https://www.sec.gov/Archives/edgar/data/1698535/000119312520070554/0001193125-20-070554-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,-964225,-3373814,-8373300,-4647317,-16893468,-56038329,2269689,-15531911,-109828218,-119087000
74,Depreciation and Amortization,- -,557,12243,135002,246130,626964,758063,1533634,2383177,2281419,2126000
75,Deferred Income Tax,- -,- -,- -,- -,- -,290028,-33312,-309298,932283,702327,1122000
76,Stock Based Compensation,- -,- -,1202318,1315822,2112952,8100213,9183667,13736299,10867167,9748199,31389000
77,Change in Working Capital,- -,425159,-560589,-134865,-98321,265919,-253296,-340538,-1711094,204604,-51000
78,Accounts Receivable,- -,- -,- -,- -,-215173,-501147,259378,161130,28355,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,-5452,-10075,-481784,418876,- -,- -
82,Other Non-Cash Items,- -,- -,-170578,5028422,-311266,-414608,35238710,-25341854,-9745508,86274723,67713000
83,Cash Provided by Operating Activities,- -,-538509,-2890420,-2028919,-2697822,-8024952,-11144497,-8452068,-12805886,-10616946,-16788000
84,CAPEX,- -,-1531629,-5557131,-12918537,-22639334,-44032415,-37820571,-37767642,-629160,-18242773,-46914000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-47455100,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,47455100,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,930802,- -,208600,193799,- -,- -,- -,- -,-45532000
89,Cash Used for Investing Activites,- -,-1531629,-4626329,-12918537,-22430734,-91293716,9634529,-37767642,-57679454,-18242773,-46713000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-784399,-955431,-1003000
91,Common Stock Issued,- -,- -,12349636,23040250,48301000,2292480,62484188,- -,- -,24585307,164329000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,4799884,- -,-1814970,-2708919,92847435,72620918,2429425,-623651,27596327,28025000
95,Cash Used/Provided by Financing Activities,- -,4799884,12349636,21225280,45592081,95139915,135105106,2429425,-1408050,51226203,191351000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,965084,258399,3905624,-1048218,-462359,-68000
97,Net Change In Cash,- -,4799884,4832887,6277824,20463525,-3213669,133853537,-39884661,-72941608,21904125,127782000
98,Cash at the End of Period,- -,2729746,7562633,13840457,34303982,31090313,164943850,125059189,52117581,74021706,201804000
99,Cash at the Beginning of Period,- -,- -,2729746,7562633,13840457,34303982,31090313,164943850,125059189,52117581,74022000
100,Free Cash Flow,- -,-2070138,-8447551,-14947456,-25337156,-52057367,-48965068,-46219710,-13435046,-28859719,-63702000
101,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1698535/000106299318001072/0001062993-18-001072-index.html,https://www.sec.gov/Archives/edgar/data/1698535/000119312519062716/0001193125-19-062716-index.html,https://www.sec.gov/Archives/edgar/data/1698535/000119312520070554/0001193125-20-070554-index.html,- -,- -
102,Forex Rate,undefined,1.0067,0.9413,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851,0.7913
