,https://roic.ai/company/ZG,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,4300000,7100000,10600000,17491000,30467000,66053000,116850000,197545000,325893000,644677000,846589000,1076794000,1333554000,2742837000,3339817000,8147376000
2,COGS,1600000,3700000,4200000,4042000,4973000,10575000,14043000,18810000,29461000,61614000,71591000,85203000,153590000,1432021000,1756395000,6394177000
3,Gross Profit,2700000,3400000,6400000,13449000,25494000,55478000,102807000,178735000,296432000,583063000,774998000,991591000,1179964000,1310816000,1583422000,1753199000
4,Gross Profit Ratio,0.6279,0.4789,0.6038,0.7689,0.8368,0.8399,0.8798,0.9048,0.9096,0.9044,0.9154,0.9209,0.8848,0.4779,0.4741,0.2152
5,Research and Development Exp.,- -,- -,10100000,11260000,10651000,14143000,26614000,48498000,86406000,198565000,273066000,319985000,410818000,477347000,518072000,474396000
6,General and Administrative Exp.,16600000,25200000,18200000,5501000,6684000,14613000,21291000,38295000,65503000,170445000,313695000,210816000,262153000,366176000,357122000,448773000
7,Selling and Marketing Exp.,- -,- -,- -,9654000,14996000,25725000,49105000,108891000,167725000,307089000,380919000,448201000,552621000,714128000,672816000,1076235000
8,"Selling, General and Administrative Exp.",16600000,25200000,18200000,15155000,21680000,40338000,70396000,147186000,233228000,477534000,694614000,659017000,814774000,1080304000,1029938000,1525008000
9,Other Expenses,-0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,16600000,25200000,28300000,26415000,32331000,54481000,97010000,195684000,319634000,676099000,967680000,979002000,1225592000,1557651000,1548010000,1999404000
11,COGS and Expenses,18200000,28900000,32500000,30457000,37304000,65056000,111053000,214494000,349095000,737713000,1039271000,1064205000,1379182000,2989672000,3304405000,8393581000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),1400000,1500000,700000,- -,- -,- -,- -,- -,- -,5489000,7408000,27517000,41255000,101792000,155227000,191910000
14,Depreciation and Amortization,- -,- -,8100000,6407000,5262000,7190000,12773000,23254000,35624000,75386000,100590000,110155000,99391000,110609000,134369000,152485000
15,EBITDA,-11200000,-18800000,-12400000,-6448000,-1512000,8292000,18712000,6690000,-7986000,-72644000,-112310000,-46334000,-10314000,-97218000,119958000,-182119000
16,EBITDA ratio,-2.6047,-2.6479,-1.1698,-0.3686,-0.0496,0.1255,0.1601,0.0339,-0.0245,-0.1127,-0.1327,-0.0430,-0.0077,-0.0354,0.0359,-0.0224
17,Operating Income,-14000000,-21800000,-21900000,-12966000,-6837000,997000,5797000,-16949000,-44695000,-149531000,-192854000,-161874000,-128975000,-247485000,-41388000,-327673000
18,Operating Income ratio,-3.2558,-3.0704,-2.0660,-0.7413,-0.2244,0.0151,0.0496,-0.0858,-0.1371,-0.2319,-0.2278,-0.1503,-0.0967,-0.0902,-0.0124,-0.0402
19,Total Other Income Expenses (Gains),1400000,1500000,700000,111000,63000,105000,142000,385000,1085000,-3988000,-27454000,-22132000,-21985000,-62134000,-128250000,-198841000
20,Income Before Tax,-12600000,-20300000,-21200000,- -,- -,- -,5939000,-16564000,-43610000,-153519000,-220308000,-184006000,-150960000,-309619000,-169638000,-526514000
21,Income Before Tax Ratio,-2.9302,-2.8592,-2.0000,- -,- -,- -,0.0508,-0.0838,-0.1338,-0.2381,-0.2602,-0.1709,-0.1132,-0.1129,-0.0508,-0.0646
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,-4111000,- -,-4645000,130000,-89586000,-31102000,-4258000,-7523000,1263000
23,Net Income,-12600000,-20300000,-21200000,-12855000,-6774000,1102000,5939000,-12453000,-43610000,-148874000,-220438000,-94420000,-119858000,-305361000,-162115000,-527777000
24,Net Income ratio,-2.9302,-2.8592,-2.0000,-0.7349,-0.2223,0.0167,0.0508,-0.0630,-0.1338,-0.2309,-0.2604,-0.0877,-0.0899,-0.1113,-0.0485,-0.0648
