,https://roic.ai/company/SCIA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2678362,3205163,3663488,2958544,2268488,2172864,3457182,8045792,10832682,9619895,8010235,8916122,9152704,8757149,7976429,9255103,8048635,5465599,6801365,11361575,12950387,10896099,- -
2,COGS,1931685,2170136,2463490,2149848,1832817,1946492,2715872,6257548,8774859,7408418,6140356,6642138,7619012,7099987,6440137,7405985,5950101,4381198,5223814,8456799,10741824,8697809,- -
3,Gross Profit,746677,1035027,1199998,808696,435671,226372,741310,1788244,2057823,2211477,1869879,2273984,1533692,1657162,1536292,1849118,2098534,1084401,1577551,2904776,2208563,2198290,- -
4,Gross Profit Ratio,0.2788,0.3229,0.3276,0.2733,0.1921,0.1042,0.2144,0.2223,0.1900,0.2299,0.2334,0.2550,0.1676,0.1892,0.1926,0.1998,0.2607,0.1984,0.2319,0.2557,0.1705,0.2018,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,212507,368971,454424,314386,442214,619940,309816,324035,307083,438667,319476,330805,351999,366492,337823,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,1342460,966979,1237672,1128644,1042865,1109197,1052181,1191982,1298283,1080380,1021155,1256778,1261958,1148615,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,587202,647859,623231,512562,502628,448166,500866,453485,345505,176470,361132,249255,195505,- -
8,"Selling, General and Administrative Exp.",590826,870622,1132192,1078735,993449,1120235,1008169,1283115,1342460,1554181,1885531,1751875,1555427,1611825,1500347,1692848,1751768,1425885,1197625,1617910,1511213,1344120,1515670
9,Other Expenses,269498,263282,- -,-1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,860324,1133904,1132192,1078734,993449,1120235,1008169,1495622,1711431,2008605,2199917,2194089,2175367,1921641,1824382,1999931,2190435,1745361,1528430,1969909,1877705,1681943,- -
11,COGS and Expenses,2792009,3304040,3595682,3228582,2826266,3066727,3724041,7753170,10486290,9417023,8340273,8836227,9794379,9021628,8264519,9405916,8140536,6126559,6752244,10426708,12619529,10379752,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,24271,6394,5273,2736,1123,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,102763,185099,85643,84198,86693,- -,- -,- -,45051,41109,9356,22468,32087,- -
14,Depreciation and Amortization,269498,263282,220659,231859,215119,202371,202503,219752,292185,374213,446888,491091,576810,587649,573358,514798,447626,455330,470076,452943,502673,532843,429066
15,EBITDA,119365,109588,280540,-175183,-505757,-897451,-130717,522020,624846,601526,75768,584680,-63699,321022,285712,294343,298329,-205630,519197,1387810,833531,1049190,429066
16,EBITDA ratio,0.0446,0.0342,0.0766,-0.0592,-0.2229,-0.4130,-0.0378,0.0649,0.0577,0.0625,0.0095,0.0656,-0.0070,0.0367,0.0358,0.0318,0.0371,-0.0376,0.0763,0.1221,0.0644,0.0963,Infinity
17,Operating Income,-113647,-98877,67806,-460919,-690793,-893863,-266859,292622,346392,202872,-330038,79895,-641675,-264479,-288090,-150813,-91901,-660960,49121,934867,330858,516347,1777906
18,Operating Income ratio,-0.0424,-0.0308,0.0185,-0.1558,-0.3045,-0.4114,-0.0772,0.0364,0.0320,0.0211,-0.0412,0.0090,-0.0701,-0.0302,-0.0361,-0.0163,-0.0114,-0.1209,0.0072,0.0823,0.0255,0.0474,Infinity
19,Total Other Income Expenses (Gains),19700,3084,-7925,53877,-14197,-205959,-66361,9646,-13731,-78322,-226181,-71949,-83032,-88841,444,-69642,-57396,-45051,-41109,-9356,-22468,-32087,- -
20,Income Before Tax,- -,- -,59881,-407042,-704990,-1099822,-333220,302268,332661,124550,-556219,7946,-724707,-353320,-287646,-220455,-149297,-706011,8012,925511,308390,484260,- -
21,Income Before Tax Ratio,- -,- -,0.0163,-0.1376,-0.3108,-0.5062,-0.0964,0.0376,0.0307,0.0129,-0.0694,0.0009,-0.0792,-0.0403,-0.0361,-0.0238,-0.0185,-0.1292,0.0012,0.0815,0.0238,0.0444,- -
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-59000,-9133,165899,-27348,- -,-531,- -,43,1921,17642,3039,-1017503,- -
23,Net Income,-150133,-153694,59881,-407042,-720876,-1099822,-333220,302268,332661,124550,-497219,17079,-890606,-325972,-287646,-219924,-149297,-706054,6091,907869,305351,1501763,- -
24,Net Income ratio,-0.0561,-0.0480,0.0163,-0.1376,-0.3178,-0.5062,-0.0964,0.0376,0.0307,0.0129,-0.0621,0.0019,-0.0973,-0.0372,-0.0361,-0.0238,-0.0185,-0.1292,0.0009,0.0799,0.0236,0.1378,- -
25,EPS,-0.19,-0.15,0.03,-0.24,-0.41,-0.51,-0.13,0.08,0.10,0.03,-0.15,0.00,-0.24,-0.09,-0.08,-0.06,-0.04,-0.18,-0.00,0.21,0.06,0.33,- -
26,EPS Diluted,-0.19,-0.15,0.03,-0.24,-0.41,-0.51,-0.13,0.07,0.08,0.02,-0.15,0.00,-0.24,-0.09,-0.08,-0.06,-0.04,-0.18,-0.00,0.21,0.06,0.33,- -
27,Weighted Average Shares Outstanding,1226138,1471456,1821175,1823256,1823256,2212884,2665078,3427236,3461374,3530486,3562960,3750376,3781717,3814996,3839117,3873986,3980670,4052128,4138516,4223865,4328210,4423125,4500256
28,Weighted Average Shares Outstanding Diluted,1226138,1471456,1822774,1823256,1823256,2212884,2665078,3982905,4217936,4035065,3562960,3750376,3781717,3814996,3839117,3873986,3980670,4052128,4138516,4257131,4362327,4434000,4531523
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/830616/000111650208000393/0001116502-08-000393-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/830616/000114420412021507/0001144204-12-021507-index.htm,https://www.sec.gov/Archives/edgar/data/830616/000114420413016138/0001144204-13-016138-index.htm,https://www.sec.gov/Archives/edgar/data/830616/000114420414013313/0001144204-14-013313-index.htm,https://www.sec.gov/Archives/edgar/data/830616/000114420415007897/0001144204-15-007897-index.htm,https://www.sec.gov/Archives/edgar/data/830616/000114420416079960/0001144204-16-079960-index.htm,https://www.sec.gov/Archives/edgar/data/830616/000114420417011269/0001144204-17-011269-index.htm,https://www.sec.gov/Archives/edgar/data/830616/000114420418005146/0001144204-18-005146-index.htm,https://www.sec.gov/Archives/edgar/data/830616/000114420419004927/0001144204-19-004927-index.htm,https://www.sec.gov/Archives/edgar/data/830616/000110465920011013/0001104659-20-011013-index.htm,https://www.sec.gov/Archives/edgar/data/830616/000110465921009058/0001104659-21-009058-index.htm,https://www.sec.gov/Archives/edgar/data/830616/000141057822000072/0001410578-22-000072-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,48908,266940,47095,1161369,648494,1182086,1399050,1107216,1511752,798069,630819,622727,1011956,997170,730352,920802,1802839,1828397,2917551,4140942
