,https://roic.ai/company/PHCG,2017,2018,2019,2020
0,INCOME STATEMENT, , , , 
1,Revenue,- -,- -,38550,735690
2,COGS,- -,- -,38153,325191
3,Gross Profit,- -,- -,397,410499
4,Gross Profit Ratio,- -,- -,0.0103,0.5580
5,Research and Development Exp.,- -,- -,- -,321332
6,General and Administrative Exp.,205145,46169,884753,4217139
7,Selling and Marketing Exp.,- -,- -,186876,120637
8,"Selling, General and Administrative Exp.",205145,46169,1071629,4337776
9,Other Expenses,- -,- -,12634,167003
10,Operating Expenses,- -,- -,1084263,4826111
11,COGS and Expenses,205145,46169,1122416,5151302
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,26195,1486924
14,Depreciation and Amortization,- -,- -,12634,232542
15,EBITDA,-205145,-46169,-1096038,-4627393
16,EBITDA ratio,-Infinity,-Infinity,-28.4316,-6.2899
17,Operating Income,-205145,-46169,-1083866,-4415612
18,Operating Income ratio,-Infinity,-Infinity,-28.1158,-6.0020
19,Total Other Income Expenses (Gains),- -,- -,-51001,-1931247
20,Income Before Tax,-205145,-46169,-1134867,-6346859
21,Income Before Tax Ratio,-Infinity,-Infinity,-29.4388,-8.6271
22,Income Tax expense (Gain),- -,- -,- -,- -
23,Net Income,-205145,-46169,-1134867,-6346859
24,Net Income ratio,-Infinity,-Infinity,-29.4388,-8.6271
25,EPS,-0.01,-0.01,-0.03,-0.13
26,EPS Diluted,-0.01,-0.01,-0.03,-0.13
27,Weighted Average Shares Outstanding,17906016,17906016,33096662,49216927
28,Weighted Average Shares Outstanding Diluted,17906016,17906016,33096662,49216927
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1351573/000149315220007173/0001493152-20-007173-index.htm,https://www.sec.gov/Archives/edgar/data/1351573/000149315221009177/0001493152-21-009177-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,1127,22501,1665247,856844
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,1127,22501,1665247,856844
34,Net Receivables,11,22802,9847,91371
35,Inventory,- -,63940,70091,1047690
36,Other Current Assets,- -,- -,93333,349113
37,Total Current Assets,1138,109243,1838518,2345018
38,PP&E,- -,- -,- -,1667166
39,Goodwill,- -,- -,141453,1550225
40,Intangible Assets,- -,- -,- -,2399524
41,Intangible Assets,- -,- -,141453,3949749
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,- -,30550,2826042,3078050
45,Total Non-Current Assets,- -,30550,2967495,8694965
46,Other Assets,- -,- -,- -,- -
47,Total Assets,1138,139793,4806013,11039983
48,Accounts Payable,89258,104330,115126,91741
49,Short-Term Debt,- -,117000,958305,- -
50,Tax Payable,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -
52,Other Current Liabilities,117000,56082,216458,4522392
