,https://roic.ai/company/LIQT,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,- -,15730000,21190000,16920000,12830000,14561190,15812590,13906390,11343180,12232090,32637480,22526201,18273442
2,COGS,- -,- -,12050000,16160000,14220000,11510000,12463950,12598160,12473970,11136430,11165940,25475170,20379519,16697296
3,Gross Profit,- -,- -,3680000,5030000,2700000,1320000,2097240,3214430,1432420,206750,1066150,7162310,2146682,1576146
4,Gross Profit Ratio,- -,- -,0.2339,0.2374,0.1596,0.1029,0.1440,0.2033,0.1030,0.0182,0.0872,0.2195,0.0953,0.0863
5,Research and Development Exp.,- -,- -,420000,500000,740000,500000,336070,707840,626150,536850,661010,749250,1278331,1862653
6,General and Administrative Exp.,- -,- -,- -,1943333,3421658,4381436,3592123,3184278,4433098,2332169,3187311,4378444,6205040,5836629
7,Selling and Marketing Exp.,- -,- -,- -,1484992000,2434541000,2650000000,3360566000,2721781000,2164780000,1944989000,1703327000,2426971000,2918418,4564188
8,"Selling, General and Administrative Exp.",- -,- -,- -,1486935333,2437962658,2654381436,3364158123,2724965278,2169213098,1947321169,1706514311,2431349444,9123458,10400817
9,Other Expenses,- -,29363,-395656,-1483504595,-2432104450,-2647350028,-3357205438,-2719059215,-2162615223,-1943044013,-1701623669,-2424544030,- -,- -
10,Operating Expenses,- -,29363,24344,3930738,6598208,7531408,7288755,6613903,7224025,4814006,5551652,7554664,10401789,12263470
11,COGS and Expenses,14966,29363000,15700000,20100000,20820000,19050000,19752700,19212070,27041200,15950430,16717600,33029830,30781308,28960766
12,Interest Income ,- -,- -,- -,100986,158632,6806,- -,98171,968,1515,28401,73635,139513,- -
13,Interest Expense (Gain),- -,- -,24,203682,148611,50945,53379,51232,38945,45888,71781,203603,120903,708176
14,Depreciation and Amortization,147,147,148,1379667,1515863,1689523,1630531,1444109,1378277,939500,648734,1343252,2827341,2740241
15,EBITDA,-14819,-29216000,140172,2863349,-2275526,-4699532,-3084710,-1412309,-11781728,-3792772,-3459445,1289225,-6860116,-7741579
16,EBITDA ratio,-Infinity,-Infinity,0.0089,0.1351,-0.1345,-0.3663,-0.2118,-0.0893,-0.8472,-0.3344,-0.2828,0.0395,-0.3045,-0.4237
17,Operating Income,-14966,-29363,-24344,1097073,-3894083,-6219703,-5191512,-3399479,-13134804,-4607255,-4485508,-392350,-8255107,-10687324
18,Operating Income ratio,-Infinity,-Infinity,-0.0015,0.0518,-0.2301,-0.4848,-0.3565,-0.2150,-0.9445,-0.4062,-0.3667,-0.0120,-0.3665,-0.5849
19,Total Other Income Expenses (Gains),- -,-29333637,-145656,262927,-45917,-240297,406462,513469,-64156,-170905,305548,134710,-2018398,-502672
20,Income Before Tax,- -,-29363000,-170000,1360000,-3940000,-6460000,-4785050,-2886010,-13198960,-4778160,-4179960,-257640,-10273505,-11189996
21,Income Before Tax Ratio,- -,-Infinity,-0.0108,0.0642,-0.2329,-0.5035,-0.3286,-0.1825,-0.9491,-0.4212,-0.3417,-0.0079,-0.4561,-0.6124
22,Income Tax expense (Gain),- -,- -,150000,360000,-1170000,-1610000,-1702550,-697790,3219680,-317810,-365430,-297250,- -,-63036
23,Net Income,-14966,-29363000,-10000,920000,-2770000,-4830000,-3066070,-2209860,-16418630,-4460350,-3814530,39620,-9808360,-11126960
24,Net Income ratio,-Infinity,-Infinity,-0.0006,0.0434,-0.1637,-0.3765,-0.2106,-0.1398,-1.1807,-0.3932,-0.3118,0.0012,-0.4354,-0.6089
25,EPS,-0.01,-3.23,-0.00,0.24,-0.48,-0.76,-0.36,-0.24,-1.80,-0.44,-0.24,0.00,-0.46,-0.53
26,EPS Diluted,-0.01,-3.23,-0.00,0.24,-0.48,-0.76,-0.36,-0.24,-1.80,-0.44,-0.24,0.00,-0.46,-0.53
27,Weighted Average Shares Outstanding,1028812,6823332,26508264,3541304,5911220,6247315,8099735,9871735,9208878,10398964,15960908,19652277,21209118,21209118
28,Weighted Average Shares Outstanding Diluted,1028812,6823332,26508264,4024243,5911220,6247315,8099735,9871735,9208878,10398964,15960908,19667752,21209118,21209118
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1307579/000107878210000516/0001078782-10-000516-index.htm,https://www.sec.gov/Archives/edgar/data/1307579/000107878211000769/0001078782-11-000769-index.htm,https://www.sec.gov/Archives/edgar/data/1307579/000143774912003008/0001437749-12-003008-index.htm,https://www.sec.gov/Archives/edgar/data/1307579/000143774913003532/0001437749-13-003532-index.htm,https://www.sec.gov/Archives/edgar/data/1307579/000143774914005254/0001437749-14-005254-index.htm,https://www.sec.gov/Archives/edgar/data/1307579/000143774915005998/0001437749-15-005998-index.htm,https://www.sec.gov/Archives/edgar/data/1307579/000143774916028290/0001437749-16-028290-index.htm,https://www.sec.gov/Archives/edgar/data/1307579/000143774917005629/0001437749-17-005629-index.htm,https://www.sec.gov/Archives/edgar/data/1307579/000143774918005356/0001437749-18-005356-index.htm,https://www.sec.gov/Archives/edgar/data/1307579/000143774919006256/0001437749-19-006256-index.htm,https://www.sec.gov/Archives/edgar/data/1307579/000143774920006576/0001437749-20-006576-index.htm,https://www.sec.gov/Archives/edgar/data/1307579/000143774921007884/0001437749-21-007884-index.htm,https://www.sec.gov/Archives/edgar/data/1307579/000143774922007742/0001437749-22-007742-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,9435,5600000,560000,1030000,3870000,4880000,5853750,1370590,1208650,2486200,3776110,7069760,13264449,17489380
32,Short-Term Investments,- -,- -,- -,6483,158141,6882,6085,21838,5282,6001,5714,- -,- -,- -
33,Cash and Short-Term Investments,9435,5600000,560000,1036483,4028141,4886882,5859835,1392428,1213932,2492201,3781824,7069760,13264449,17489380
34,Net Receivables,- -,- -,3550000,6830000,3230000,2570000,2336540,3697800,1417940,1761380,3031190,12248620,3129109,1957579
35,Inventory,- -,- -,1890000,3240000,4330000,4670000,6087520,7435990,5817570,5151970,4432060,5199240,5522038,5421027
36,Other Current Assets,- -,- -,110000,313517,241859,113118,378425,456782,56878,22149,128136,2969640,3739330,3198795
37,Total Current Assets,9435,5600000,6110000,11420000,11830000,12240000,14662320,12983000,8506320,9427700,11373210,27487260,25654926,28066781
38,PP&E,368,221000,6420000,6650000,6650000,5830000,4524390,3538690,2633560,1959210,1431650,9879570,10321511,15784800
39,Goodwill,- -,- -,- -,- -,- -,- -,8460512,7582750,- -,- -,- -,236130,260233,240259
40,Intangible Assets,- -,- -,80000,30000,30000,20000,16710,10390,5610,3350,750,488720,480060,334743
41,Intangible Assets,- -,- -,80000,30000,30000,20000,16710,7593140,5610,3350,750,724850,740293,575002
42,Investments,- -,- -,- -,6483,234088,6882,6085,21838,5282,6001,5714,- -,- -,- -
43,Tax Assets,- -,- -,480000,670000,- -,- -,- -,- -,- -,- -,- -,338760,- -,- -
44,Other Non-Current Assets,- -,-5600000,-430000,-526483,295912,2143118,12216035,3936882,261558,283679,347926,159280,- -,-27438672
45,Total Non-Current Assets,368,-5379000,6550000,6830000,7210000,8000000,16763220,15090550,2906010,2252240,1786040,11102460,11061804,-11078870
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,9803,221000,12660000,18250000,19040000,20240000,31425540,28073550,11412330,11679940,13159250,38589720,36716730,16987911
48,Accounts Payable,5896,11277000,1070000,3030000,2290000,1590000,2336940,3455090,2262690,1775230,2122480,4339070,2332151,1646662
49,Short-Term Debt,- -,- -,- -,5038959,203503,208419,170187,150157,60917,26186,13789,1034457,1421074,1220368
50,Tax Payable,- -,- -,- -,3710,1000,2000,570,570,580,580,- -,14692,570,- -
51,Deferred Revenue,- -,1325000,1325000,- -,265543,1212434,144476,117700,192597,933994,98781,1421376,- -,- -
52,Other Current Liabilities,1325,- -,685000,1471041,1000954,1539147,1440307,1617743,2492536,2032410,2384560,3537227,6061709,14000493
53,Total Current Liabilities,7221,12602000,3080000,9540000,3760000,4550000,4091910,5340690,5008740,4767820,4619610,10332130,9814934,16867523
54,Long-Term Debt,- -,- -,1330000,1300000,730000,550000,368610,165570,133840,- -,- -,172270,- -,8653655
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,668484,267332,104143,368614,165572,93942,- -,- -,338763,- -,224779
57,Other Non-Current Liabilities,- -,- -,480000,21516,-237332,-74143,-351894,-165572,-93942,- -,- -,4741027,- -,6533875
58,Total Non-Current Liabilities,- -,- -,1810000,1990000,760000,580000,385330,165570,133840,- -,- -,5252060,- -,15412309
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,1141795,933070,762779,538801,315729,139825,26186,13789,5348585,8692795,- -
61,Total Liabilities,7221,5821000,4890000,11530000,4520000,5130000,4477240,5506260,5142580,4767820,4619610,15584190,7576888,15412309
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,2201,- -,- -,- -,- -
63,Common Stock,1372,- -,10000,20000,20000,30000,39410,39530,36840,44430,72920,20550,21655,21285
64,Retained Earnings,-81418,- -,4370000,5280000,2510000,-2320000,-5382850,-7592710,-24011340,-28471700,-32286220,-32246610,- -,-53181928
65,Other Comprehensive Income/Loss,-15978,- -,1780000,-596011,-542806,-292565,-2835917,-5376605,-5691301,-5040792,-5744856,-6166559,-3046070,-4975399
66,Other Total Stockholders Equity,98606,- -,-6171149,2013235,12537733,17692553,35127655,35497069,35935549,40377978,46497792,61398150,27842730,70910902
67,Total Stockholders Equity,2582,-6781,-11149,6717224,14524927,15109988,26948298,22567284,6269748,6912117,8539636,23005531,24818315,12774860
68,Total Liabilities And Stockholders Equity,9803,5814219,4878851,18247224,19044927,20239988,31425538,28073544,11412328,11679937,13159246,38589721,32395203,28187169
69,Minority Interest,- -,-5593219,7781149,2776,-4927,12,2,6,2,3,4,-1,4321527,-11199258
70,Total Liabilities & Equity,9803,221000,12660000,18250000,19040000,20240000,31425540,28073550,11412330,11679940,13159250,38589720,36716730,16987911
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1307579/000107878210000516/0001078782-10-000516-index.htm,https://www.sec.gov/Archives/edgar/data/1307579/000107878211000769/0001078782-11-000769-index.htm,https://www.sec.gov/Archives/edgar/data/1307579/000143774912003008/0001437749-12-003008-index.htm,https://www.sec.gov/Archives/edgar/data/1307579/000143774913003532/0001437749-13-003532-index.htm,https://www.sec.gov/Archives/edgar/data/1307579/000143774914005254/0001437749-14-005254-index.htm,https://www.sec.gov/Archives/edgar/data/1307579/000143774915005998/0001437749-15-005998-index.htm,https://www.sec.gov/Archives/edgar/data/1307579/000143774916028290/0001437749-16-028290-index.htm,https://www.sec.gov/Archives/edgar/data/1307579/000143774917005629/0001437749-17-005629-index.htm,https://www.sec.gov/Archives/edgar/data/1307579/000143774918005356/0001437749-18-005356-index.htm,https://www.sec.gov/Archives/edgar/data/1307579/000143774919006256/0001437749-19-006256-index.htm,https://www.sec.gov/Archives/edgar/data/1307579/000143774920006576/0001437749-20-006576-index.htm,https://www.sec.gov/Archives/edgar/data/1307579/000143774921007884/0001437749-21-007884-index.htm,https://www.sec.gov/Archives/edgar/data/1307579/000143774922007742/0001437749-22-007742-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-14966,-29363000,-10000,920000,-2770000,-4830000,-3066070,-2209860,-16418630,-4460350,-3814530,39620,-9808360,-11126960
74,Depreciation and Amortization,147,147,148,1379667,1515863,1689523,1630531,1444109,1378277,939500,648734,1343252,2827341,2740241
75,Deferred Income Tax,- -,- -,- -,177658,-993977,-1623213,-1206796,-250523,3856619,- -,- -,13926,-63200,- -
76,Stock Based Compensation,- -,- -,- -,123984,120494,1316826,573029,369531,435794,178944,116434,197943,343780,481105
77,Change in Working Capital,2025,-7004214,10032000,-1150000,6190000,-380000,2880410,-2928100,-4144730,1162300,2093720,10401530,-1315138,-4640734
78,Accounts Receivable,- -,- -,- -,-3593340,2405123,698827,877457,-1280537,841918,-241256,-999099,-4364197,3143651,971460
79,Inventory,- -,- -,- -,-1094902,-1161098,-434838,712273,-175948,-1147934,564359,32241,-443780,-322800,-336651
80,Accounts Payable,2025,5381,-979,1961393,-737729,-702269,-2682139,1118143,-1192386,-487458,347249,2117101,-2006919,-532718
81,Other Working Capital,2214,-7002000,3030000,1880000,8070000,7690000,10570410,7642310,3497580,4659880,6753600,17155130,15839992,11199258
82,Other Non-Cash Items,- -,36343232,-10047323,-1446161,-4540457,1685510,-6544778,1483879,15308464,-1135756,-2958532,-16543032,5416712,5342505
83,Cash Provided by Operating Activities,-12794,-23835,-25175,5148,-478077,-2141354,-5733674,-2090964,415794,-3315362,-3914174,-4546761,-2598865,-7203843
84,CAPEX,- -,- -,- -,-1572300,-1491374,-628905,-456432,-576278,-373740,-137674,-178872,-2570135,-3809364,-1133378
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-1874684,- -,- -,- -,- -,-1154902,-301573,- -
86,Purchases of Investments,- -,- -,- -,-64167,-254270,-23090,- -,-16378,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,689827,2493,3500,- -,- -,- -,14001,7982,-3016,47218,-316761
89,Cash Used for Investing Activites,- -,- -,- -,-946640,-1743151,-648495,-2331116,-592656,-373740,-123673,-170890,-3700675,-4008521,-1450139
90,Debt Repayment,- -,- -,- -,-202719,-4523811,- -,-131559,- -,-202619,-54929,- -,- -,-38725,-380334
91,Common Stock Issued,- -,20000,20000,4607087,7079707,3845470,12071250,- -,- -,1825000,6777100,14650039,4662127,- -
92,Common Stock Repurchased,- -,- -,- -,-4577999,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,5000,1916244,2445754,-170290,-1487700,-223072,- -,2334629,-759820,-22569,2593500,14283333
95,Cash Used/Provided by Financing Activities,- -,20000,25000,1742613,5001650,3675180,10451991,-223072,-202619,4104700,6017280,14627470,7216902,13902999
96,Effect of Forex Changes on Cash,- -,- -,- -,-327323,59859,125606,-1417724,-1576469,-1376,611884,-642304,-372213,2871001,-1024086
97,Net Change In Cash,-12794,-3835,-175,473798,2840281,1010937,969477,-4483161,-161941,1277549,1289912,6007821,3480517,4224931
