,https://roic.ai/company/GIL,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,86976365,141143296,227515710,305649846,320144169,378476027,466020558,532831241,653170625,773946905,964429000,1249711000,1038319000,1311463000,1726041000,1948253000,2184303000,2359994000,- -,- -,2750816000,2908565000,2823901000,1981276000,2922570000
2,COGS,- -,67581635,107962592,167864028,218444669,252737311,272200913,325619893,378315044,450101153,521605119,655280000,847392000,807986000,947206000,1288293000,1552128000,1550266000,1701311000,- -,- -,1949597000,2102612000,2119440000,1732217000,1982361000
3,Gross Profit,- -,19394730,33180704,59651682,87205177,67406857,106275114,140400665,154516197,203069472,252341786,309149000,402319000,230333000,364257000,437748000,396125000,634037000,658683000,- -,- -,801219000,805953000,704461000,249059000,940209000
4,Gross Profit Ratio,- -,0.2230,0.2351,0.2622,0.2853,0.2106,0.2808,0.3013,0.2900,0.3109,0.3260,0.3206,0.3219,0.2218,0.2777,0.2536,0.2033,0.2903,0.2791,- -,- -,0.2913,0.2771,0.2495,0.1257,0.3217
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89601000,115526000,107543000,- -,- -,141325000,135735000,121273000,101492000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,136434000,167037000,178472000,- -,- -,235998000,232811000,219214000,170814000,- -
8,"Selling, General and Administrative Exp.",- -,8997555,13633160,26378633,32154555,48240168,40280188,52621673,62834632,74818066,84470611,110979000,151453000,134785000,154674000,199132000,226035000,282563000,286015000,- -,- -,377323000,368546000,340487000,272306000,314171000
9,Other Expenses,- -,1699539,2706583,4696196,6243486,-1,- -,- -,22252127,25588346,32414701,14393000,58932000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,10697094,16339743,31074829,38398041,48240167,40280188,52621673,85086759,100406412,116885312,125372000,210385000,134785000,154674000,199132000,226035000,282563000,286015000,- -,- -,377323000,368546000,340487000,272306000,314171000
11,COGS and Expenses,- -,78278729,124302335,198938857,256842710,300977479,312481101,378241567,463401802,550507565,638490431,780652000,1057777000,942771000,1101880000,1487425000,1778163000,1832829000,1987326000,- -,- -,2326920000,2471158000,2459927000,2004523000,2296532000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,212000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1824000,2040000,5072000,7639000,4211000,2384000,- -,- -,17437000,25056000,32087000,33674000,27331000
14,Depreciation and Amortization,- -,1699538,2706583,4696196,6243486,10278097,11084645,17464301,22252127,25588346,32414701,42270000,58932000,62970000,69197000,79808000,94573000,95278000,95618000,- -,- -,162150000,158076000,156794000,147190000,135402000
15,EBITDA,- -,8197772,15738279,26078876,46678881,10524742,57588246,80780259,85517698,112892405,144134961,167475000,237924000,154337000,267578000,309042000,246339000,430208000,464526000,- -,- -,556403000,555266000,438706000,-48509000,787291000
16,EBITDA ratio,- -,0.0943,0.1115,0.1146,0.1527,0.0329,0.1522,0.1733,0.1605,0.1728,0.1862,0.1737,0.1904,0.1486,0.2040,0.1790,0.1264,0.1970,0.1968,- -,- -,0.2023,0.1909,0.1554,-0.0245,0.2694
17,Operating Income,- -,8697636,16840962,28576853,48807135,19166689,65994926,87778992,69429438,102663061,115050517,170158000,186445000,89349000,200878000,230151000,155128000,342686000,369421000,- -,- -,401002000,403179000,288993000,-180843000,651889000
18,Operating Income ratio,- -,0.1000,0.1193,0.1256,0.1597,0.0599,0.1744,0.1884,0.1303,0.1572,0.1487,0.1764,0.1492,0.0861,0.1532,0.1333,0.0796,0.1569,0.1565,- -,- -,0.1458,0.1386,0.1023,-0.0913,0.2231
19,Total Other Income Expenses (Gains),- -,-2199403,-3809266,-7194172,-8371740,-18920045,-19491325,-24463033,-6163867,-15359001,-3330256,-44953000,-7453000,194000,-4537000,-5989000,-11001000,-11967000,-2897000,- -,- -,-24186000,-31045000,-39168000,-48530000,-27331000
20,Income Before Tax,- -,6498234,13031696,21382680,40435395,246644,46503601,63315959,63265571,87304060,111720261,125205000,178992000,89543000,196341000,224162000,144127000,330719000,366524000,- -,- -,376816000,372134000,249825000,-229373000,624558000
21,Income Before Tax Ratio,- -,0.0747,0.0923,0.0940,0.1323,0.0008,0.1229,0.1359,0.1187,0.1337,0.1444,0.1298,0.1432,0.0862,0.1497,0.1299,0.0740,0.1514,0.1553,- -,- -,0.1370,0.1279,0.0885,-0.1158,0.2137
22,Income Tax expense (Gain),- -,2399348,4410728,4896034,4090122,-270767,4607290,6169343,3074905,1350593,4786681,-4815000,34400000,-5786000,-1904000,-15742000,-4337000,10541000,6972000,- -,- -,14482000,21360000,-9984000,-4091000,17375000
23,Net Income,- -,4098886,8620968,16486646,36345273,517412,41896311,57146615,60190666,85953467,106933579,130020000,144592000,95329000,198245000,239904000,148464000,320178000,359552000,- -,- -,362334000,350774000,259809000,-225282000,607183000
24,Net Income ratio,- -,0.0471,0.0611,0.0725,0.1189,0.0016,0.1107,0.1226,0.1130,0.1316,0.1382,0.1348,0.1157,0.0918,0.1512,0.1390,0.0762,0.1466,0.1524,- -,- -,0.1317,0.1206,0.0920,-0.1137,0.2078
25,EPS,- -,0.04,0.07,0.09,0.16,0.00,0.18,0.24,0.26,0.36,0.44,0.54,0.60,0.40,0.82,0.98,0.61,1.32,1.48,1.26,- -,1.62,1.66,1.27,-1.14,3.08
