,https://roic.ai/company/TKOI,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,93660,698652,2488323000,5181328000,14152733000,20530959000,10518053000,11258776000,11180962,12758376,13889846,14796531,15083926,8256014,8282569,8431979,11982196,6493870,6274399
2,COGS,- -,- -,- -,104656,542859,1717179000,4480659000,11670596000,13823624000,5192096000,5419108000,1146252,5904318,1069558,1053215,1010662,124842,176131,4662086,7004994,3608557,3075131
3,Gross Profit,- -,- -,- -,-10996,155793,771144000,700669000,2482137000,6707335000,5325957000,5839668000,10034710,6854058,12820288,13743316,14073264,8131172,8106438,3769893,4977202,2885313,3199268
4,Gross Profit Ratio,- -,- -,- -,-0.1174,0.2230,0.3099,0.1352,0.1754,0.3267,0.5064,0.5187,0.8975,0.5372,0.9230,0.9288,0.9330,0.9849,0.9787,0.4471,0.4154,0.4443,0.5099
5,Research and Development Exp.,119000,160115,280450,1370785,1852308,2096104000,1925746000,2349690000,2036129000,1080148000,1010719000,775329,984853,1174048,1312488,1605667,1658640,1770597,1879676,1737385,1177282,1129957
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,1623496,235234,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4754783,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,1623496,235234,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4754783,4289920
9,Other Expenses,795144,1847282,- -,5182550,11415759,-2080026088,-1907482745,-2323750310,-2020170966,-1071824039,-1003847373,4921102,5499530,6506599,5641242,6655234,6371168,5564154,4910966,5221174,58853,43471
10,Operating Expenses,914144,2007397,- -,6553335,13268067,16077912,18263255,25939690,17581530,8559195,6871627,5696431,6484383,7680647,6953730,8260901,8029808,7334751,6790642,6958559,5990918,5463348
11,COGS and Expenses,914144,2007397,3155336,6657991,13810926,17795091000,22743914000,37610286000,35367187000,14751291000,12290735000,9942683,12388701,11524221,8006945,9271563,8154650,7510882,11452728,13963553,9599475,8538479
12,Interest Income ,- -,- -,- -,20297,128938,166070,327184,116043,9961,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,9088561,1384502,607674,263702,26274,- -,- -,- -,- -,- -,- -,- -,21645,21067
14,Depreciation and Amortization,21808,43557,564103,855683,175398,840814,6259860,2196615,1910106,348188,283713,268576,260830,258517,275236,273507,34289,51229,67107,66082,58853,43471
15,EBITDA,-892336,-1965097,-2594555,-6802253,-12917262,-15777440186,-27430856140,-20388913385,-23974540333,1061569690,-1770980613,-1309961,645913,-3386391,519919,281475,-1321510,3807369,-2940020,-1968414,-3046752,-340358
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-72.6271,-18.4888,-6.3406,-5.2942,-1.4406,-1.1677,0.1009,-0.1573,-0.1172,0.0506,-0.2438,0.0351,0.0187,-0.1601,0.4597,-0.3487,-0.1643,-0.4692,-0.0542
17,Operating Income,- -,-2007397,-3155336,-6564331,-13112274,-15306768,-17562586,-23457553,-14836227,-4233238,-1031959,-2582474,369675,-3668669,284956,77409,-3923311,-3489413,-3020749,-1981357,-3105605,-2220609
18,Operating Income ratio,- -,-Infinity,-Infinity,-70.0868,-18.7680,-0.0062,-0.0034,-0.0017,-0.0007,-0.0004,-0.0001,-0.2310,0.0290,-0.2641,0.0193,0.0051,-0.4752,-0.4213,-0.3582,-0.1654,-0.4782,-0.3539
19,Total Other Income Expenses (Gains),-15576,1257,3322,- -,19614,-15762974232,-27439122414,-23277720447,-28908175773,-5232780762,-1770840041,740235,-10866,23761,-40273,-69441,-60246,2434,13622,-53139,-21645,1815713
20,Income Before Tax,-929720,- -,- -,- -,-13092660,-15778281000,-27456685000,-23301178000,-28923012000,-5237014000,-1771872000,-1842239,358809,-3644908,244683,7968,-3983557,-3486979,-3007127,-2034496,-3127250,-404896
21,Income Before Tax Ratio,-Infinity,- -,- -,- -,-18.7399,-6.3409,-5.2992,-1.6464,-1.4088,-0.4979,-0.1574,-0.1648,0.0281,-0.2624,0.0165,0.0005,-0.4825,-0.4210,-0.3566,-0.1698,-0.4816,-0.0645
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60000,-31271,349823,201853,197072,20114,9762,9623,-100363,22602,7889
23,Net Income,-929720,-2006140,-3778488,-7657936,-13092660,-15778281000,-27437116000,-20391110000,-23985539000,1059837000,-1771872000,-1902239,390080,-3994731,42830,-189104,-1375913,3746378,-3016750,-1934133,-3149852,-412785
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-81.7631,-18.7399,-6.3409,-5.2954,-1.4408,-1.1683,0.1008,-0.1574,-0.1701,0.0306,-0.2876,0.0029,-0.0125,-0.1667,0.4523,-0.3578,-0.1614,-0.4851,-0.0658
25,EPS,-0.04,-0.09,-0.22,-0.37,-0.32,-0.35,-0.54,-0.31,-0.30,0.01,-0.02,-0.02,0.00,-0.04,0.00,-0.00,-0.01,0.03,-0.02,-0.01,-0.02,-0.00
26,EPS Diluted,-0.04,-0.09,-0.22,-0.37,-0.32,-0.35,-0.54,-0.31,-0.30,0.01,-0.02,-0.02,0.00,-0.04,0.00,-0.00,-0.01,0.03,-0.02,-0.01,-0.02,-0.00
27,Weighted Average Shares Outstanding,20891349,21974439,17119639,20702482,41384074,44743223,50823652,65414875,79153788,94486950,98233829,102570300,105788739,114670433,125035612,125859903,132774475,133116491,134055098,135213641,136231562,136231562
28,Weighted Average Shares Outstanding Diluted,20891349,21974439,17119639,20702482,41384074,44743223,50823652,65414875,79153788,102866200,98233829,103790946,107387408,114670433,125035612,125859903,132774475,133116491,134055098,135213641,136231562,136231562
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1094084/000101968706000586/0001019687-06-000586-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000101968707000763/0001019687-07-000763-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000101968708001465/0001019687-08-001465-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000101968709001164/0001019687-09-001164-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000101968710001234/0001019687-10-001234-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000101968711001013/0001019687-11-001013-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000101968712001464/0001019687-12-001464-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000101968713001105/0001019687-13-001105-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000101968714001081/0001019687-14-001081-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000101968715001178/0001019687-15-001178-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000101968716005641/0001019687-16-005641-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000168316817000761/0001683168-17-000761-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000168316818000840/0001683168-18-000840-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000168316819000873/0001683168-19-000873-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000168316820000995/0001683168-20-000995-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000168316821001114/0001683168-21-001114-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000168316822002167/0001683168-22-002167-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,18827,5177918,11838702,8422079000,1644037000,1629583000,281989000,503870000,136030000,961091,1163758,572672,1128072,951249,685115,8385595,4678891,3300600,3011811,2361059
32,Short-Term Investments,- -,- -,- -,- -,- -,231000000,193847000,16501000,397403000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,18827,5177918,11838702,8653079000,1837884000,1646084000,679392000,503870000,136030000,961091,1163758,572672,1128072,951249,685115,8385595,4678891,3300600,3011811,2361059
34,Net Receivables,- -,- -,1550,58196,63147,119191000,295116000,2134978000,1024909000,251684000,799185000,1306011,3026107,1659756,1460422,2263347,1403772,1610286,1081291,2283587,865174,1010554
35,Inventory,- -,- -,39790,608516,1873718,1475806000,1306593000,2578084000,1733940000,906583000,599402000,322210,654912,939382,1027250,812052,777202,1259536,1790919,1373074,1388262,825559
36,Other Current Assets,- -,- -,4625,107991,124852,10129880000,326486000,645022000,7525000,246936000,197565000,248665,189879,553216,158282,188777,7462042,970866,911830,524809,353467,1001106
37,Total Current Assets,- -,- -,64792,5952621,13900419,20377956000,3766079000,7004168000,3445766000,1909073000,1732182000,2837977,5034656,3725026,3774026,4215425,10328131,12226283,8462931,7482070,5618714,5198278
38,PP&E,- -,- -,37963,153964,1017285,717470000,1628788000,850578000,3744525000,254499000,112997000,11953,35898,44638,131750,142004,143907,304170,247289,186525,127672,654713
39,Goodwill,- -,- -,- -,- -,- -,- -,1977768000,14670455000,- -,- -,- -,8570446,8570446,5796430,5796430,5796430,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,2181602000,6449029000,- -,- -,- -,1741977,1500297,1258617,1016937,775257,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,4159370000,21119484000,18322303000,13895792000,13654103000,10312423,10070743,7055047,6813367,6571687,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,397403,8000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,933433,17300,19695,28021,- -,- -
44,Other Non-Current Assets,- -,- -,192600,70000,576288,- -,- -,- -,397005597,-8000,- -,22285,- -,-10400,-63930,-93370,-933433,-304340,-249854,722775,- -,7595
45,Total Non-Current Assets,- -,- -,230563,223964,1593573,717470000,5788158000,21970062000,22464231000,14150291000,13767100000,10346661,10106641,7089285,6881187,6620321,143907,17130,17130,937321,127672,662308
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,295355,6176585,15493992,21095426000,9554237000,28974230000,25909997000,16059364000,15499282000,13184638,15141297,10814311,10655213,10835746,10472038,12243413,8480061,8419391,5746386,5860586
