,https://roic.ai/company/DNOW,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,3414000000,4296000000,4105000000,3010000000,2107000000,2648000000,3127000000,2951000000,1619000000,1632000000
2,COGS,2803000000,3499000000,3286000000,2508000000,1762000000,2147000000,2497000000,2365000000,1327000000,1275000000
3,Gross Profit,611000000,797000000,819000000,502000000,345000000,501000000,630000000,586000000,292000000,357000000
4,Gross Profit Ratio,0.1790,0.1855,0.1995,0.1668,0.1637,0.1892,0.2015,0.1986,0.1804,0.2188
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,638000000,619000000,567000000,542000000,557000000,541000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",443000000,573000000,638000000,619000000,567000000,542000000,557000000,541000000,391000000,341000000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,443000000,573000000,638000000,619000000,567000000,542000000,557000000,541000000,391000000,341000000
11,COGS and Expenses,3246000000,4072000000,3924000000,3127000000,2329000000,2689000000,3054000000,2906000000,1718000000,1616000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,12000000,17000000,21000000,38000000,53000000,50000000,41000000,41000000,28000000,23000000
15,EBITDA,177000000,239000000,199000000,-480000000,-177000000,-2000000,99000000,-52000000,-402000000,35000000
16,EBITDA ratio,0.0518,0.0556,0.0485,-0.1595,-0.0840,-0.0008,0.0317,-0.0176,-0.2483,0.0214
17,Operating Income,168000000,224000000,181000000,-510000000,-222000000,-41000000,73000000,-83000000,-420000000,9000000
18,Operating Income ratio,0.0492,0.0521,0.0441,-0.1694,-0.1054,-0.0155,0.0233,-0.0281,-0.2594,0.0055
19,Total Other Income Expenses (Gains),-3000000,-2000000,-3000000,-8000000,-8000000,-11000000,-15000000,-10000000,-10000000,3000000
20,Income Before Tax,165000000,222000000,178000000,-518000000,-230000000,-52000000,58000000,-93000000,-430000000,12000000
21,Income Before Tax Ratio,0.0483,0.0517,0.0434,-0.1721,-0.1092,-0.0196,0.0185,-0.0315,-0.2656,0.0074
22,Income Tax expense (Gain),57000000,75000000,62000000,-16000000,4000000,- -,6000000,4000000,-3000000,7000000
23,Net Income,108000000,147000000,116000000,-502000000,-234000000,-52000000,52000000,-97000000,-427000000,5000000
24,Net Income ratio,0.0316,0.0342,0.0283,-0.1668,-0.1111,-0.0196,0.0166,-0.0329,-0.2637,0.0031
25,EPS,1.01,1.37,1.07,-4.68,-2.18,-0.48,0.47,-0.89,-3.91,0.05
26,EPS Diluted,1.01,1.37,1.06,-4.68,-2.18,-0.48,0.47,-0.89,-3.91,0.05
27,Weighted Average Shares Outstanding,107057698,107057698,107000000,107000000,107000000,108000000,108000000,109000000,109000000,110000000
28,Weighted Average Shares Outstanding Diluted,107057698,107057698,108000000,107000000,107000000,108000000,109000000,109000000,109000000,110000000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1599617/000119312515062723/d856275d10k.htm,https://www.sec.gov/Archives/edgar/data/1599617/000156459016013054/0001564590-16-013054-index.html,https://www.sec.gov/Archives/edgar/data/1599617/000156459017001602/0001564590-17-001602-index.html,https://www.sec.gov/Archives/edgar/data/1599617/000156459018002021/0001564590-18-002021-index.html,https://www.sec.gov/Archives/edgar/data/1599617/000156459019002939/0001564590-19-002939-index.html,https://www.sec.gov/Archives/edgar/data/1599617/000156459020005159/0001564590-20-005159-index.html,https://www.sec.gov/Archives/edgar/data/1599617/000156459021006229/0001564590-21-006229-index.htm,https://www.sec.gov/Archives/edgar/data/1599617/000095017022001400/0000950170-22-001400-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,101000000,195000000,90000000,106000000,98000000,116000000,183000000,387000000,313000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,101000000,195000000,90000000,106000000,98000000,116000000,183000000,387000000,313000000
34,Net Receivables,- -,661000000,851000000,485000000,354000000,423000000,482000000,370000000,198000000,304000000
35,Inventory,- -,850000000,949000000,693000000,483000000,590000000,602000000,465000000,262000000,250000000
36,Other Current Assets,- -,50000000,52000000,24000000,16000000,18000000,19000000,49000000,14000000,16000000
37,Total Current Assets,- -,1662000000,2047000000,1292000000,959000000,1129000000,1219000000,1067000000,861000000,883000000
38,PP&E,- -,102000000,124000000,165000000,143000000,119000000,106000000,120000000,139000000,111000000
39,Goodwill,- -,333000000,346000000,205000000,311000000,328000000,314000000,245000000,- -,67000000
40,Intangible Assets,- -,68000000,73000000,161000000,184000000,166000000,144000000,90000000,- -,9000000
41,Intangible Assets,- -,401000000,419000000,366000000,495000000,494000000,458000000,335000000,- -,76000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,15000000,2000000,4000000,1000000,2000000,2000000,2000000,1000000,- -
44,Other Non-Current Assets,- -,3000000,4000000,5000000,5000000,5000000,10000000,67000000,7000000,34000000
45,Total Non-Current Assets,- -,521000000,549000000,540000000,644000000,620000000,576000000,524000000,147000000,221000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2183000000,2596000000,1832000000,1603000000,1749000000,1795000000,1591000000,1008000000,1104000000
48,Accounts Payable,- -,264000000,490000000,211000000,246000000,290000000,329000000,255000000,172000000,235000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,21000000,22000000,15000000
50,Tax Payable,- -,25000000,29000000,18000000,17000000,15000000,14000000,12000000,10000000,12000000
51,Deferred Revenue,- -,18000000,24000000,21000000,27000000,19000000,29000000,34000000,19000000,27000000
52,Other Current Liabilities,- -,81000000,106000000,75000000,74000000,85000000,83000000,86000000,59000000,92000000
53,Total Current Liabilities,- -,363000000,620000000,307000000,347000000,394000000,441000000,396000000,272000000,369000000
54,Long-Term Debt,- -,- -,- -,108000000,65000000,162000000,132000000,- -,31000000,17000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,16000000,10000000,11000000,7000000,7000000,6000000,4000000,- -,- -
57,Other Non-Current Liabilities,- -,2000000,- -,3000000,1000000,1000000,2000000,47000000,6000000,6000000
58,Total Non-Current Liabilities,- -,18000000,10000000,122000000,73000000,170000000,140000000,51000000,37000000,23000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,55000000,53000000,32000000
61,Total Liabilities,- -,381000000,630000000,429000000,420000000,564000000,581000000,447000000,309000000,392000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,- -,- -,58000000,-444000000,-678000000,-730000000,-678000000,-775000000,-1208000000,-1203000000
65,Other Comprehensive Income/Loss,- -,- -,-45000000,-134000000,-142000000,-105000000,-143000000,-128000000,-145000000,-147000000
66,Other Total Stockholders Equity,- -,1863000000,1952000000,1980000000,2002000000,2019000000,2034000000,2046000000,2051000000,2061000000
67,Total Stockholders Equity,- -,1802000000,1966000000,1403000000,1183000000,1185000000,1214000000,1144000000,699000000,712000000
68,Total Liabilities And Stockholders Equity,- -,2183000000,2596000000,1832000000,1603000000,1749000000,1795000000,1591000000,1008000000,1104000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,2183000000,2596000000,1832000000,1603000000,1749000000,1795000000,1591000000,1008000000,1104000000
