,https://roic.ai/company/HZN,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,588270000,611780000,575510000,649200000,892980000,849950000,690450000,661230000,782120000
2,COGS,463260000,463690000,432470000,488850000,685380000,706070000,594220000,540680000,639540000
3,Gross Profit,125010000,148090000,143040000,160350000,207600000,143880000,96230000,120550000,142580000
4,Gross Profit Ratio,0.2125,0.2421,0.2485,0.2470,0.2325,0.1693,0.1394,0.1823,0.1823
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,121350000,145150000,171620000,185360000,154180000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,121350000,145150000,171620000,185360000,154180000,- -,-135360000
9,Other Expenses,121250000,122890000,- -,- -,- -,- -,- -,127370000,- -
10,Operating Expenses,121250000,122890000,121350000,145150000,171620000,185360000,154180000,127370000,-135360000
11,COGS and Expenses,584510000,586580000,553820000,634000000,857000000,891430000,748400000,668050000,504180000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),820000,720000,8810000,20080000,22410000,27740000,58270000,31680000,-27970000
14,Depreciation and Amortization,19450000,18930000,17080000,18220000,25340000,25380000,21690000,22910000,22000000
15,EBITDA,26340000,40240000,32910000,22210000,53950000,-157200000,149890000,16450000,-39250000
16,EBITDA ratio,0.0448,0.0658,0.0572,0.0342,0.0604,-0.1850,0.2171,0.0249,-0.0502
17,Operating Income,5670000,24460000,19570000,6300000,34760000,-170390000,-57170000,-6910000,7220000
18,Operating Income ratio,0.0096,0.0400,0.0340,0.0097,0.0389,-0.2005,-0.0828,-0.0105,0.0092
19,Total Other Income Expenses (Gains),400000,-3870000,-12550000,-22690000,-29780000,-40870000,-63660000,-32150000,-40500000
20,Income Before Tax,6070000,20590000,7020000,-16390000,4980000,-211260000,-120830000,-39060000,-33280000
21,Income Before Tax Ratio,0.0103,0.0337,0.0122,-0.0252,0.0056,-0.2486,-0.1750,-0.0591,-0.0426
22,Income Tax expense (Gain),-3710000,5240000,-1280000,-3730000,9750000,-6360000,-10820000,-1580000,-160000
23,Net Income,9780000,15350000,8300000,-12360000,-3550000,-203960000,80750000,-36560000,-33120000
24,Net Income ratio,0.0166,0.0251,0.0144,-0.0190,-0.0040,-0.2400,0.1170,-0.0553,-0.0423
25,EPS,0.54,0.31,0.46,-0.66,-0.14,-8.14,3.19,-1.42,-1.21
26,EPS Diluted,0.54,0.31,0.46,-0.66,-0.14,-8.14,3.19,-1.42,-1.21
27,Weighted Average Shares Outstanding,18062027,17952770,18064491,18775500,24781349,25053013,25297576,25797529,27286600
28,Weighted Average Shares Outstanding Diluted,18134475,17971652,18160852,18775500,24781349,25053013,25297576,25797529,27286600
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1637655/000163765516000083/0001637655-16-000083-index.htm,https://www.sec.gov/Archives/edgar/data/1637655/000163765517000010/0001637655-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1637655/000163765518000011/0001637655-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1637655/000163765519000030/0001637655-19-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1637655/000163765520000026/0001637655-20-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1637655/000163765521000040/0001637655-21-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1637655/000163765522000062/0001637655-22-000062-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,7880000,5720000,23520000,50240000,29570000,27650000,11770000,44970000,11780000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,7880000,5720000,23520000,50240000,29570000,27650000,11770000,44970000,11780000
34,Net Receivables,63170000,63840000,63050000,77570000,91770000,108340000,71680000,87420000,80720000
35,Inventory,126330000,123530000,119470000,146020000,171500000,173690000,136650000,115320000,162830000
36,Other Current Assets,9820000,10530000,5120000,12160000,10950000,9690000,8570000,17230000,17830000
37,Total Current Assets,207200000,203620000,211160000,285990000,303790000,319370000,228670000,264940000,273160000
38,PP&E,59030000,55180000,45890000,93760000,113020000,102280000,121600000,121400000,109420000
39,Goodwill,7180000,6580000,4410000,120190000,138190000,12660000,4350000,3360000,- -
40,Intangible Assets,76180000,66510000,56020000,86720000,90230000,78050000,60120000,58230000,48910000
41,Intangible Assets,83360000,73090000,60430000,206910000,228420000,90710000,64470000,61590000,48910000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,4500000,9370000,4290000,2690000,430000,1280000,1750000
44,Other Non-Current Assets,14730000,11940000,9600000,17340000,11510000,6300000,5870000,7280000,5680000
45,Total Non-Current Assets,157120000,140210000,120420000,327380000,357240000,201980000,192370000,191550000,165760000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,364320000,343830000,331580000,613370000,661030000,521350000,421040000,456490000,438920000
48,Accounts Payable,81030000,81980000,78540000,111450000,138730000,123130000,78450000,99520000,102190000
49,Short-Term Debt,1300000,460000,10130000,22900000,16710000,13860000,14190000,26300000,18570000
50,Tax Payable,- -,- -,- -,- -,- -,1930000,90000,5570000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,37690000,37940000,39820000,63780000,53070000,65820000,48850000,59100000,41090000
53,Total Current Liabilities,120020000,120380000,128490000,198130000,208510000,202810000,141490000,184920000,161850000
54,Long-Term Debt,670000,300000,178610000,327040000,258880000,350650000,205050000,277730000,333000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,1920000
56,Deferred Tax Liabilities,12070000,8970000,2910000,25730000,14870000,14150000,4040000,3130000,1920000
57,Other Non-Current Liabilities,35350000,25990000,19570000,30410000,38370000,19960000,61860000,14560000,-19520000
58,Total Non-Current Liabilities,48090000,35260000,201090000,383180000,312120000,384760000,270950000,295420000,317320000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,57950000,58520000,- -
61,Total Liabilities,168110000,155640000,329580000,581310000,520630000,587570000,412440000,480340000,479170000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,180000,210000,250000,250000,250000,260000,- -
64,Retained Earnings,- -,- -,-1910000,-14310000,-17860000,-222720000,-141970000,-178530000,- -
