,https://roic.ai/company/B,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5841000,4208000,7655000,8319000,8819000,18128000,7603000,9258000,11493000,12279000,12158000,13306000,10300000,11470000
77,Change in Working Capital,- -,- -,- -,- -,-900000,2200000,11600000,-9500000,-6500000,1300000,7000000,14200000,3600000,-6200000,-3700000,11302000,-41571000,33627000,13063000,-8124000,9311000,45346000,10893000,111304000,-74959000,-46048000,164972000,86329000,-141767000,46428000,35732000,-52429000,146351000,-4674000,-26771000,-74549000,-32952000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26329000,18650000,-35891000,-24707000,-4160000,-23764000,-21367000,14027000,-23057000,-50082000,-10960000,29212000,107381000,-18793000
79,Inventory,- -,- -,- -,- -,1700000,300000,7500000,7700000,1600000,-1000000,-6100000,-10000000,3200000,-3800000,2000000,-7631000,-3629000,9843000,-4668000,-6891000,-22978000,-24658000,-41775000,-2725000,53523000,-24006000,-12384000,5404000,2079000,-10092000,-1190000,1989000,-173000,-12369000,11482000,2147000,-7350000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-44475000,4149000,12466000,615000,-5493000,2384000,8123000,-2936000,11778000,12018000,12489000,-22546000,-9968000,22909000
81,Other Working Capital,- -,- -,- -,- -,89200000,91400000,103000000,93500000,87000000,88300000,95300000,109500000,113100000,106900000,103200000,114502000,72931000,106558000,119621000,111497000,120808000,166154000,177047000,288351000,213392000,167344000,332316000,418645000,276878000,323306000,359038000,306609000,452960000,448286000,421515000,346966000,-15931000
82,Other Non-Cash Items,- -,- -,- -,- -,1900000,-10300000,-16800000,69400000,-3400000,-7100000,-17500000,-28200000,700000,21800000,3600000,-36844000,45795000,-24052000,-20580000,-5273000,-32254000,-49859000,-47226000,-144719000,123746000,-1895000,-175886000,-111380000,-201850000,-66898000,-34717000,42827000,-108427000,-30709000,4357000,128680000,-1670000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,33100000,32800000,35800000,43000000,19600000,37700000,47300000,45800000,71600000,76000000,62800000,51857000,66900000,54411000,60069000,54181000,72432000,114321000,120318000,111808000,143483000,65760000,121024000,136377000,10090000,186898000,209895000,217646000,203920000,237199000,248301000,215462000,167806000
84,CAPEX,- -,- -,- -,- -,-18200000,-21600000,-19100000,-16200000,-22200000,-31800000,-35800000,-33900000,-33400000,-34600000,-27222000,-26575000,-22365000,-19367000,-18397000,-28509000,-26097000,-41712000,-50197000,-51869000,-30502000,-28759000,-37082000,-37787000,-57304000,-57365000,-45982000,-47577000,-58712000,-63073000,-53286000,-40698000,-34117000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-92239000,-104935000,-1036000,-31189000,-61142000,-17720000,-20591000,-147896000,-2991000,5447000,- -,- -,18997000,-296998000,231678000,-1181000,-51954000,-128613000,-8922000,-430487000,-6061000,36062000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-2600000,-500000,- -,- -,- -,- -,- -,- -,-2600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,3100000,- -,- -,- -,- -,- -,- -,2500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-12500000,-2700000,-2100000,18100000,1500000,500000,-800000,1700000,-800000,1900000,-39000,-3032000,-3193000,2589000,-15950000,-29335000,-38769000,-57737000,-74873000,-112120000,-26080000,-30299000,-49609000,-35809000,-74234000,-123068000,-63540000,-50897000,-59118000,-62699000,-56159000,-40249000,-29806000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-30700000,-26900000,-21700000,5000000,-20700000,-31300000,-36600000,-32200000,-34200000,-35300000,-117000000,-134542000,-26594000,-47967000,-95489000,-75564000,-85457000,-247345000,-128061000,-106673000,-26080000,-30299000,-30612000,-332807000,157444000,-124249000,-115494000,-179510000,-68040000,-493186000,-62220000,-4187000,-29806000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-260335000,-231410000,-359542000,-411661000,-123263000,-557948000,-347204000,-171198000,-321506000,-98465000,-439049000,-341419000,-272279000,-115680000
91,Common Stock Issued,- -,- -,- -,- -,20500000,- -,2000000,1200000,1700000,4000000,5800000,4900000,6500000,3600000,1500000,3920000,2845000,3792000,52562000,4534000,7101000,28193000,15176000,5171000,6687000,5746000,28579000,7061000,13491000,11460000,11425000,4611000,2408000,1131000,5492000,1989000,1427000
92,Common Stock Repurchased,- -,- -,- -,- -,-25100000,- -,- -,- -,- -,- -,-1700000,-1200000,-10700000,-17000000,-22400000,-9197000,-8798000,-1147000,-206000,-3498000,-149000,-712000,-54000,-34209000,-314000,-28100000,-34066000,-19037000,-68608000,-8389000,-52103000,-20520000,-40791000,-138275000,-50347000,-15550000,-5229000
93,Dividends Paid,- -,- -,- -,- -,-9400000,-8500000,-8600000,-8700000,-8800000,-9200000,-10500000,-12000000,-13200000,-14000000,-14600000,-14677000,-14806000,-15018000,-17564000,-18509000,-19879000,-24803000,-29111000,-33345000,-25600000,-17461000,-18629000,-21662000,-22422000,-24464000,-26176000,-27435000,-29551000,-32206000,-32544000,-32402000,-32402000
94,Other Financing Activites,- -,- -,- -,- -,14600000,2900000,-6500000,-16600000,-4300000,-2700000,-7400000,1400000,-9200000,-4500000,94300000,84799000,6948000,-11989000,18952000,23716000,18095000,138234000,8402000,320957000,128768000,360057000,395582000,376177000,452680000,285054000,186461000,311538000,102648000,823963000,226825000,98576000,37218000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,600000,-5600000,-13100000,-24100000,-11400000,-7900000,-13800000,-6900000,-26600000,-31900000,58800000,64845000,-13811000,-24362000,53744000,6243000,5168000,140912000,-5587000,-1761000,-121869000,-39300000,-40195000,219276000,-182807000,-83543000,-51591000,-53312000,-63751000,215564000,-191993000,-219666000,-114666000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-3100000,-1300000,- -,-2800000,-2400000,-600000,-1100000,-500000,-2300000,-1300000,-1200000,-2489000,-930000,-2595000,3109000,1687000,-366000,-640000,-1430000,-3016000,935000,-138000,-1162000,1005000,-227000,-3923000,-4923000,-2303000,6714000,-4148000,-1002000,6054000,-2893000
97,Net Change In Cash,- -,- -,- -,- -,600000,-5600000,-13100000,-24100000,-11400000,-7900000,-13800000,-6900000,-26600000,-31900000,3400000,-20329000,25565000,-20513000,21433000,-13453000,-8223000,7248000,-14760000,358000,-3531000,-3977000,49055000,23851000,-15500000,-24817000,37887000,-17479000,78843000,-44571000,-6914000,-2337000,11392000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43600000,23303000,48868000,28355000,49788000,36335000,28112000,35360000,20600000,20958000,17427000,13450000,62505000,86356000,70856000,46039000,83926000,66447000,145290000,100719000,93805000,91468000,102860000
99,Cash at the Beginning of Period,- -,- -,- -,- -,18100000,18000000,17000000,18000000,39100000,24100000,22000000,17900000,24000000,32500000,40200000,43632000,23303000,48868000,28355000,49788000,36335000,28112000,35360000,20600000,20958000,17427000,13450000,62505000,86356000,70856000,46039000,83926000,66447000,145290000,100719000,93805000,91468000
100,Free Cash Flow,- -,- -,- -,- -,14900000,11200000,16700000,26800000,-2600000,5900000,11500000,11900000,38200000,41400000,35578000,25282000,44535000,35044000,41672000,25672000,46335000,72609000,70121000,59939000,112981000,37001000,83942000,98590000,-47214000,129533000,163913000,170069000,145208000,174126000,195015000,174764000,133689000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/9984/000000998495000018/0000009984-95-000018-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/9984/000119312505038394/0001193125-05-038394-index.htm,https://www.sec.gov/Archives/edgar/data/9984/000119312506039999/0001193125-06-039999-index.htm,https://www.sec.gov/Archives/edgar/data/9984/000119312507039825/0001193125-07-039825-index.htm,https://www.sec.gov/Archives/edgar/data/9984/000119312508037385/0001193125-08-037385-index.htm,https://www.sec.gov/Archives/edgar/data/9984/000119312509035973/0001193125-09-035973-index.htm,https://www.sec.gov/Archives/edgar/data/9984/000119312510036363/0001193125-10-036363-index.htm,https://www.sec.gov/Archives/edgar/data/9984/000119312511040385/0001193125-11-040385-index.htm,https://www.sec.gov/Archives/edgar/data/9984/000000998412000036/0000009984-12-000036-index.htm,https://www.sec.gov/Archives/edgar/data/9984/000000998413000040/0000009984-13-000040-index.htm,https://www.sec.gov/Archives/edgar/data/9984/000000998414000030/0000009984-14-000030-index.htm,https://www.sec.gov/Archives/edgar/data/9984/000000998415000023/0000009984-15-000023-index.htm,https://www.sec.gov/Archives/edgar/data/9984/000000998416000126/0000009984-16-000126-index.htm,https://www.sec.gov/Archives/edgar/data/9984/000000998417000023/0000009984-17-000023-index.htm,https://www.sec.gov/Archives/edgar/data/9984/000000998418000024/0000009984-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/9984/000000998419000036/0000009984-19-000036-index.htm,https://www.sec.gov/Archives/edgar/data/9984/000000998420000029/0000009984-20-000029-index.htm,https://www.sec.gov/Archives/edgar/data/9984/000000998421000063/0000009984-21-000063-index.htm,https://www.sec.gov/Archives/edgar/data/9984/000000998422000047/0000009984-22-000047-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
