,https://roic.ai/company/AVYA,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,4150000000,5060000000,5547000000,5171000000,4708000000,4371000000,4081000000,3702000000,3272000000,2887000000,2887000000,2873000000,2973000000
2,COGS,2284000000,2888000000,2915000000,2585000000,2148000000,1872000000,1651000000,1457000000,1273000000,1312000000,1312000000,1293000000,1323000000
3,Gross Profit,1866000000,2172000000,2632000000,2586000000,2560000000,2499000000,2430000000,2245000000,1999000000,1575000000,1575000000,1580000000,1650000000
4,Gross Profit Ratio,0.4496,0.4292,0.4745,0.5001,0.5438,0.5717,0.5954,0.6064,0.6109,0.5455,0.5455,0.5499,0.5550
5,Research and Development Exp.,321000000,407000000,461000000,464000000,445000000,379000000,338000000,275000000,229000000,204000000,204000000,207000000,228000000
6,General and Administrative Exp.,1272000000,1721000000,1845000000,1630000000,1521000000,1531000000,1432000000,1413000000,1282000000,1001000000,1001000000,1013000000,1024000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1272000000,1721000000,1845000000,1630000000,1521000000,1531000000,1432000000,1413000000,1282000000,1001000000,1001000000,1013000000,1024000000
9,Other Expenses,207000000,218000000,226000000,226000000,227000000,227000000,226000000,226000000,204000000,162000000,162000000,161000000,159000000
10,Operating Expenses,1800000000,2346000000,2532000000,2320000000,2193000000,2137000000,1996000000,1914000000,1715000000,1367000000,1367000000,1381000000,1411000000
11,COGS and Expenses,4084000000,5234000000,5447000000,4905000000,4341000000,4009000000,3647000000,3371000000,2988000000,2679000000,2679000000,2674000000,2734000000
12,Interest Income ,- -,- -,5000000,3000000,- -,2000000,1000000,1000000,4000000,14000000,14000000,6000000,1000000
13,Interest Expense (Gain),409000000,487000000,460000000,432000000,467000000,459000000,452000000,471000000,246000000,237000000,237000000,226000000,222000000
14,Depreciation and Amortization,652000000,691000000,653000000,564000000,454000000,434000000,371000000,374000000,326000000,443000000,443000000,423000000,425000000
15,EBITDA,244000000,322000000,318000000,650000000,500000000,691000000,725000000,126000000,374000000,11000000,11000000,31000000,649000000
16,EBITDA ratio,0.0588,0.0636,0.0573,0.1257,0.1062,0.1581,0.1777,0.0340,0.1143,0.0038,0.0038,0.0108,0.2183
17,Operating Income,-420000000,-381000000,-94000000,115000000,77000000,197000000,371000000,-316000000,137000000,-473000000,-473000000,-455000000,180000000
18,Operating Income ratio,-0.1012,-0.0753,-0.0169,0.0222,0.0164,0.0451,0.0909,-0.0854,0.0419,-0.1638,-0.1638,-0.1584,0.0605
19,Total Other Income Expenses (Gains),-395000000,-472000000,-701000000,-461000000,-498000000,-461000000,-469000000,-403000000,-335000000,-196000000,-196000000,-163000000,-178000000
20,Income Before Tax,-815000000,-853000000,-795000000,-346000000,-421000000,-264000000,-98000000,-719000000,-198000000,-669000000,-669000000,-618000000,2000000
21,Income Before Tax Ratio,-0.1964,-0.1686,-0.1433,-0.0669,-0.0894,-0.0604,-0.0240,-0.1942,-0.0605,-0.2317,-0.2317,-0.2151,0.0007
22,Income Tax expense (Gain),30000000,18000000,68000000,8000000,-45000000,51000000,70000000,11000000,-16000000,2000000,2000000,62000000,15000000
23,Net Income,-847000000,-874000000,-863000000,-354000000,-376000000,-253000000,-168000000,-730000000,-182000000,-671000000,-671000000,-680000000,-13000000
24,Net Income ratio,-0.2041,-0.1727,-0.1556,-0.0685,-0.0799,-0.0579,-0.0412,-0.1972,-0.0556,-0.2324,-0.2324,-0.2367,-0.0044
25,EPS,-1.70,-1.88,-1.75,-0.85,-0.84,-0.60,-0.43,-1.41,-2.95,-6.06,-6.06,-7.45,-0.20
26,EPS Diluted,-1.70,-1.88,-1.75,-0.85,-0.84,-0.60,-0.43,-1.41,-2.95,-6.06,-6.06,-7.45,-0.20
27,Weighted Average Shares Outstanding,497300000,497300000,497300000,497300000,497300000,497300000,497300000,497300000,110000000,110800000,110800000,92200000,84500000
28,Weighted Average Shares Outstanding Diluted,497300000,497300000,497300000,497300000,497300000,497300000,497300000,497300000,110000000,110800000,110800000,92200000,84500000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1418100/000141810018000192/0001418100-18-000192-index.htm,https://www.sec.gov/Archives/edgar/data/1418100/000141810019000132/0001418100-19-000132-index.htm,https://www.sec.gov/Archives/edgar/data/1418100/000141810020000143/0001418100-20-000143-index.htm,https://www.sec.gov/Archives/edgar/data/1418100/000141810021000095/0001418100-21-000095-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,582000000,594000000,415000000,338000000,289000000,322000000,323000000,336000000,876000000,700000000,752000000,727000000,498000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,582000000,594000000,415000000,338000000,289000000,322000000,323000000,336000000,876000000,700000000,752000000,727000000,498000000
34,Net Receivables,655000000,792000000,755000000,782000000,716000000,745000000,678000000,584000000,536000000,377000000,501000000,571000000,307000000
35,Inventory,126000000,234000000,280000000,255000000,245000000,197000000,174000000,153000000,96000000,81000000,63000000,54000000,51000000
36,Other Current Assets,180000000,279000000,280000000,267000000,301000000,243000000,189000000,187000000,269000000,170000000,229000000,227000000,735000000
37,Total Current Assets,1543000000,1899000000,1730000000,1642000000,1551000000,1507000000,1364000000,1260000000,1777000000,1328000000,1545000000,1579000000,1591000000
38,PP&E,419000000,450000000,397000000,364000000,334000000,281000000,282000000,253000000,200000000,250000000,255000000,428000000,430000000
39,Goodwill,3695000000,4075000000,4079000000,4188000000,4092000000,4047000000,4074000000,3629000000,3542000000,2764000000,2103000000,1478000000,1480000000
40,Intangible Assets,2636000000,2603000000,2129000000,1775000000,1486000000,1224000000,970000000,617000000,311000000,3234000000,2891000000,2556000000,2235000000
41,Intangible Assets,6331000000,6678000000,6208000000,5963000000,5578000000,5271000000,5044000000,4246000000,3853000000,5998000000,4994000000,4034000000,3715000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,13000000,22000000,28000000,43000000,32000000,52000000,34000000,- -,- -,29000000,35000000,- -,40000000
44,Other Non-Current Assets,359000000,227000000,198000000,172000000,154000000,123000000,112000000,62000000,68000000,74000000,121000000,190000000,209000000
45,Total Non-Current Assets,7122000000,7377000000,6831000000,6542000000,6098000000,5727000000,5472000000,4561000000,4121000000,6351000000,5405000000,4652000000,4394000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,8665000000,9276000000,8561000000,8184000000,7649000000,7234000000,6836000000,5821000000,5898000000,7679000000,6950000000,6231000000,5985000000
48,Accounts Payable,321000000,464000000,465000000,438000000,408000000,416000000,379000000,338000000,282000000,266000000,291000000,242000000,295000000
49,Short-Term Debt,38000000,48000000,37000000,37000000,35000000,32000000,7000000,6018000000,725000000,29000000,29000000,49000000,98000000
