,https://roic.ai/company/ETON,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,- -,959000,39000,21832
2,COGS,- -,- -,453000,286000,2623
3,Gross Profit,- -,- -,506000,-247000,19209
4,Gross Profit Ratio,- -,- -,0.5276,-6.3333,0.8799
5,Research and Development Exp.,- -,5627000,11555000,14104000,6235
6,General and Administrative Exp.,- -,4694000,7552000,12760000,14469
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,4694000,7552000,12760000,14469
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,- -,10321000,19107000,26864000,20704
11,COGS and Expenses,- -,10321000,19560000,27150000,23327
12,Interest Income ,- -,164000,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,-1006
14,Depreciation and Amortization,- -,63000,447000,651000,- -
15,EBITDA,- -,-7675000,-17873000,-27319000,-2961
16,EBITDA ratio,- -,-Infinity,-18.6371,-700.4872,-0.1356
17,Operating Income,- -,-10321000,-18601000,-27111000,-1495000
18,Operating Income ratio,- -,-Infinity,-19.3962,-695.1538,-68.4775
19,Total Other Income Expenses (Gains),- -,-2419000,281000,-859000,1493045
20,Income Before Tax,- -,-12740000,-18320000,-27970000,-1955
21,Income Before Tax Ratio,- -,-Infinity,-19.1032,-717.1795,-0.0895
22,Income Tax expense (Gain),- -,- -,- -,- -,- -
23,Net Income,- -,-12740000,-18320000,-27970000,-1955
24,Net Income ratio,- -,-Infinity,-19.1032,-717.1795,-0.0895
25,EPS,- -,-5.80,-1.03,-1.33,-0.08
26,EPS Diluted,- -,-5.80,-1.03,-1.33,-0.08
27,Weighted Average Shares Outstanding,- -,6418000,17761000,21010000,25207000
28,Weighted Average Shares Outstanding Diluted,- -,6418000,17761000,21010000,25207000
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1710340/000149315220003451/0001493152-20-003451-index.htm,https://www.sec.gov/Archives/edgar/data/1710340/000149315221006122/0001493152-21-006122-index.htm,https://www.sec.gov/Archives/edgar/data/1710340/000149315222006990/0001493152-22-006990-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,13156000,26735000,12066000,21295000,14406000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,13156000,26735000,12066000,21295000,14406000
34,Net Receivables,- -,- -,473000,48000,5471000
35,Inventory,- -,- -,380000,1242000,550000
36,Other Current Assets,136000,767000,2090000,2116000,3177000
37,Total Current Assets,13292000,27502000,15009000,24701000,23604000
38,PP&E,119000,773000,1277000,1003000,219000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,575000,3621000
41,Intangible Assets,- -,- -,725000,575000,3621000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,32000,52000,61000,40000,21000
45,Total Non-Current Assets,151000,825000,2063000,1618000,3861000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,13443000,28327000,17072000,26319000,27465000
48,Accounts Payable,539000,1421000,575000,2344000,1774000
49,Short-Term Debt,- -,- -,- -,280000,1418000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,254000,603000,1388000,1170000,1366000
53,Total Current Liabilities,793000,2024000,1963000,3794000,4558000
54,Long-Term Debt,- -,- -,4540000,6763000,5277000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,520000,- -,19000,99000,- -
58,Total Non-Current Liabilities,520000,- -,4559000,6862000,5277000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,19000,99000,- -
61,Total Liabilities,1313000,2024000,6522000,10656000,9835000
62,Preferred Stock,19004000,- -,- -,- -,- -
63,Common Stock,6000,18000,18000,24000,25000
64,Retained Earnings,-8639000,-45868000,-64188000,-92158000,-94113000
65,Other Comprehensive Income/Loss,- -,- -,-345000,- -,- -
66,Other Total Stockholders Equity,1759000,72153000,75065000,107797000,111718000
67,Total Stockholders Equity,12130000,26303000,10550000,15663000,17630000
68,Total Liabilities And Stockholders Equity,13443000,28327000,17072000,26319000,27465000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,13443000,28327000,17072000,26319000,27465000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1710340/000149315220003451/0001493152-20-003451-index.htm,https://www.sec.gov/Archives/edgar/data/1710340/000149315221006122/0001493152-21-006122-index.htm,https://www.sec.gov/Archives/edgar/data/1710340/000149315222006990/0001493152-22-006990-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,- -,-12740000,-18320000,-27970000,-1955
74,Depreciation and Amortization,- -,63000,447000,651000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,1850000,1888000,2576000,15190000
77,Change in Working Capital,- -,99000,-12432000,7861000,-1861000
78,Accounts Receivable,- -,- -,-473000,425000,- -
79,Inventory,- -,- -,-380000,-862000,- -
80,Accounts Payable,- -,413000,-377000,1769000,- -
81,Other Working Capital,- -,25478000,13046000,20907000,19046000
82,Other Non-Cash Items,- -,2583000,10391000,-5464000,-13327045
83,Cash Provided by Operating Activities,- -,-8145000,-18026000,-22346000,- -
84,CAPEX,- -,-236000,-1846000,-50000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-750000,- -,- -
89,Cash Used for Investing Activites,- -,-236000,-1846000,-50000,- -
90,Debt Repayment,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,22803000,- -,28782000,44885000
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-843000,5203000,2843000,- -
95,Cash Used/Provided by Financing Activities,- -,21960000,5203000,31625000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,13579000,-14669000,9229000,- -
98,Cash at the End of Period,- -,26735000,12066000,21295000,- -
99,Cash at the Beginning of Period,- -,13156000,26735000,12066000,21295000
100,Free Cash Flow,- -,-8381000,-19872000,-22396000,- -
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1710340/000149315220003451/0001493152-20-003451-index.htm,https://www.sec.gov/Archives/edgar/data/1710340/000149315221006122/0001493152-21-006122-index.htm,https://www.sec.gov/Archives/edgar/data/1710340/000149315222006990/0001493152-22-006990-index.htm
102,false,,,,,
