,https://roic.ai/company/MNTK,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,116433000,107383000,100383000,148127000
2,COGS,51432000,60341000,18284000,- -
3,Gross Profit,65001000,47042000,82099000,148127000
4,Gross Profit Ratio,0.5583,0.4381,0.8179,1.0000
5,Research and Development Exp.,- -,- -,- -,- -
6,General and Administrative Exp.,11953000,13632000,16594000,42552000
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",11953000,13632000,16594000,42552000
9,Other Expenses,16195000,19760000,80208000,102240000
10,Operating Expenses,28148000,33392000,96802000,144792000
11,COGS and Expenses,79580000,93733000,115086000,- -
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),3083000,5576000,-4339000,2928000
14,Depreciation and Amortization,16195000,19760000,22117000,22869000
15,EBITDA,55841000,30802000,16385000,25430000
16,EBITDA ratio,0.4796,0.2868,0.1632,0.1717
17,Operating Income,35823000,11005000,3581000,3335000
18,Operating Income ratio,0.3077,0.1025,0.0357,0.0225
19,Total Other Income Expenses (Gains),740000,-5539000,-4974000,-3702000
20,Income Before Tax,36563000,5466000,-1393000,-367000
21,Income Before Tax Ratio,0.3140,0.0509,-0.0139,-0.0025
22,Income Tax expense (Gain),7796000,-354000,-5996000,4161000
23,Net Income,28767000,5820000,4603000,-4528000
24,Net Income ratio,0.2471,0.0542,0.0459,-0.0306
25,EPS,0.20,0.04,0.03,-0.03
26,EPS Diluted,0.20,0.04,0.03,-0.03
27,Weighted Average Shares Outstanding,140662713,140662713,140662713,141015213
28,Weighted Average Shares Outstanding Diluted,141057566,141057566,140662713,141048006
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1826600/000119312521102560/0001193125-21-102560-index.htm,https://www.sec.gov/Archives/edgar/data/1826600/000119312522077310/0001193125-22-077310-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,54032000,9788000,20992000,53266000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,54032000,9788000,20992000,53266000
34,Net Receivables,11023000,9968000,5449000,9338000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,1431000,2786000,6044000,12563000
37,Total Current Assets,66486000,22542000,32485000,75167000
38,PP&E,168418000,194267000,187046000,181198000
39,Goodwill,60000,60000,- -,- -
