,https://roic.ai/company/FHTX,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,- -,- -,430,1319
2,COGS,- -,- -,- -,- -
3,Gross Profit,- -,- -,430,- -
4,Gross Profit Ratio,- -,- -,1.0000,- -
5,Research and Development Exp.,21225000,44362000,57715,80325
6,General and Administrative Exp.,4824000,6722000,11246000,21728
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4824000,6722000,11246000,21728
9,Other Expenses,- -,- -,-11234754,- -
10,Operating Expenses,26049000,51084000,68961,102053
11,COGS and Expenses,26049000,51084000,68961,- -
12,Interest Income ,113000,495000,1001000,- -
13,Interest Expense (Gain),371000,540000,979,-1906
14,Depreciation and Amortization,379000,693000,1327000,- -
15,EBITDA,-25670000,-49896000,1259179,-103226
16,EBITDA ratio,-Infinity,-Infinity,2928.3233,-78.2608
17,Operating Income,-26049000,-51084000,-68531000,-100734000
18,Operating Income ratio,-Infinity,-Infinity,-159374.4186,-76371.4936
19,Total Other Income Expenses (Gains),-288000,-44000,68462200,100632680
20,Income Before Tax,-26337000,-51128000,-68800,-101320
21,Income Before Tax Ratio,-Infinity,-Infinity,-160.0000,-76.8158
22,Income Tax expense (Gain),- -,- -,- -,- -
23,Net Income,-26337000,-51128000,-68800,-101320
24,Net Income ratio,-Infinity,-Infinity,-160.0000,-76.8158
25,EPS,-1.34,-2.60,-6.23,-0.00
26,EPS Diluted,-1.34,-2.60,-6.23,-0.00
27,Weighted Average Shares Outstanding,19629444,19629444,11046802,36971767
28,Weighted Average Shares Outstanding Diluted,19629444,19629444,11046802,36971767
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1822462/000119312521085777/0001193125-21-085777-index.htm,https://www.sec.gov/Archives/edgar/data/1822462/000162828022005753/0001628280-22-005753-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,40019000,14981000,92795000,101136000
32,Short-Term Investments,- -,- -,92975000,- -
33,Cash and Short-Term Investments,40019000,14981000,185770000,101136000
34,Net Receivables,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,383000,1904000,4917000,358426000
37,Total Current Assets,40402000,16885000,190687000,459562000
38,PP&E,2090000,3713000,19528000,56079000
39,Goodwill,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -
42,Investments,- -,- -,92975000,53153000
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,566000,1744000,-47596000,-49020000
45,Total Non-Current Assets,2656000,5457000,64907000,60212000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,43058000,22342000,255594000,519774000
48,Accounts Payable,2014000,3439000,3680000,3819000
49,Short-Term Debt,- -,5512000,3981000,6994000
50,Tax Payable,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,2024000,28317000
52,Other Current Liabilities,1445000,3701000,9161000,9562000
53,Total Current Liabilities,3459000,12652000,18846000,48692000
54,Long-Term Debt,7029000,11117000,- -,51338000
55,Deferred Revenue,- -,- -,- -,322730000
56,Deferred Tax Liabilities,- -,- -,- -,- -
57,Other Non-Current Liabilities,71843000,86589000,- -,143000
58,Total Non-Current Liabilities,78872000,97706000,- -,374211000
59,Other Liabilities,- -,- -,90561000,- -
60,Capital Lease Obligations,- -,1517000,62342000,- -
61,Total Liabilities,82331000,110358000,109407000,422903000
62,Preferred Stock,- -,- -,- -,- -
