,https://roic.ai/company/BFI,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,- -,- -,- -,32578000
2,COGS,- -,- -,- -,- -,21550000
3,Gross Profit,- -,- -,- -,- -,11028000
4,Gross Profit Ratio,- -,- -,- -,- -,0.3385
5,Research and Development Exp.,- -,- -,- -,- -,2283000
6,General and Administrative Exp.,- -,- -,- -,- -,6925000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,6925000
9,Other Expenses,- -,- -,- -,- -,1062000
10,Operating Expenses,- -,- -,- -,- -,10270000
11,COGS and Expenses,- -,1176,553546,840321,31820000
12,Interest Income ,- -,- -,1871405,2409408,- -
13,Interest Expense (Gain),- -,- -,- -,- -,125000
14,Depreciation and Amortization,- -,- -,- -,- -,1062000
15,EBITDA,- -,-1176,-534148,-849097,1802000
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,0.0553
17,Operating Income,- -,-1176,-553546,-840321,760000
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,0.0233
19,Total Other Income Expenses (Gains),- -,- -,1852007,2418184,-125000
20,Income Before Tax,- -,-1176,1298461,1577863,635000
21,Income Before Tax Ratio,- -,-Infinity,Infinity,Infinity,0.0195
22,Income Tax expense (Gain),- -,- -,276750,416099,- -
23,Net Income,- -,-1176,1021711,1161764,615000
24,Net Income ratio,- -,-Infinity,Infinity,Infinity,0.0189
25,EPS,- -,-0.00,-0.17,-0.13,0.08
26,EPS Diluted,- -,-0.00,-0.17,-0.13,0.08
27,Weighted Average Shares Outstanding,- -,14820000,3499414,3808719,17441864
28,Weighted Average Shares Outstanding Diluted,- -,14820000,3499414,3808719,17441864
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1723580/000121390020008071/0001213900-20-008071-index.htm,https://www.sec.gov/Archives/edgar/data/1723580/000156459021021480/0001564590-21-021480-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,22002,205638,17862,36720000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,22002,205638,17862,36720000
34,Net Receivables,- -,- -,- -,- -,718000
35,Inventory,- -,- -,- -,- -,268000
36,Other Current Assets,- -,- -,89095,77323,6715000
37,Total Current Assets,- -,22002,294733,95185,44421000
38,PP&E,- -,- -,- -,- -,8004000
39,Goodwill,- -,- -,- -,- -,119542000
40,Intangible Assets,- -,- -,- -,- -,116824000
41,Intangible Assets,- -,- -,- -,- -,236366000
42,Investments,- -,- -,117740109,- -,- -
43,Tax Assets,- -,- -,- -,52268,- -
44,Other Non-Current Assets,- -,143199,- -,94541286,325000
45,Total Non-Current Assets,- -,143199,117740109,94593554,244695000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,165201,118034842,94688739,289116000
48,Accounts Payable,- -,1038,256301,329552,1678000
49,Short-Term Debt,- -,122839,- -,- -,4450000
50,Tax Payable,- -,- -,14852,- -,- -
51,Deferred Revenue,- -,- -,- -,56194,920000
52,Other Current Liabilities,- -,17500,14852,- -,2110000
