,https://roic.ai/company/ALLT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,6139000,8765000,14755000,18085000,22972000,34144000,32502000,37101000,41751000,56972000,77753000,104752000,96545000,117186000,99967000,90369000,81992000,95837000,110100000,135922000,145600000
2,COGS,2062000,2184000,- -,4621000,5419000,7597000,8019000,9696000,11835000,15985000,22175000,46923000,26818000,34739000,33427000,27895000,28530000,29349000,33834000,40082000,44553000
3,Gross Profit,4077000,6581000,- -,13464000,17553000,26547000,24483000,27405000,29916000,40987000,55578000,57829000,69727000,82447000,66540000,62474000,53462000,66488000,76266000,95840000,101047000
4,Gross Profit Ratio,0.6641,0.7508,- -,0.7445,0.7641,0.7775,0.7533,0.7387,0.7165,0.7194,0.7148,0.5521,0.7222,0.7036,0.6656,0.6913,0.6520,0.6938,0.6927,0.7051,0.6940
5,Research and Development Exp.,4534000,2897000,- -,3957000,5925000,7529000,9384000,11964000,9265000,11264000,13222000,22060000,27022000,29014000,26422000,24221000,21852000,25418000,31461000,43447000,47093000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,6174000,5541000,5473000,7474000,10664000,9952000,11941000,12702000,9812000,10696000,10416000,6678000,13894000,15145000
7,Selling and Marketing Exp.,7295000,6856000,- -,- -,- -,- -,- -,19781000,20408000,22021000,26543000,34127000,39817000,44599000,43318000,35290000,38316000,40849000,47105000,47528000,52337000
8,"Selling, General and Administrative Exp.",7295000,6856000,- -,12185000,14267000,18921000,23664000,25955000,25949000,27494000,34017000,44791000,49769000,56540000,56020000,45102000,49012000,51265000,53783000,61422000,67482000
9,Other Expenses,2739000,1679000,- -,366000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,14568000,11432000,- -,16508000,20192000,26450000,33048000,37919000,35214000,38758000,47239000,66851000,76791000,85554000,82442000,69323000,70864000,76683000,85244000,104869000,114575000
11,COGS and Expenses,16630000,13616000,- -,21129000,25611000,34047000,41067000,47615000,47049000,54743000,69414000,113774000,103609000,120293000,115869000,97218000,99394000,106032000,119078000,144951000,159128000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,2571000,914000,492000,661000,1746000,1358000,1900000,2174000,2466000,2513000,2696000,2551000,1754000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,335000,- -,216000,16000,212000,584000,1066000,1278000,1221000,1017000,793000,257000,128000,- -
14,Depreciation and Amortization,- -,- -,- -,1239000,632000,963000,1524000,2107000,2584000,2700000,2878000,5067000,6338000,5166000,5708000,4043000,3668000,3834000,4054000,4312000,5576000
15,EBITDA,-10524000,-5345000,-2280000,-2046000,-1962000,1690000,-7886000,-13833000,-5025000,-2762000,11648000,-2385000,585000,3785000,-9500000,-526000,-11823000,-3360000,-2707000,-2732000,-7613000
16,EBITDA ratio,-1.7143,-0.6098,-0.1545,-0.1131,-0.0854,0.0495,-0.2426,-0.3728,-0.1204,-0.0485,0.1498,-0.0228,0.0061,0.0323,-0.0950,-0.0058,-0.1442,-0.0351,-0.0246,-0.0201,-0.0523
17,Operating Income,-10491000,-4851000,- -,-3044000,-2639000,97000,-8565000,-10758000,-5298000,2229000,8339000,-9022000,-7064000,-3107000,-15902000,-6849000,-17402000,-10195000,-8978000,-9029000,-13528000
18,Operating Income ratio,-1.7089,-0.5535,- -,-0.1683,-0.1149,0.0028,-0.2635,-0.2900,-0.1269,0.0391,0.1072,-0.0861,-0.0732,-0.0265,-0.1591,-0.0758,-0.2122,-0.1064,-0.0815,-0.0664,-0.0929
19,Total Other Income Expenses (Gains),-29000,-490000,- -,-241000,45000,630000,-845000,-5517000,-2311000,-7907000,415000,1358000,727000,660000,-584000,1059000,894000,2208000,1960000,1857000,339000
20,Income Before Tax,-10520000,-5341000,- -,-3285000,-2594000,727000,-9410000,-16275000,-7609000,-5678000,8754000,-7664000,-6337000,-2447000,-16486000,-5790000,-16508000,-7987000,-7018000,-7172000,-13189000
21,Income Before Tax Ratio,-1.7136,-0.6094,- -,-0.1816,-0.1129,0.0213,-0.2895,-0.4387,-0.1822,-0.0997,0.1126,-0.0732,-0.0656,-0.0209,-0.1649,-0.0641,-0.2013,-0.0833,-0.0637,-0.0528,-0.0906
22,Income Tax expense (Gain),-2000,-2000,- -,3000,-218000,111000,530000,220000,63000,84000,-55000,-926000,120000,50000,3356000,2204000,1564000,2428000,1641000,2176000,1851000
23,Net Income,-10522000,-5343000,-2280000,-3288000,-2376000,616000,-9940000,-16495000,-7672000,-5762000,8809000,-6738000,-6457000,-2497000,-19842000,-7994000,-18072000,-10415000,-8659000,-9348000,-15040000
24,Net Income ratio,-1.7140,-0.6096,-0.1545,-0.1818,-0.1034,0.0180,-0.3058,-0.4446,-0.1838,-0.1011,0.1133,-0.0643,-0.0669,-0.0213,-0.1985,-0.0885,-0.2204,-0.1087,-0.0786,-0.0688,-0.1033
25,EPS,-4.02,-1.94,-0.82,-1.18,-0.81,0.04,-0.46,-0.75,-0.35,-0.25,0.35,-0.21,-0.20,-0.08,-0.59,-0.24,-0.54,-0.31,-0.25,-0.27,-0.43
26,EPS Diluted,-4.02,-1.94,-0.82,-1.18,-0.81,0.04,-0.46,-0.75,-0.35,-0.25,0.33,-0.21,-0.20,-0.08,-0.59,-0.24,-0.54,-0.31,-0.25,-0.27,-0.43
27,Weighted Average Shares Outstanding,2620442,2756954,2774639,2787554,2943500,14402338,21525822,22054211,22185702,22831014,25047771,31959921,32680766,33143168,33419917,33202309,33253158,33710507,34250582,35007201,35007201
28,Weighted Average Shares Outstanding Diluted,2620442,2756954,2774639,2787554,2943500,16423227,21525822,22054211,22185702,22831014,27071872,31959921,32680766,33143168,33419917,33202309,33253158,33710507,34250582,35007201,35007201
