,https://roic.ai/company/LPTH,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,200000,700000,800000,1100000,2266264,26143156,12506582,6785244,8331671,11753968,12172587,13352048,8826471,7489545,9250621,10000602,11284869,11783539,11834116,13661569,17272238,28367489,32525471,33749088,34967963,38464821
2,COGS,-100000,- -,- -,- -,637508,15283694,15156619,8148717,6283349,9395935,10119458,10306046,7595398,5446518,4935755,6078829,7250098,6608288,6444699,7682194,7967728,13648030,19997740,21230168,21125464,25017051
3,Gross Profit,300000,- -,- -,- -,1628756,10859462,-2650037,-1363473,2048322,2358033,2053129,3046002,1231073,2043027,4314866,3921773,4034771,5175251,5389417,5979375,9304510,14719459,12527731,12518920,13842499,13447770
4,Gross Profit Ratio,1.5000,- -,- -,- -,0.7187,0.4154,-0.2119,-0.2009,0.2458,0.2006,0.1687,0.2281,0.1395,0.2728,0.4664,0.3922,0.3575,0.4392,0.4554,0.4377,0.5387,0.5189,0.3852,0.3709,0.3959,0.3496
5,Research and Development Exp.,- -,800000,600000,600000,1449347,7089931,7095649,2801709,1022299,985357,1038390,1174132,1214269,887400,869440,995087,1045535,939025,1215472,1109095,668840,1235934,1618994,2016615,1714077,2165951
6,General and Administrative Exp.,1900000,2800000,3500000,2900000,9087009,30456135,16378251,6492065,5170996,4228342,4434704,4515579,5440366,3636093,3259551,3771643,3880667,3990927,4514413,5132730,6581218,8651023,9218346,10498651,8961150,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1900000,2800000,3500000,2900000,9087009,30456135,16378251,6492065,5170996,4228342,4434704,4515579,5440366,3636093,3259551,3771643,3880667,3990927,4514413,5132730,6581218,8651023,9218346,10498651,8961150,11989597
9,Other Expenses,1000000,200000,300000,400000,3090322,13566807,7889741,8655210,1826259,569555,50401,32868,35935,27624,23730,32868,32868,32868,35397,- -,- -,693947,1317082,1220664,1129341,1125083
10,Operating Expenses,2900000,3800000,4400000,3900000,13626678,51112873,31363641,17948984,8019554,5783254,5523495,5722579,6690570,4551117,4152721,4799598,4959070,4962820,5765282,6241825,7250058,10580904,12154422,13735930,11804568,15280631
11,COGS and Expenses,2800000,3800000,4400000,3900000,14264186,66396567,46520260,26097701,14302903,15179189,15642953,16028625,14285968,9997635,9088476,10878427,12209168,11571108,12209981,13924019,15217786,24228934,32152162,34966098,32930032,40297682
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1336520,727937,606255,92027,100317,36681,31549,37627,413427,186948,697113,339446,215354
14,Depreciation and Amortization,1000000,200000,300000,400000,3090322,16261789,10922531,4324085,3043201,1669724,791147,472222,459351,565988,700475,912929,1124038,813234,666322,537143,847990,2080439,3403581,3464156,3424438,3509436
15,EBITDA,-1900000,-2800000,-4000000,-3200000,-12519745,-44501572,-39760806,-16867838,-2555206,-1810081,-2577734,-2142407,-5008418,-1920552,867453,-82779,351198,1128873,389754,-146588,2499507,5855652,3823556,1936152,5394811,1473454
16,EBITDA ratio,-9.5000,-4.0000,-5.0000,-2.9091,-5.5244,-1.7022,-3.1792,-2.4860,-0.3067,-0.1540,-0.2118,-0.1605,-0.5674,-0.2564,0.0938,-0.0083,0.0311,0.0958,0.0329,-0.0107,0.1447,0.2064,0.1176,0.0574,0.1543,0.0383
17,Operating Income,-2600000,-3100000,-3600000,-2800000,-11997922,-49353411,-34013678,-19312457,-5972998,-3425221,-3470365,-2676577,-5459497,-2508090,162145,-857345,-924299,210158,-376415,-260968,2009415,4137111,373567,-1139963,2145211,-1841812
18,Operating Income ratio,-13.0000,-4.4286,-4.5000,-2.5455,-5.2941,-1.8878,-2.7197,-2.8462,-0.7169,-0.2914,-0.2851,-0.2005,-0.6185,-0.3349,0.0175,-0.0857,-0.0819,0.0178,-0.0318,-0.0191,0.1163,0.1458,0.0115,-0.0338,0.0613,-0.0479
19,Total Other Income Expenses (Gains),100000,100000,-700000,-700000,-3137048,-20436429,-16465808,-5581001,494128,-43250,9134,120390,75462,21550,4833,-117883,151459,5164,63166,-454312,-395525,-775325,-140540,-1085154,-514284,-409524
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,215322,-313249,-715280,1613890,3361786,233027,-2225117,1630927,-2251336
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0183,-0.0265,-0.0524,0.0934,0.1185,0.0072,-0.0659,0.0466,-0.0585
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,199275,-4341300,-827077,455206,763998,933915
23,Net Income,-2900000,-3000000,-4300000,-3600000,-15610067,-60763361,-50683337,-21191923,-5598407,-3479805,-3368881,-2614629,-5467769,-3823060,-560959,-1601963,-864867,215322,-313249,-715280,1414615,7703086,1060104,-2680323,866929,-3185251
