,https://roic.ai/company/BRGO,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,975354,1445570,1621011,2017614,1999496,1067540,1107663,557375,635948,608790,600981,584806,10997988
2,COGS,- -,690708,812831,926684,1159557,1292538,920359,704274,403771,444912,369058,221105,243688,4803813
3,Gross Profit,- -,284646,632739,694327,858057,706958,147181,403389,153604,191036,239732,379876,341118,6194175
4,Gross Profit Ratio,- -,0.2918,0.4377,0.4283,0.4253,0.3536,0.1379,0.3642,0.2756,0.3004,0.3938,0.6321,0.5833,0.5632
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,36941,576708,636906,- -,559898,- -,- -,- -,- -,- -,- -,- -,- -,955688
7,Selling and Marketing Exp.,- -,212709,317463,412276,224973,- -,- -,- -,- -,- -,- -,- -,- -,4091542
8,"Selling, General and Administrative Exp.",36941,789417,954369,412276,784871,1425464,1337902,1311784,685437,464595,515146,525952,604852,5047230
9,Other Expenses,- -,- -,- -,523058,- -,- -,- -,- -,- -,- -,- -,- -,- -,2625686
10,Operating Expenses,- -,789417,954369,935334,784871,1425464,1337902,1311784,685437,464595,515146,525952,604852,7672916
11,COGS and Expenses,36941,1480125,1767200,1862018,1944428,2718002,2258261,2016058,1089208,909507,884204,747057,848540,12476729
12,Interest Income ,- -,- -,- -,- -,828,- -,- -,- -,- -,- -,- -,- -,- -,1390
13,Interest Expense (Gain),- -,93350,663400,66332,67274,80155,193026,106476,88610,104349,141900,153539,305504,574461
14,Depreciation and Amortization,- -,65195,54282,43031,22261,18836,32218,134152,402379,103438,101708,56659,44418,264929
15,EBITDA,-36941,-439180,-121317,-298965,-298899,-736749,-1295517,-916252,-63979,8002,-173706,-2824845,201872,-2722795
16,EBITDA ratio,-Infinity,-0.4503,-0.0839,-0.1844,-0.1481,-0.3685,-1.2136,-0.8272,-0.1148,0.0126,-0.2853,-4.7004,0.3452,-0.2476
17,Operating Income,-36941,-504771,-321630,-241007,73186,-718506,-1190721,-908395,-790290,-273559,-275414,-146076,-263734,-1478741
18,Operating Income ratio,-Infinity,-0.5175,-0.2225,-0.1487,0.0363,-0.3593,-1.1154,-0.8201,-1.4179,-0.4302,-0.4524,-0.2431,-0.4510,-0.1345
19,Total Other Income Expenses (Gains),- -,-92954,146031,-100989,-461620,-117234,-330040,-251778,46220,73774,-141900,-2888967,115684,-2083444
20,Income Before Tax,- -,-597725,- -,- -,-388434,-835740,-1520761,-1160173,-744070,-199785,-417314,-3035043,-148050,-3562185
21,Income Before Tax Ratio,- -,-0.6128,- -,- -,-0.1925,-0.4180,-1.4245,-1.0474,-1.3350,-0.3142,-0.6855,-5.0501,-0.2532,-0.3239
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-923629
23,Net Income,-36941,-597725,-838999,-408328,-388434,-835740,-1520761,-1156880,-554968,-199785,-417314,-3035043,-148050,-2638556
24,Net Income ratio,-Infinity,-0.6128,-0.5804,-0.2519,-0.1925,-0.4180,-1.4245,-1.0444,-0.9957,-0.3142,-0.6855,-5.0501,-0.2532,-0.2399
25,EPS,-100000.40,-1200004.80,-838999.00,-102082.00,-10789.83,-3439.26,-2057.86,-500.00,-12.66,-0.70,-0.84,-0.83,-0.00,-0.03
26,EPS Diluted,-100000.40,-1200004.80,-838999.00,-102082.00,-10789.83,-3439.26,-2057.86,-500.00,-12.66,-0.70,-0.84,-0.83,-0.00,-0.03
27,Weighted Average Shares Outstanding,1,1,1,4,36,243,739,2401,43847,283698,496752,3641196,86018507,86018507
28,Weighted Average Shares Outstanding Diluted,1,1,1,4,36,243,739,2401,43847,283698,496752,3641196,86018507,86018507
