,https://roic.ai/company/SAFE,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,18565000,21743000,- -,49724000,93396000,155427000,187014000
2,COGS,217000,861000,- -,16989000,32541000,2480000,2663000
3,Gross Profit,18348000,20882000,- -,32735000,60855000,152947000,184351000
4,Gross Profit Ratio,0.9883,0.9604,- -,0.6583,0.6516,0.9840,0.9858
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,2262000,2883000,- -,10662000,14435000,22733000,28753000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2262000,2883000,- -,10662000,14435000,22733000,28753000
9,Other Expenses,3140000,3142000,- -,9142000,9379000,9433000,9562000
10,Operating Expenses,5402000,6025000,- -,19804000,23814000,32166000,38315000
11,COGS and Expenses,5619000,6886000,- -,36793000,56355000,34646000,40978000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),7229000,8242000,- -,15389000,29868000,64354000,79707000
14,Depreciation and Amortization,3472000,3142000,8603000,11660000,11888000,12081000,11986000
15,EBITDA,16050000,17999000,- -,38789000,69449000,135729000,164816000
16,EBITDA ratio,0.8645,0.8278,- -,0.7801,0.7436,0.8733,0.8813
17,Operating Income,5717000,14857000,- -,11936000,36142000,56184000,65461000
18,Operating Income ratio,0.3079,0.6833,- -,0.2400,0.3870,0.3615,0.3500
19,Total Other Income Expenses (Gains),- -,-8242000,- -,- -,-2414000,3304000,7896000
20,Income Before Tax,5717000,6615000,- -,11936000,33728000,59488000,73357000
21,Income Before Tax Ratio,0.3079,0.3042,- -,0.2400,0.3611,0.3827,0.3923
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -
23,Net Income,5349000,6615000,- -,11740000,27693000,59294000,73123000
24,Net Income ratio,0.2881,0.3042,- -,0.2361,0.2965,0.3815,0.3910
25,EPS,0.29,0.14,- -,0.64,0.89,1.17,1.37
26,EPS Diluted,0.29,0.14,- -,0.64,0.89,1.17,1.37
27,Weighted Average Shares Outstanding,18190000,18190000,18218000,18218000,31008000,50688000,53498000
28,Weighted Average Shares Outstanding Diluted,18190000,18190000,18218000,18218000,31008000,50697000,53511000
