,https://roic.ai/company/BCDA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,3147886,3400000,3800000,4200000,3987928,3866058,3957069,4078119,3759372,- -,- -,- -,1268000,1869000,- -,12000,62000,268000,427000,517000,576000,479000,625000,710000,145000,1015000
2,COGS,- -,727613,800000,900000,1000000,898166,952263,971255,1006562,860325,- -,- -,- -,197000,380000,- -,- -,- -,- -,- -,- -,746000,690000,517000,358000,4000,- -
3,Gross Profit,- -,2420273,2600000,2900000,3200000,3089762,2913795,2985814,3071557,2899047,- -,- -,- -,1071000,1489000,- -,12000,62000,268000,427000,517000,-170000,-211000,108000,352000,141000,- -
4,Gross Profit Ratio,- -,0.7689,0.7647,0.7632,0.7619,0.7748,0.7537,0.7546,0.7532,0.7712,- -,- -,- -,0.8446,0.7967,- -,1.0000,1.0000,1.0000,1.0000,1.0000,-0.2951,-0.4405,0.1728,0.4958,0.9724,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1332000,1003000,- -,- -,- -,- -,- -,- -,3330000,5799000,8453000,8562000,9809000,8558000
6,General and Administrative Exp.,- -,2214044,3200000,4000000,4300000,4899831,4931759,4138362,- -,- -,- -,- -,- -,- -,- -,583000,- -,401000,259000,196000,198000,- -,- -,- -,- -,5861000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,2214044,3200000,4000000,4300000,4899831,4931759,4138362,- -,- -,- -,- -,- -,3914000,- -,583000,- -,401000,259000,196000,198000,- -,- -,- -,- -,5861000,5087000
9,Other Expenses,- -,- -,100000,100000,100000,115445,- -,- -,3575294,3678731,101483,92804,79802,- -,5588000,- -,630000,- -,- -,- -,- -,4108000,6395000,5757000,6003000,- -,- -
10,Operating Expenses,- -,2214044,3300000,4100000,4400000,5015276,4931759,4138362,3575294,3678731,101483,92804,79802,5246000,6591000,583000,630000,401000,259000,196000,198000,7438000,12194000,14210000,14565000,15670000,13645000
11,COGS and Expenses,- -,2941657,4100000,5000000,5400000,5913442,5884022,5109617,4581856,4539056,101483,92804,79802,5443000,6971000,583000,630000,401000,259000,196000,198000,8184000,12884000,14727000,14923000,15674000,13645000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1697,5372,4358,- -,- -,- -,11000,- -,10000,3000,3000,- -,95000,118000,87000,21000,9000
13,Interest Expense (Gain),- -,32000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000,- -,- -,- -,- -,- -,- -,- -,112000,3000,- -
14,Depreciation and Amortization,- -,49744,100000,100000,100000,115445,107912,101826,84933,71080,- -,- -,- -,561000,1207000,967000,- -,- -,- -,- -,- -,39000,78000,88000,111000,68000,60000
15,EBITDA,- -,220868,-500000,-500000,-1200000,-1428654,-2070796,-1125656,-394578,-651624,-101483,-92804,-79802,-5239000,-3871000,384000,9687000,305000,19000,234000,322000,-10271000,-12230000,-13899000,-14486000,-14933000,-12563000
16,EBITDA ratio,- -,0.0702,-0.1471,-0.1316,-0.2857,-0.3582,-0.5356,-0.2845,-0.0968,-0.1733,-Infinity,-Infinity,-Infinity,-4.1317,-2.0712,Infinity,807.2500,4.9194,0.0709,0.5480,0.6228,-17.8316,-25.5324,-22.2384,-20.4028,-102.9862,-12.3773
17,Operating Income,- -,206229,-700000,-1200000,-1200000,-1925514,-2017964,-1152548,-503737,-779684,-101483,-92804,-79802,-5632000,-5102000,-583000,-618000,-339000,9000,231000,319000,-7608000,-12405000,-14102000,-14213000,-15529000,- -
18,Operating Income ratio,- -,0.0655,-0.2059,-0.3158,-0.2857,-0.4828,-0.5220,-0.2913,-0.1235,-0.2074,-Infinity,-Infinity,-Infinity,-4.4416,-2.7298,-Infinity,-51.5000,-5.4677,0.0336,0.5410,0.6170,-13.2083,-25.8977,-22.5632,-20.0183,-107.0966,- -
19,Total Other Income Expenses (Gains),- -,-67105,- -,500000,-100000,381415,56839,-74934,24226,56980,- -,- -,- -,-168000,24000,27000,-14000,8000,10000,3000,3000,-2702000,97000,115000,-496000,525000,- -
20,Income Before Tax,- -,139124,- -,- -,- -,- -,-1961125,- -,-479511,-722704,- -,- -,- -,-5800000,-5078000,-556000,-632000,-331000,19000,234000,322000,-10310000,-12308000,-13987000,-14709000,-15004000,-12623000
21,Income Before Tax Ratio,- -,0.0442,- -,- -,- -,- -,-0.5073,- -,-0.1176,-0.1922,- -,- -,- -,-4.5741,-2.7170,-Infinity,-52.6667,-5.3387,0.0709,0.5480,0.6228,-17.8993,-25.6952,-22.3792,-20.7169,-103.4759,-12.4365
22,Income Tax expense (Gain),- -,3525,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,135599,-600000,-600000,-1300000,-1544099,-2178708,-1227482,-479511,-722704,-812341,-92804,-75444,-5800000,-5078000,-11509000,9662000,305000,19000,234000,322000,-10310000,-12308000,-13987000,-14709000,-15004000,-12623000
24,Net Income ratio,- -,0.0431,-0.1765,-0.1579,-0.3095,-0.3872,-0.5635,-0.3102,-0.1176,-0.1922,-Infinity,-Infinity,-Infinity,-4.5741,-2.7170,-Infinity,805.1667,4.9194,0.0709,0.5480,0.6228,-17.8993,-25.6952,-22.3792,-20.7169,-103.4759,-12.4365
25,EPS,- -,37.80,-124.21,-102.61,-210.62,-253.83,-891.09,-156.60,-61.20,-97.20,-97.20,-10.80,-10.80,-3.24,-2.16,-5.40,4.32,0.14,0.01,0.11,0.15,-10.80,-2.88,-3.24,-2.61,-1.48,-1.25
26,EPS Diluted,- -,37.80,-124.21,-102.61,-210.62,-253.83,-891.09,-156.60,-61.20,-97.20,-97.20,-10.80,-10.80,-3.24,-2.16,-5.40,4.32,0.14,0.01,0.11,0.15,-10.80,-2.88,-3.24,-2.61,-1.48,-1.25
27,Weighted Average Shares Outstanding,- -,3606,5114,6175,6180,6512,2652,7861,7823,7823,8254,9193,9193,1562603,1920872,2132333,2132333,2132333,2132333,2132333,2132333,929804,4240056,4264174,5644328,10118682,10118682
28,Weighted Average Shares Outstanding Diluted,- -,3606,5280,6175,6353,6512,2652,7861,7823,7823,8254,9193,9193,1562603,1920872,2132333,2132333,2132333,2132333,2132333,2132333,929804,4240056,4264174,5644328,10118682,10118682
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/925741/000114420407050545/v088114_10ksb.htm,- -,https://www.sec.gov/Archives/edgar/data/925741/000113626110000078/0001136261-10-000078-index.html,https://www.sec.gov/Archives/edgar/data/925741/000113626111000181/form10k.htm,https://www.sec.gov/Archives/edgar/data/925741/000113626112000180/0001136261-12-000180-index.html,https://www.sec.gov/Archives/edgar/data/925741/000113626113000152/0001136261-13-000152-index.html,https://www.sec.gov/Archives/edgar/data/925741/000113626114000123/form10k.htm,https://www.sec.gov/Archives/edgar/data/925741/000113626115000089/form10k.htm,https://www.sec.gov/Archives/edgar/data/925741/000113626116000427/0001136261-16-000427-index.html,https://www.sec.gov/Archives/edgar/data/925741/000143774917005643/0001437749-17-005643-index.html,https://www.sec.gov/Archives/edgar/data/925741/000143774918004870/0001437749-18-004870-index.html,https://www.sec.gov/Archives/edgar/data/925741/000143774919006300/0001437749-19-006300-index.html,https://www.sec.gov/Archives/edgar/data/925741/000143774920007405/bcda20191231_10k.htm,https://www.sec.gov/Archives/edgar/data/925741/000143774921007543/0001437749-21-007543-index.htm,https://www.sec.gov/Archives/edgar/data/925741/000143774922007544/0001437749-22-007544-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,31474,200000,1400000,1800000,5976439,2558372,1917066,1798786,730869,870684,129220,82097,3095000,4973000,127000,12678000,13268000,13295000,13509000,13840000,21352000,12689000,5358000,5585000,21407000,12872000
32,Short-Term Investments,- -,- -,- -,- -,400000,601188,402807,319600,181063,537191,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
