,https://roic.ai/company/HMMR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,87690,- -,2706850,1781139,2199127
2,COGS,- -,- -,- -,- -,- -,- -,23980,- -,2183580,1156996,1586357
3,Gross Profit,- -,- -,- -,- -,- -,- -,63710,- -,523270,624143,612770
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,0.7265,- -,0.1933,0.3504,0.2786
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,20000,20000,30000,448310,1704010,4884650,- -,893310,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,20000,20000,30000,448310,1704010,4884650,- -,893310,- -,- -
9,Other Expenses,10000,-1340,1223,3584,-354860,295571,146084,5586525,42405,901808,749778
10,Operating Expenses,10000,18660,21223,33584,93450,1999581,5030734,5586525,935715,901808,749778
11,COGS and Expenses,10000,20000,20000,30000,453440,2006470,5780730,- -,3119300,2058804,2336135
12,Interest Income ,- -,- -,- -,- -,- -,2841,7642,7060,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,201684,351643,391227,27715,31843,30797
14,Depreciation and Amortization,- -,- -,- -,- -,5120,297457,872103,1041958,42410,44454,55389
15,EBITDA,-10000,-20000,-20000,-30000,-448320,-1704010,-4811444,-5123853,-7726395,-848054,2559800
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-54.8688,-Infinity,-2.8544,-0.4761,1.1640
17,Operating Income,-10000,-18660,-21223,-33584,-93450,-1999581,-4943042,-5170220,-412445,-277665,-119017
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-56.3695,-Infinity,-0.1524,-0.1559,-0.0541
19,Total Other Income Expenses (Gains),- -,-1340,1223,3584,-359990,-188519,-1092148,- -,-55925,-32614,161763
20,Income Before Tax,-10000,-20000,-20000,-30000,-453440,-2188100,-6035190,- -,-468370,-310279,42746
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-68.8242,- -,-0.1730,-0.1742,0.0194
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-10000,-20000,-20000,-30000,-453440,-2188100,-6035190,-5515080,-7796520,-924351,2473614
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-68.8242,-Infinity,-2.8803,-0.5190,1.1248
25,EPS,-0.00,-0.25,-0.25,-0.38,-4.68,-0.04,-0.10,-0.11,-0.13,-0.02,0.04
26,EPS Diluted,-0.00,-0.25,-0.25,-0.38,-4.68,-0.04,-0.10,-0.11,-0.13,-0.02,0.04
27,Weighted Average Shares Outstanding,73790000,75000,75000,75000,75000,59821788,60503341,52400747,60503341,60503341,60853341
28,Weighted Average Shares Outstanding Diluted,73790000,75000,75000,75000,75416,59821788,60503341,52400747,60503341,60503341,60853341
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1539680/000151116413000489/0001511164-13-000489-index.html,https://www.sec.gov/Archives/edgar/data/1539680/000151116414000663/0001511164-14-000663-index.htm,https://www.sec.gov/Archives/edgar/data/1539680/000151116415000527/0001511164-15-000527-index.htm,https://www.sec.gov/Archives/edgar/data/1539680/000107878217000326/0001078782-17-000326-index.htm,https://www.sec.gov/Archives/edgar/data/1539680/000107878217001507/0001078782-17-001507-index.htm,https://www.sec.gov/Archives/edgar/data/1539680/000107878218001355/0001078782-18-001355-index.htm,https://www.sec.gov/Archives/edgar/data/1539680/000107878219000871/0001078782-19-000871-index.htm,https://www.sec.gov/Archives/edgar/data/1539680/000107878220000851/0001078782-20-000851-index.htm,https://www.sec.gov/Archives/edgar/data/1539680/000106299321009979/0001062993-21-009979-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,70000,60000,40000,10000,1384530,563750,528380,- -,96610,73931,77706
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,233240,- -,- -
33,Cash and Short-Term Investments,70000,60000,40000,10000,1384530,563750,528380,- -,329850,73931,77706
34,Net Receivables,- -,- -,- -,- -,- -,815000,7490,- -,634220,431350,285006
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,82020,31840,- -,80360,59243,25790
37,Total Current Assets,70000,60000,40000,10000,1384530,1460770,567710,- -,1044430,564524,388502
38,PP&E,- -,- -,- -,- -,1227090,5122380,5005020,- -,215240,140758,155939
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,10550,18930,18930,- -,2914620,- -,- -
41,Intangible Assets,- -,- -,- -,- -,10550,18930,18930,- -,2914620,3156656,3113508
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,235000,247950,4656140,1308380,1281313,1243090
45,Total Non-Current Assets,- -,- -,- -,- -,1237640,5376310,5271900,4656140,4438240,4578727,4512537
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9025944
47,Total Assets,70000,60000,40000,10000,2622170,6837080,5839610,4656140,5482670,5143251,4901909
48,Accounts Payable,- -,10000,10000,20000,- -,651220,111610,- -,- -,- -,- -
