,https://roic.ai/company/CEMI,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,1,- -,- -,- -,3305932,3940730,6502480,9230948,11049571,13834248,16704703,19388036,25610595,29549609,27645284,24255485,17868841,24015427,33409251,34464032,30451273,47818452
2,COGS,- -,- -,- -,- -,- -,2485593,2608584,4485912,5368645,7197850,7973843,8604004,9997733,14820604,17249450,16831261,13768658,9417505,12921157,21427243,22394317,23874487,34495802
3,Gross Profit,- -,1,- -,- -,- -,820339,1332146,2016568,3862303,3851721,5860405,8100699,9390303,10789991,12300159,10814023,10486827,8451336,11094270,11982008,12069715,6576786,13322650
4,Gross Profit Ratio,- -,1.0000,- -,- -,- -,0.2481,0.3380,0.3101,0.4184,0.3486,0.4236,0.4849,0.4843,0.4213,0.4163,0.3912,0.4323,0.4730,0.4620,0.3586,0.3502,0.2160,0.2786
5,Research and Development Exp.,- -,- -,- -,- -,- -,1433403,1364898,1401472,1906653,2605343,2883696,2586308,4878119,4486302,5834249,4832537,6377839,8427554,8555381,8526256,8538416,9508494,12487424
6,General and Administrative Exp.,- -,128829,- -,44284,- -,- -,- -,- -,- -,- -,- -,- -,- -,3549392,4479814,5725746,6148137,- -,- -,- -,- -,21038,- -
7,Selling and Marketing Exp.,- -,- -,- -,765,- -,- -,- -,- -,- -,- -,- -,- -,- -,1274195,1014719,1777993,1514898,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,128829,- -,45049,- -,2490298,- -,- -,- -,- -,- -,- -,- -,4823587,5494533,7503739,7663035,- -,- -,- -,- -,21038,24840611
9,Other Expenses,- -,1941,6734,- -,7123,- -,3265235,5211289,4831814,3317046,2659382,2940721,3424297,28000,-33450,28000,- -,7595559,9021439,11100775,16138424,18997739,- -
10,Operating Expenses,- -,130770,6734,- -,7123,3923701,4630133,6612761,6738467,5922389,5543078,5527029,8302416,9337889,11295332,12364276,14040874,16023113,17576820,19627031,24676840,28527271,37328035
11,COGS and Expenses,- -,130770,6734,47016,7123,6409294,7238717,11098673,12107112,13120239,13516921,14131033,18300149,24158493,28544782,29195537,27809532,25440618,30497977,41054274,47071157,52401758,71823837
12,Interest Income ,- -,- -,- -,- -,- -,8126,39803,29532,145289,34403,9032,4147,6298,7911,5778,5839,2412,25548,25430,49498,- -,- -,- -
13,Interest Expense (Gain),- -,14,- -,635,- -,190558,15683,386895,16879,8317,10603,14727,18623,9495,335,- -,836,- -,2945,- -,- -,2841830,-2912415
14,Depreciation and Amortization,- -,176,- -,367,4012,109965,98508,209541,283359,345388,362338,283743,437828,523278,607822,739297,1372563,1139228,1276963,902505,1916194,2697126,2930976
15,EBITDA,- -,-128674,56673,-46649,-3111,-2798368,-3137809,-4398584,-2326654,-1595065,682001,2857637,1532013,1983291,1625927,-810824,-2183886,-6407001,-5180157,-7030665,-12259227,-20439166,-33822918
16,EBITDA ratio,- -,-128674.0000,Infinity,-Infinity,-Infinity,-0.8465,-0.7963,-0.6764,-0.2520,-0.1444,0.0493,0.1711,0.0790,0.0774,0.0550,-0.0293,-0.0900,-0.3586,-0.2157,-0.2104,-0.3557,-0.6712,-0.7073
17,Operating Income,- -,-130769,-6734,-47016,-7123,-3103362,-3297987,-4596193,-2876164,-2070668,317327,2573670,1087887,1452102,1004827,-1550253,-3554047,-7571777,-6482550,-7982668,-13328590,-23136292,-31053164
18,Operating Income ratio,- -,-130769.0000,-Infinity,-Infinity,-Infinity,-0.9387,-0.8369,-0.7068,-0.3116,-0.1874,0.0229,0.1541,0.0561,0.0567,0.0340,-0.0561,-0.1465,-0.4237,-0.2699,-0.2389,-0.3867,-0.7598,-0.6494
19,Total Other Income Expenses (Gains),- -,1920,-63407,- -,8513,186903,45987,-398827,249272,121898,-8267,-14503,-12325,-1584,12943,132,-3238,25548,22485,49498,-846831,-2841830,-2912415
20,Income Before Tax,- -,- -,-70141,- -,- -,- -,-3252000,-4995020,-2626892,-1948770,309060,2559167,1075562,1450518,1017770,-1550121,-3557285,-7546229,-6460065,-7933170,-14175421,-25978122,-33965579
21,Income Before Tax Ratio,- -,- -,-Infinity,- -,- -,- -,-0.8252,-0.7682,-0.2846,-0.1764,0.0223,0.1532,0.0555,0.0566,0.0344,-0.0561,-0.1467,-0.4223,-0.2690,-0.2375,-0.4113,-0.8531,-0.7103
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45823,-5133229,509237,486952,-412918,-1160243,5800818,-88305,-67521,-500292,-456794,62050
23,Net Income,- -,-128864,-72815,-47651,1390,-3098891,-3252000,-4995020,-2626892,-1948770,309060,2513344,6208791,941281,530818,-1137203,-2397042,-13347047,-6371760,-7865649,-13675129,-25521328,-33903529
24,Net Income ratio,- -,-128864.0000,-Infinity,-Infinity,Infinity,-0.9374,-0.8252,-0.7682,-0.2846,-0.1764,0.0223,0.1505,0.3202,0.0368,0.0180,-0.0411,-0.0988,-0.7469,-0.2653,-0.2354,-0.3968,-0.8381,-0.7090
25,EPS,- -,-115.60,-46.24,-23.12,0.18,-6.80,-7.04,-6.40,-4.56,-0.24,0.04,0.32,0.80,0.12,0.06,-0.12,-0.25,-1.26,-0.52,-0.55,-0.81,-1.34,-1.40
26,EPS Diluted,- -,-115.60,-46.24,-23.12,0.18,-6.80,-7.04,-6.40,-4.56,-0.24,0.03,0.32,0.72,0.11,0.06,-0.12,-0.25,-1.26,-0.52,-0.55,-0.81,-1.34,-1.40
27,Weighted Average Shares Outstanding,- -,1119,2055,8011,7817,745846,963222,1286646,1826059,7658369,7743304,7762857,7874800,7986030,8994080,9530320,9626028,10622331,12300031,14432505,16954142,19085691,24299465
28,Weighted Average Shares Outstanding Diluted,- -,1119,2055,8011,7817,745846,963222,1286646,1826059,7658369,9380241,8865114,8556277,8614944,9519968,9530320,9626028,10622331,12300031,14432505,16954142,19085691,24299465
29,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1092662/000109266206000023/0001092662-06-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000109266207000032/0001092662-07-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000109266208000017/0001092662-08-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000109266209000024/0001092662-09-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000109266210000007/0001092662-10-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000129346211000011/0001293462-11-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000109266212000013/0001092662-12-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000109266213000024/0001092662-13-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000109266214000018/0001092662-14-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000109266215000024/0001092662-15-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000109266216000121/0001092662-16-000121-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000109266217000023/0001092662-17-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000109266218000013/0001092662-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000114036119005069/0001140361-19-005069-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000114036120005780/0001140361-20-005780-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000114036121008210/0001140361-21-008210-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000114036122007735/0001140361-22-007735-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,4691,- -,- -,- -,34837,232148,4290386,2827369,1212222,1068235,2136351,3010954,2951859,9650275,4614538,5376931,10554464,3790302,12524551,18271352,23066301,28772892
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,4691,- -,- -,- -,34837,232148,4290386,2827369,1212222,1068235,2136351,3010954,2951859,9650275,4614538,5376931,10554464,3790302,12524551,18271352,23066301,28772892
34,Net Receivables,- -,176,- -,- -,- -,165056,1255073,1350240,946340,809303,1776327,3946398,2998449,4821357,4592121,8338889,2422971,3383729,2085340,7373971,3661325,3377387,11441107
35,Inventory,- -,- -,- -,- -,- -,538647,687983,1108950,1453850,1819037,1555903,1349161,2300286,2488071,3188726,3638299,3578025,3335188,4423618,7851222,9598030,12516402,12920451
36,Other Current Assets,- -,- -,- -,- -,- -,472520,292989,204092,243748,225153,266637,204824,681893,747463,1099379,1066473,1256879,840145,554383,702010,693013,778683,1710194
37,Total Current Assets,- -,4867,- -,- -,- -,1211060,2468193,6953668,5471307,4065715,4667102,7636734,8991582,11008750,18530501,17658199,12634806,18113526,10853643,28451754,32223720,39738773,54844644
38,PP&E,- -,2630,- -,- -,- -,188399,438632,603603,829332,881406,580213,813214,1062276,1427646,1978232,2797929,2374308,1709321,1909232,2873920,13174662,15034169,8748643
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1666610,4983127,5872690,5963744,3022787
40,Intangible Assets,- -,- -,- -,4012,- -,- -,- -,- -,- -,940000,700000,600000,500000,400000,326875,256875,100000,- -,1597377,3884831,3914352,3645986,- -
41,Intangible Assets,- -,- -,- -,4012,- -,- -,- -,- -,- -,940000,700000,600000,500000,400000,326875,256875,100000,- -,3263987,8867958,9787042,9609730,3022787
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,27820,29560,- -,42474,- -,44367,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4749622,4233194,3590207,4031302,5467143,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,26990,109581,349306,284358,- -,338375,36226,139790,265560,16410,265887,240087,752389,589159,717551,543539,509342,-57867431
45,Total Non-Current Assets,- -,2630,- -,4012,- -,215389,548213,952909,1113690,1849226,1648148,1449440,6494162,6326400,5956091,7351993,8181538,2461710,5762378,12459429,23505243,25153241,-46096001
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,7497,- -,4012,- -,1426449,3016406,7906577,6584997,5914941,6315250,9086174,15485744,17335150,24486592,25010192,20816344,20575236,16616021,40911183,55728963,64892014,8748643
48,Accounts Payable,- -,1371,- -,29751,1510,1102428,1477925,679990,726174,634083,662739,- -,1258465,1686431,1815369,1980120,1260520,1437290,1494759,3622765,3144098,5727781,- -
49,Short-Term Debt,- -,- -,- -,14724,- -,96029,38368,37336,23458,18780,906136,955514,68126,51236,- -,- -,- -,- -,- -,207694,790437,701337,1840764
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11523,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,43334,- -,360833,65000,- -,23224,- -,340000,353406,392517,50000,422905,125000,1606997,- -
52,Other Current Liabilities,- -,- -,- -,65706,- -,464739,302181,1123109,1449617,1748938,1243424,2055943,1531035,1617492,2494121,2965910,1540912,1575843,1551544,2265916,2382145,4315009,13441699
53,Total Current Liabilities,- -,1371,- -,110181,1510,1663196,1818474,1840435,2242583,2401801,3173132,3076457,2857626,3378383,4309490,5286030,3154838,3405650,3096303,6519280,6441680,12351124,15282463
54,Long-Term Debt,- -,- -,- -,- -,- -,74267,- -,- -,- -,875000,14931,186197,133484,82247,- -,- -,- -,- -,99480,171821,17644149,18182158,29680983
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,341042,892308,466326,69941,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,2639980,145229,7005949,79588,60808,39273,14576,- -,- -,- -,- -,- -,- -,- -,- -,7141556,6512382,-5976151
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,2714247,145229,7005949,79588,935808,54204,200773,133484,82247,- -,- -,- -,- -,440522,1064129,25252031,24764481,23704832
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,74267,44417,7081,79588,79588,60809,39273,14576,- -,- -,- -,- -,- -,- -,- -,7751744,7213719,- -
61,Total Liabilities,- -,1371,- -,110181,1510,4377443,1963703,8846384,2322171,3337609,3227336,3277230,2991110,3460630,4309490,5286030,3154838,3405650,3536825,7583409,31693711,37115605,38987295
62,Preferred Stock,- -,- -,- -,- -,- -,- -,5802118,6060099,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,27600,- -,56153,180735,69071,84914,112970,605375,619449,619799,622390,633681,80362,93248,96112,96282,120268,123185,171664,177335,202235,301050
64,Retained Earnings,- -,-128864,- -,-371082,-369692,-12099406,-18868428,-27073494,-35345697,-37294467,-36985407,-34472063,-28263272,-27321991,-26791173,-27928376,-30325418,-43672465,-50044225,-57909874,-71585003,-97106331,-131009860
65,Other Comprehensive Income/Loss,- -,-176,- -,- -,- -,- -,-559228,-668082,-924688,-1270076,-1623417,-1889683,-2227511,-2278376,-2753845,-3370788,-4264093,-5046804,178948,112196,9844,-90916,-592372
66,Other Total Stockholders Equity,- -,107566,- -,208760,187447,- -,14593327,20628700,39927836,40522426,41076939,41548300,42351736,43394525,49628872,50927214,52154735,65768587,62821288,90953788,95433077,124771421,165566082
67,Total Stockholders Equity,- -,6126,- -,-106169,-1510,-2950994,1052703,-939807,4262826,2577332,3087914,5808944,12494634,13874520,20177102,19724162,17661506,17169586,13079196,33327774,24035253,27776409,34264900
68,Total Liabilities And Stockholders Equity,- -,7497,- -,4012,- -,1426449,3016406,7906577,6584997,5914941,6315250,9086174,15485744,17335150,24486592,25010192,20816344,20575236,16616021,40911183,55728964,64892014,73252195
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1,- -,-64503552
70,Total Liabilities & Equity,- -,7497,- -,4012,- -,1426449,3016406,7906577,6584997,5914941,6315250,9086174,15485744,17335150,24486592,25010192,20816344,20575236,16616021,40911183,55728963,64892014,8748643
71,SEC Link,undefined,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1092662/000109266206000023/0001092662-06-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000109266207000032/0001092662-07-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000109266208000017/0001092662-08-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000109266209000024/0001092662-09-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000109266210000007/0001092662-10-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000129346211000011/0001293462-11-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000109266212000013/0001092662-12-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000109266213000024/0001092662-13-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000109266214000018/0001092662-14-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000109266215000024/0001092662-15-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000109266216000121/0001092662-16-000121-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000109266217000023/0001092662-17-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000109266218000013/0001092662-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000114036119005069/0001140361-19-005069-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000114036120005780/0001140361-20-005780-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000114036121008210/0001140361-21-008210-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000114036122007735/0001140361-22-007735-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-128864,-72815,-47651,1390,-3098891,-3252000,-4995020,-2626892,-1948770,309060,2513344,6208791,941281,530818,-1137203,-2397042,-13347047,-6371760,-7865649,-13675129,-25521328,-33903529
74,Depreciation and Amortization,- -,176,- -,367,4012,109965,98508,209541,283359,345388,362338,283743,437828,523278,607822,739297,1372563,1139228,1276963,902505,1916194,2697126,2930976
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5155713,471085,458154,-403375,-1170969,5800818,- -,-78432,- -,-396385,-69941
