,https://roic.ai/company/POLA,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,5201304,6846759,22801494,14418726,24046354,24801141,9031,16896
2,COGS,3287625,4433494,12619837,9657558,16614574,19881742,14654,13451
3,Gross Profit,1913679,2413265,10181657,4761168,7431780,4919399,-5623,3445
4,Gross Profit Ratio,0.3679,0.3525,0.4465,0.3302,0.3091,0.1984,-0.6226,0.2039
5,Research and Development Exp.,108559,116297,213931,1334637,1907810,2275736,1723,1986
6,General and Administrative Exp.,553105,1454563,2112336,2848940,4043301,4004233,4062,3069
7,Selling and Marketing Exp.,191791,392306,424579,1348455,2579457,2620907,1556,1488
8,"Selling, General and Administrative Exp.",744896,1846869,2536915,4197395,6622758,6625140,5618,4557
9,Other Expenses,94999,143573,26888,31096,- -,- -,- -,- -
10,Operating Expenses,948454,2106739,2777734,5563128,8530568,8900876,7341,6543
11,COGS and Expenses,4236079,6540233,15397571,15220686,25145142,28782618,21995,19994
12,Interest Income ,- -,- -,- -,- -,55706,- -,14000,- -
13,Interest Expense (Gain),44927,50971,112550,17822,20170,103335,60,60
14,Depreciation and Amortization,94999,143573,207857,255631,385583,1288827,622,1
15,EBITDA,1005512,434774,7584264,-483963,-657499,-2652589,-10189,-1353
16,EBITDA ratio,0.1933,0.0635,0.3326,-0.0336,-0.0273,-0.1070,-1.1282,-0.0801
17,Operating Income,965225,306526,7403923,-801960,-1098788,-3981477,-12964000,-3098
18,Operating Income ratio,0.1856,0.0448,0.3247,-0.0556,-0.0457,-0.1605,-1435.4999,-0.1834
19,Total Other Income Expenses (Gains),-99639,-66296,-140066,44544,35536,-63274,12950990,1684
20,Income Before Tax,865586,240230,7263857,-757416,-1063252,-4044751,-13010,-1414
21,Income Before Tax Ratio,0.1664,0.0351,0.3186,-0.0525,-0.0442,-0.1631,-1.4406,-0.0837
22,Income Tax expense (Gain),290338,273569,2861047,- -,-215000,- -,- -,- -
23,Net Income,575248,-33339,4402810,-757416,-848252,-4044751,-10871,-1414
24,Net Income ratio,0.1106,-0.0049,0.1931,-0.0525,-0.0353,-0.1631,-1.2037,-0.0837
25,EPS,0.06,-0.00,0.58,-0.08,-0.08,-0.40,-1.01,-0.00
26,EPS Diluted,0.06,-0.00,0.58,-0.08,-0.08,-0.40,-1.01,-0.00
27,Weighted Average Shares Outstanding,9783158,9783158,7564629,10143158,10143158,10125681,10816938,10816938
28,Weighted Average Shares Outstanding Diluted,9783158,9783158,7564629,10143158,10143158,10125681,10816938,10816938
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1622345/000161577418002313/0001615774-18-002313-index.html,https://www.sec.gov/Archives/edgar/data/1622345/000161577419005133/0001615774-19-005133-index.html,https://www.sec.gov/Archives/edgar/data/1622345/000121390020012207/f10k2019_polarpower.htm,https://www.sec.gov/Archives/edgar/data/1622345/000149315221007482/0001493152-21-007482-index.htm,https://www.sec.gov/Archives/edgar/data/1622345/000149315222008449/0001493152-22-008449-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,553492,263418,16242158,13199983,5640078,2840117,1646,5101
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,553492,263418,16242158,13199983,5640078,2840117,1646,5101
34,Net Receivables,628238,1496654,4403946,3687582,8442835,1165274,1190,5030
35,Inventory,900272,2093099,4839591,5487053,8471769,13912200,9094,9017
36,Other Current Assets,108302,93125,178569,1237850,468666,1264814,2715,6006
37,Total Current Assets,2190304,3946296,25664264,23612468,23023348,19182405,14645,25154
38,PP&E,434996,542892,737586,824076,2122757,4286809,1497,1933
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,190000,205000,160637,- -,- -,- -,- -,- -
44,Other Non-Current Assets,102699,88944,66796,87496,94001,94001,- -,93
45,Total Non-Current Assets,727695,836836,965019,911572,2216758,4380810,1497,2026
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2917999,4783132,26629283,24524040,25240106,23563215,16142,27180
48,Accounts Payable,78061,182884,659355,757753,1066415,574510,311,328
49,Short-Term Debt,- -,- -,- -,110237,283388,328159,670,963
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,787
51,Deferred Revenue,240347,229602,71954,40039,79184,197487,- -,897
52,Other Current Liabilities,1196272,1988472,2008565,586391,504559,1649351,3541,1206
53,Total Current Liabilities,1514680,2400958,2739874,1494420,1933546,2749507,4522,3394
54,Long-Term Debt,197541,127840,237431,126818,924539,777930,- -,268
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,1659506,- -,268
58,Total Non-Current Liabilities,197541,127840,237431,126818,924539,2437436,- -,536
59,Other Liabilities,- -,- -,- -,- -,- -,- -,1786,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,2277148,1660000,- -
61,Total Liabilities,1712221,2528798,2977305,1621238,2858085,5186943,6308,3930
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1014,1014,1014,1014,1,1
64,Retained Earnings,38778,5439,4408249,3650833,2802581,-1242170,- -,-13527
65,Other Comprehensive Income/Loss,-467459,-611032,-818889,-1074520,-1460103,-2243131,- -,- -
66,Other Total Stockholders Equity,1634459,2859927,20061604,20325475,21038529,21860559,11490999,36776
67,Total Stockholders Equity,1205778,2254334,23651978,22902802,22382021,18376272,11491000,23250
