,https://roic.ai/company/XTNT,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,459229,295520,15417647,30149482,32979899,33073414,35331812,59345717,90002736,82612101,72203000,64682000,53337000,55263000
2,COGS,386483,213254,3363876,9109250,10337303,14185719,13034314,20262728,27710014,32511120,28717000,22166000,18945000,22773000
3,Gross Profit,72746,82266,12053771,21040232,22642596,18887695,22297498,39082989,62292722,50100981,43486000,42516000,34392000,32490000
4,Gross Profit Ratio,0.1584,0.2784,0.7818,0.6979,0.6866,0.5711,0.6311,0.6586,0.6921,0.6065,0.6023,0.6573,0.6448,0.5879
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,1443018,2546362,3410600,2441062,1702000,932000,657000,870000
6,General and Administrative Exp.,- -,- -,11136807,8234109,11562845,10771903,9022047,13239472,16029252,15330623,13001000,17936000,13503000,14449000
7,Selling and Marketing Exp.,- -,- -,8897293,18501204,15617416,16017229,16912865,28731184,44055813,40511434,32059000,25843000,20983000,21025000
8,"Selling, General and Administrative Exp.",- -,- -,20034100,26735313,27180261,26789132,25934912,41970656,60085065,55842057,45060000,43779000,34486000,35474000
9,Other Expenses,88591,72301,633827,755387,406888,377524,271748,3819588,4940955,5485280,4118000,58000,- -,- -
10,Operating Expenses,88591,72301,20667927,27490700,27587149,27166656,27649678,48336606,68436620,63768399,50880000,44769000,35143000,36344000
11,COGS and Expenses,475074,285555,24031803,36599950,37924452,41352375,40683992,68599334,96146634,96279519,79597000,66935000,54088000,59117000
12,Interest Income ,- -,- -,1044,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,513934,1647984,1162597,1864901,4653232,5660357,7733748,12262750,14704751,10145000,5772000,5976000,995000
14,Depreciation and Amortization,- -,707926,682544,755387,782889,753522,952320,4889272,7241870,8408594,6590000,3143000,2079000,1332000
15,EBITDA,-15845,1231825,-17137394,-1088485,-5066032,-7286371,-3895192,-7088818,61430,-29297917,-53364000,792000,1032000,-2522000
16,EBITDA ratio,-0.0345,4.1683,-1.1115,-0.0361,-0.1536,-0.2203,-0.1102,-0.1194,0.0007,-0.3546,-0.7391,0.0122,0.0193,-0.0456
17,Operating Income,-15845,9965,-8614156,-6450468,-4944553,-9007579,-6264729,-12078101,-7545264,-37834321,-60078000,-2253000,-751000,-3854000
18,Operating Income ratio,-0.0345,0.0337,-0.5587,-0.2139,-0.1499,-0.2724,-0.1773,-0.2035,-0.0838,-0.4580,-0.8321,-0.0348,-0.0141,-0.0697
19,Total Other Income Expenses (Gains),- -,- -,-10853766,3443999,-2769269,-3685546,-4243140,-7633737,-11897926,-14576941,-10021000,-5870000,-5976000,-995000
20,Income Before Tax,-15845,9965,-19467922,-3006469,-7713822,-12693125,-10507869,-19711838,-19443190,-52411262,-70099000,-8123000,-6727000,-4849000
21,Income Before Tax Ratio,-0.0345,0.0337,-1.2627,-0.0997,-0.2339,-0.3838,-0.2974,-0.3322,-0.2160,-0.6344,-0.9709,-0.1256,-0.1261,-0.0877
22,Income Tax expense (Gain),- -,1834,- -,- -,- -,- -,- -,-17537408,50362,- -,- -,98000,- -,- -
23,Net Income,-15845,8131,-19467922,-3006469,-7713822,-12693125,-10507869,-2174430,-19493552,-52411262,-70099000,-8221000,-7023000,-4849000
24,Net Income ratio,-0.0345,0.0275,-1.2627,-0.0997,-0.2339,-0.3838,-0.2974,-0.0366,-0.2166,-0.6344,-0.9709,-0.1271,-0.1317,-0.0877
25,EPS,-0.07,-17.46,-66.58,-8.73,-19.65,-29.47,-19.21,-2.62,-18.34,-34.49,-5.93,-0.63,-0.25,-0.06
